Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2015,1927.50,1932.05,1912.25,1920.75,1920.975225225225225225,6216,1290,11940782.00,1914,30.79,19.80,-6.75
27-January-2015,1915.00,1937.00,1901.00,1926.80,1925.514486822720576199,12218,2206,23525936.00,3584,29.33,36.00,11.80
23-January-2015,1932.25,1942.00,1885.00,1911.20,1916.901462913387955977,36981,6074,70888933.00,7678,20.76,57.00,-21.05
22-January-2015,1904.00,1937.60,1904.00,1921.80,1921.869245551006767482,11969,2107,23002853.00,4739,39.59,33.60,17.80
21-January-2015,1935.15,1938.00,1875.00,1898.15,1900.606311787072243346,13150,2851,24992973.00,5226,39.74,63.00,-37.00
20-January-2015,1944.05,1950.00,1916.00,1926.80,1935.105059868675164156,7767,1850,15029961.00,3533,45.49,34.00,-17.25
19-January-2015,1962.00,1975.00,1936.40,1944.05,1955.013270649845274934,16804,2286,32852043.00,8732,51.96,38.60,-17.95
16-January-2015,1950.00,1977.00,1946.50,1960.60,1965.645668844078386821,17605,2428,34605192.00,4924,27.97,30.50,10.60
15-January-2015,1941.00,1957.00,1930.00,1944.30,1947.410200810785330442,10607,1394,20656180.00,3020,28.47,27.00,3.30
14-January-2015,1941.00,1962.10,1922.15,1934.95,1945.525266362252663622,13140,2008,25564202.00,3276,24.93,39.95,-6.05
13-January-2015,1931.60,1951.00,1927.80,1935.45,1939.730854450528460460,39265,2805,76163532.00,25542,65.05,23.20,3.85
12-January-2015,1925.00,1945.00,1915.90,1927.10,1932.160800428801143469,16791,1735,32442912.00,5277,31.43,29.10,2.10
9-January-2015,1911.00,1947.80,1907.50,1920.55,1931.480971011915347679,11246,2083,21721435.00,4094,36.40,40.30,9.55
8-January-2015,1891.00,1932.00,1885.00,1924.40,1914.015944555465793613,23519,4347,45015741.00,9148,38.90,47.00,33.40
7-January-2015,1845.00,1875.00,1822.60,1870.95,1857.413034874005013413,22739,3465,42235715.00,4684,20.60,52.40,25.95
6-January-2015,1833.80,1869.00,1810.00,1844.50,1838.855679005238616084,17371,3230,31942762.00,4731,27.24,59.00,10.70
5-January-2015,1845.00,1859.95,1826.30,1833.60,1843.020005595970900951,7148,1628,13173907.00,3156,44.15,33.65,-11.40
2-January-2015,1808.80,1847.30,1808.80,1844.10,1838.795587244554233101,17812,2240,32752627.00,11240,63.10,38.50,35.30
1-January-2015,1789.00,1815.00,1786.60,1806.05,1804.655454425537528030,7581,1445,13681093.00,2299,30.33,28.40,17.05
31-December-2014,1785.00,1793.50,1774.50,1784.25,1784.863903446085437509,6297,1365,11239288.00,2792,44.34,19.00,-0.75
30-December-2014,1808.00,1808.00,1770.00,1778.65,1775.863219036912122915,5337,1139,9477782.00,2532,47.44,38.00,-29.35
29-December-2014,1775.00,1795.00,1765.90,1781.55,1782.284609809132640734,8278,1771,14753752.00,3266,39.45,29.10,6.55
26-December-2014,1765.00,1772.45,1751.00,1764.05,1763.150519813168600271,6637,1210,11702030.00,2538,38.24,21.45,-0.95
24-December-2014,1813.00,1813.00,1746.80,1756.90,1771.469714229111980585,20191,3319,35767745.00,8007,39.66,66.20,-56.10
