Name,Sector,Current Price,One Year High,One Year Low,Average Volume,Nse Code,BSE Code
Aban Offshore Ltd.,OIL EXPLORATION/PRODUCTION,509.5,940,369.65,2214860,ABAN,523204
ABB Ltd.,ELECTRICAL EQUIPMENT,1271.6,1398.6,566.95,80506,ABB,500002
ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1544.45,1564.65,970.15,351928,ACC,500410
Adani Enterprises Ltd.,TRADING,506.15,585,210.1,1272480,ADANIENT,512599
Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1848.5,1916.15,1032.25,137597,ABIRLANUVO,500303
Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,246.65,248.95,150.1,1482030,AMBUJACEM,500425
Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,63.75,63.95,14.85,1.93E+07,ASHOKLEY,500477
Asian Paints Ltd.,PAINTS,851.3,859,460.2,1467690,ASIANPAINT,500820
Axis Bank Ltd.,BANKS,547.25,556.8,216.52,3950480,AXISBANK,532215
Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2446.65,2695,1793.2,425186,BAJAJ-AUTO,532977
Bank of Baroda,BANKS,1127.9,1138.7,511.15,801388,BANKBARODA,532134
Bank of India,BANKS,302,357,165.55,3110710,BANKINDIA,532149
Bharat Forge Ltd.,CASTINGS/FORGINGS,1008.85,1038,319.15,626866,BHARATFORG,500493
Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,282.55,291.5,145.55,3827480,BHEL,500103
Bharat Petroleum Corporation Ltd.,REFINERIES,654.15,785,331.85,1169380,BPCL,500547
Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,369,420,281.9,3310450,BHARTIARTL,532454
Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,238.4,386,228.05,1907970,CAIRN,532792
Century Textile & Industries Ltd.,DIVERSIFIED,564.25,664.4,277.3,680266,CENTURYTEX,500040
Cipla Ltd.,PHARMACEUTICALS,643.45,673,366.5,1191560,CIPLA,500087
Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,195,231,101.5,3117870,CROMPGREAV,500093
Divi's Laboratories Ltd.,PHARMACEUTICALS,1679.25,1888.05,1210,109912,DIVISLAB,532488
Name,Sector,Current Price,One Year High,One Year Low,Average Volume,Nse Code,BSE Code
DLF Ltd.,CONSTRUCTION,143.7,242.95,100.1,7816870,DLF,532868
Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,3335.85,3666.25,2246.5,310682,DRREDDY,500124
Educomp Solutions Ltd.,COMPUTERS - SOFTWARE,26.55,34.35,23.2,765289,EDUCOMP,532696
Essar Oil Ltd.,REFINERIES,112.2,132.4,44.4,314012,ESSAROIL,500134
Financial Technologies (India) Ltd.,COMPUTERS - SOFTWARE,202.7,403.9,135.8,332311,FINANTECH,526881
GAIL (India) Ltd.,GAS,433.8,551.9,340.2,1542130,GAIL,532155
Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,737.35,841,500.3,576247,GLENMARK,532296
GMR Infrastructure Ltd.,CONSTRUCTION,16.75,38.25,14.8,1.61E+07,GMRINFRA,532754
HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1687.25,1776.25,1256,831669,HCLTECH,532281
HDFC Bank Ltd.,BANKS,1019.95,1032.95,616.8,1695720,HDFCBANK,500180
Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2875.15,3269.95,1907.1,365252,HEROHONDA,500182
Hindalco Industries Ltd.,ALUMINIUM,143.2,198.9,96.7,6226680,HINDALCO,500440
Hindustan Petroleum Corporation Ltd.,REFINERIES,567.3,627.8,225.6,1415250,HINDPETRO,500104
Hindustan Unilever Ltd.,PERSONAL CARE,941.95,948.4,542,2603180,HINDUNILVR,500696
Housing Development and Infrastructure Ltd.,CONSTRUCTION,77.3,113.8,38.7,1.21E+07,HDIL,532873
Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,1287.2,1297.4,755,2119540,HDFC,500010
I T C Ltd.,CIGARETTES,352.7,400.3,311.4,7064590,ITC,500875
ICICI Bank Ltd.,BANKS,368.45,370.95,188.72,9679300,ICICIBANK,532174
Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,163.1,178.1,125.1,3409330,IDEA,532822
India Cements Ltd.,CEMENT AND CEMENT PRODUCTS,102.55,134.3,45.85,2637280,INDIACEM,530005
