Date,Open,High,Low,Close,Volume,Adj Close
21-01-2015,28843.09,28958.1,28792.57,28888.86,15400,28888.86
20-01-2015,28324.85,28829.29,28324.85,28784.67,11100,28784.67
19-01-2015,28249.84,28334.06,28197.36,28262.01,10900,28262.01
16-01-2015,28056.61,28176.1,27945.31,28121.89,12100,28121.89
15-01-2015,27831.16,28194.61,27703.7,28075.55,16700,28075.55
14-01-2015,27432.14,27512.8,27203.25,27346.82,10200,27346.82
13-01-2015,27611.56,27670.19,27324.58,27425.73,7800,27425.73
12-01-2015,27523.86,27620.66,27323.74,27585.27,7500,27585.27
09-01-2015,27404.19,27507.67,27119.63,27458.38,11100,27458.38
08-01-2015,27178.77,27316.41,27101.94,27274.71,8200,27274.71
07-01-2015,26983.43,27051.6,26776.12,26908.82,12200,26908.82
06-01-2015,27694.23,27698.93,26937.06,26987.46,0,26987.46
05-01-2015,27978.43,28064.49,27786.85,27842.32,0,27842.32
02-01-2015,27521.28,27937.47,27519.26,27887.9,0,27887.9
31-12-2014,27358.3,27527.24,27346,27499.42,0,27499.42
30-12-2014,27478.3,27478.3,27312.29,27403.54,0,27403.54
24-12-2014,27530.26,27571.25,27146.52,27208.61,0,27208.61
22-12-2014,27479.87,27725.27,27382.32,27701.79,7400,27701.79
19-12-2014,27292.55,27497.12,27292.14,27371.84,11800,27371.84
18-12-2014,27053.86,27180.92,26900.57,27126.57,11200,27126.57
17-12-2014,26724.01,26871.91,26469.42,26710.13,16600,26710.13
16-12-2014,27181.18,27199.37,26736.23,26781.44,14300,26781.44
15-12-2014,27136.28,27392.18,27105.04,27319.56,9100,27319.56
12-12-2014,27598.96,27692.32,27320.05,27350.68,10900,27350.68
11-12-2014,27796.34,27796.34,27539.47,27602.01,9800,27602.01
10-12-2014,27711.96,27905.25,27710.03,27831.1,9900,27831.1
09-12-2014,28134.22,28157.53,27763.82,27797.01,9600,27797.01
08-12-2014,28433,28494.85,28097.12,28119.4,9500,28119.4
05-12-2014,28604.5,28651.75,28409.05,28458.1,7700,28458.1
04-12-2014,28616.93,28808.78,28448.95,28562.82,10400,28562.82
03-12-2014,28472.32,28504.65,28370.73,28442.71,10100,28442.71
02-12-2014,28522.46,28576.39,28386.46,28444.01,11200,28444.01
01-12-2014,28748.22,28809.64,28538.44,28559.62,8300,28559.62
28-11-2014,28490.71,28822.37,28483.99,28693.99,14600,28693.99
27-11-2014,28397.8,28498.3,28307.58,28438.91,11900,28438.91
26-11-2014,28321.58,28470.15,28261.31,28386.19,8700,28386.19
25-11-2014,28520.76,28541.22,28217.5,28338.05,10800,28338.05
24-11-2014,28413.01,28541.96,28394.48,28499.54,9700,28499.54
21-11-2014,28100.1,28360.66,28038.4,28334.63,10100,28334.63
20-11-2014,28100.84,28118.53,27915.23,28067.56,8700,28067.56
