SUZLON.BO,Suzlon Energy Ltd (SUZLON.BO)
SPICEJET.BO,Spicejet Ltd (SPICEJET.BO)
ESSARPORTS.BO,ESSAR PORTS LTD. (ESSARPORTS.BO)
UNITECH.BO,Unitech International Ltd (UNITECH.BO)
L&TFH.BO,L&T FINANCE HOLDINGS LTD. (L&TFH.BO)
SPARC.BO,Sparc Systems Ltd (SPARC.BO)
STRTECH.BO,Sterlite Technologies Ltd (STRTECH.BO)
ITC.BO,ITC Ltd (ITC.BO)
TV18BRDCST.BO,TV18 BROADCAST LTD. (TV18BRDCST.BO)
IBREALEST.BO,Indiabulls Real Estate Ltd (IBREALEST.BO)
HDIL.BO,Housing Development & Infrastructure Ltd (HDIL.BO)
DISHTV.BO,Dish TV India Ltd (DISHTV.BO)
INDOSOLAR.BO,INDOSOLAR LTD. (INDOSOLAR.BO)
GSFC.BO,Gujarat State Fertilizers & Chemicals Ltd. (GSFC.BO)
ASHOKLEY.BO,Ashok Leyland (ASHOKLEY.BO)
NOCIL.BO,NOCIL Ltd (NOCIL.BO)
JPPOWER.BO,Jaiprakash Power Ventures Ltd (JPPOWER.BO)
RENUKA.BO,Shree Renuka Sugars Ltd (RENUKA.BO)
SINTEX.BO,Sintex Industries Ltd (SINTEX.BO)
ALEMBICLTD.BO,Alembic Ltd (ALEMBICLTD.BO)
GMRINFRA.BO,GMR Infrastructure Ltd (GMRINFRA.BO)
DBREALTY.BO,D B Realty Ltd (DBREALTY.BO)
HFCL.BO,Himachal Futuristic Communications Ltd (HFCL.BO)
KUWERIN.BO,Kuwer Industries Ltd (KUWERIN.BO)
GABRIEL.BO,Gabriel India Ltd (GABRIEL.BO)
NHPC.BO,NHPC Ltd (NHPC.BO)
EXIDEIND.BO,Exide Industries Ltd (EXIDEIND.BO)
IDFC.BO,IDFC Ltd (IDFC.BO)
NCC.BO,NCC LIMITED (NCC.BO)
DLF.BO,DLF Ltd (DLF.BO)
PIPAVAVDOC.BO,PIPAVAV DEFENCE AND OFFSHORE E (PIPAVAVDOC.BO)
ORICON.BO,Oricon Enterprises Limited (ORICON.BO)
IBSEC.BO,Indiabulls Securities Ltd (IBSEC.BO)
ESCORTS.BO,Escorts Ltd (ESCORTS.BO)
DCW.BO,DCW Ltd (DCW.BO)
MASTEK.BO,Mastek Ltd (MASTEK.BO)
RAJOOENG.BO,Rajoo Engineers Ltd (RAJOOENG.BO)
MARKSANS.BO,Marksans Pharma Ltd (MARKSANS.BO)
AXISBANK.BO,Axis Bank Ltd (AXISBANK.BO)
HOTELEELA.BO,Hotel Leela Venture Ltd (HOTELEELA.BO)
VIRTUALG.BO,VIRTUAL GLOBAL EDUCATION LTD. (VIRTUALG.BO)
SSLT.BO,SESA STERLITE LIMITED (SSLT.BO)
EDELWEISS.BO,Edelweiss Financial Services Ltd (EDELWEISS.BO)
KESORAMIND.BO,Kesoram Industries Ltd (KESORAMIND.BO)
GVKPIL.BO,GVK Power & Infrastructure Ltd (GVKPIL.BO)
KSCL.BO,Kaveri Seed Company Ltd. (KSCL.BO)
RPOWER.BO,Reliance Power Ltd (RPOWER.BO)
HMT.BO,HMT Ltd (HMT.BO)
BAJAJHIND.BO,Bajaj Hindusthan Ltd (BAJAJHIND.BO)
AKSHOPTFBR.BO,Aksh Optifibre Ltd (AKSHOPTFBR.BO)
RCF.BO,Rashtriya Chemicals and Fertilizers Ltd (RCF.BO)
FCEL.BO,FUTURE CONSUMER ENTERPRISE LIM (FCEL.BO)
RCOM.BO,Reliance Communications Ltd (RCOM.BO)
ICICIBANK.BO,ICICI Bank Ltd (ICICIBANK.BO)
POWERGRID.BO,Power Grid Corp Of India Ltd (POWERGRID.BO)
POLARIS.BO,Polaris Consulting & Services Ltd (POLARIS.BO)
GDL.BO,Gateway Distriparks Ltd (GDL.BO)
TTML.BO,Tata Teleservices (Maharashtra) Ltd (TTML.BO)
TAKE.BO,Take Solutions Ltd (TAKE.BO)
ADANIPOWER.BO,Adani Power Ltd (ADANIPOWER.BO)
HCC.BO,Hindustan Construction Co Ltd (HCC.BO)
SUJANATWR.BO,Sujana Towers Ltd. (SUJANATWR.BO)
KPIT.BO,KPIT TECHNOLOGIES LIMITED (KPIT.BO)
LAKSHVILAS.BO,Lakshmi Vilas Bank Ltd (LAKSHVILAS.BO)
PNBGILTS.BO,PNB Gilts Ltd (PNBGILTS.BO)
BSLIMITED.BO,BS LTD. (BSLIMITED.BO)
FSL.BO,Firstsource Solutions Ltd (FSL.BO)
HINDALCO.BO,Hindalco Industries Ltd (HINDALCO.BO)
DELTACORP.BO,Delta Corp Ltd (DELTACORP.BO)
TINPLATE.BO,Tinplate Company of India Ltd. (TINPLATE.BO)
CORPBANK.BO,Corporation Bank (CORPBANK.BO)
KOHINOOR.BO,Kohinoor Foods Ltd (KOHINOOR.BO)
ONMOBILE.BO,OnMobile Global Ltd (ONMOBILE.BO)
