Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,46.85,47.00,45.80,46.05,547000,46.05
2015-01-20,46.60,46.90,46.30,46.55,594800,46.55
2015-01-19,45.80,46.95,45.80,46.70,587200,46.70
2015-01-16,45.95,46.30,45.50,45.80,697700,45.80
2015-01-15,45.60,46.50,45.60,45.95,605900,45.95
2015-01-14,45.20,46.20,45.20,45.60,550900,45.60
2015-01-13,46.85,47.05,45.15,45.45,758400,45.45
2015-01-12,45.00,46.90,44.55,46.75,1203000,46.75
2015-01-09,45.80,46.10,44.50,44.70,713600,44.70
2015-01-08,44.70,45.65,44.45,45.40,948200,45.40
2015-01-07,44.25,44.70,43.30,44.10,856300,44.10
2015-01-06,45.00,45.75,43.70,44.00,1446200,44.00
2015-01-05,45.50,46.00,44.95,45.10,981500,45.10
2015-01-02,44.40,45.30,44.30,45.05,895100,45.05
2015-01-01,44.50,44.55,43.80,44.20,526300,44.20
2014-12-31,44.60,44.75,43.85,44.35,680000,44.35
2014-12-30,42.65,44.50,42.65,44.35,866200,44.35
2014-12-29,42.60,43.75,42.60,43.05,488400,43.05
2014-12-26,42.55,43.10,42.05,42.75,478800,42.75
2014-12-25,42.55,42.55,42.55,42.55,000,42.55
2014-12-24,41.00,43.10,41.00,42.55,659600,42.55
2014-12-23,42.20,42.95,41.25,41.45,425700,41.45
2014-12-22,42.45,42.90,42.10,42.60,340500,42.60
2014-12-19,41.80,42.60,41.80,42.15,618800,42.15
2014-12-18,40.55,41.70,40.55,41.55,589100,41.55
2014-12-17,40.25,40.85,38.80,40.10,1122000,40.10
2014-12-16,43.10,43.65,39.85,40.20,1636800,40.20
2014-12-15,43.60,44.00,43.20,43.30,483400,43.30
2014-12-12,44.15,45.25,43.40,43.60,582700,43.60
2014-12-11,44.80,45.30,44.05,44.35,573400,44.35
2014-12-10,43.10,45.40,43.10,44.90,887500,44.90
2014-12-09,44.40,45.40,43.20,43.50,694900,43.50
2014-12-08,44.10,45.10,43.80,44.80,796900,44.80
2014-12-05,44.40,45.25,44.40,44.50,562600,44.50
2014-12-04,45.40,46.00,44.30,44.60,734400,44.60
2014-12-03,44.15,45.90,44.15,45.60,782800,45.60
2014-12-02,44.60,44.85,43.95,44.40,649700,44.40
2014-12-01,46.00,46.00,44.10,44.35,529900,44.35
2014-11-28,45.35,46.60,45.35,45.70,641800,45.70
2014-11-27,46.15,46.50,45.25,45.75,653500,45.75
2014-11-26,45.25,46.65,45.05,46.15,919500,46.15
2014-11-25,47.20,48.00,44.75,45.20,1485600,45.20
2014-11-24,46.55,46.90,45.80,46.55,847600,46.55
2014-11-21,45.75,46.70,45.20,45.35,493900,45.35
2014-11-20,46.45,46.45,45.30,45.90,459000,45.90
2014-11-19,48.50,48.60,46.10,46.35,509500,46.35
2014-11-18,48.50,48.60,47.50,48.05,881500,48.05
2014-11-17,45.40,47.50,45.40,47.30,630000,47.30
2014-11-14,44.95,45.95,44.65,45.85,497700,45.85
2014-11-13,46.30,46.80,45.00,45.20,558000,45.20
2014-11-12,46.80,47.50,46.30,46.45,487200,46.45
2014-11-11,46.10,46.85,45.65,46.65,617100,46.65
2014-11-10,47.50,48.70,46.05,46.50,1506500,46.50
2014-11-07,47.90,48.20,46.80,47.65,798100,47.65
2014-11-06,47.70,47.70,47.70,47.70,000,47.70
2014-11-05,49.90,50.10,47.45,47.70,936900,47.70
2014-11-04,49.15,49.15,49.15,49.15,000,49.15
2014-11-03,48.35,49.80,47.65,49.15,1095200,49.15
2014-10-31,46.55,48.20,46.45,47.90,1216800,47.90
2014-10-30,46.00,46.05,45.45,45.75,405000,45.75
2014-10-29,46.30,46.30,45.60,46.00,598600,46.00
2014-10-28,45.80,46.15,44.55,45.85,651400,45.85
2014-10-27,46.30,46.60,45.25,45.50,536900,45.50
2014-10-24,45.40,45.40,45.40,45.40,000,45.40
2014-10-23,45.40,45.40,45.40,45.40,000,45.40
2014-10-22,45.25,45.80,45.15,45.40,412000,45.40
2014-10-21,44.10,45.30,44.05,44.80,836300,44.80
2014-10-20,43.25,44.00,43.15,43.65,511800,43.65
2014-10-17,42.40,43.05,41.65,42.75,592900,42.75
2014-10-16,43.30,44.05,42.00,42.20,724800,42.20
2014-10-15,43.30,43.30,43.30,43.30,000,43.30
2014-10-14,43.75,44.05,43.05,43.30,439600,43.30
2014-10-13,42.80,43.70,42.25,43.35,449400,43.35
2014-10-10,43.95,43.95,42.60,42.80,607300,42.80
2014-10-09,43.00,44.75,43.00,44.15,943500,44.15
2014-10-08,42.00,42.85,41.55,42.70,613100,42.70
2014-10-07,43.20,43.30,41.80,41.95,1201500,41.95
2014-10-06,43.20,43.20,43.20,43.20,000,43.20
2014-10-03,43.20,43.20,43.20,43.20,000,43.20
2014-10-02,43.20,43.20,43.20,43.20,000,43.20
2014-10-01,43.40,43.90,43.05,43.20,594000,43.20
2014-09-30,44.40,45.20,43.20,43.40,848900,43.40
2014-09-29,45.40,45.75,44.30,44.50,911300,44.50
2014-09-26,42.55,45.40,42.05,45.05,1792900,45.05
2014-09-25,46.75,46.90,42.35,42.65,2448800,42.65
2014-09-24,48.70,48.70,45.05,46.70,2662700,46.70
2014-09-23,50.50,50.75,47.40,47.70,1274500,47.70
2014-09-22,51.00,51.40,50.30,50.45,531800,50.45
2014-09-19,53.40,53.40,51.10,51.40,1047000,51.40
2014-09-18,50.00,54.55,48.90,52.95,2242100,52.95
2014-09-17,49.65,49.75,48.40,49.20,552700,49.20
2014-09-16,50.30,51.45,48.35,48.65,767500,48.65
2014-09-15,50.50,50.85,49.50,50.50,550600,50.50
2014-09-12,51.85,51.85,50.30,50.40,587400,50.40
2014-09-11,50.50,51.50,50.15,51.20,1040300,51.20
2014-09-10,50.70,50.70,49.45,50.00,687900,50.00
2014-09-09,50.50,51.00,49.15,50.70,824500,50.70
2014-09-08,49.85,50.55,49.85,50.15,814100,50.15
2014-09-05,49.80,50.00,48.50,49.10,1021300,49.10
2014-09-04,49.20,50.00,48.20,49.35,1188100,49.35
2014-09-03,50.40,50.60,49.15,49.45,998700,49.45
2014-09-02,50.55,51.70,50.30,50.55,1172300,50.55
2014-09-01,47.35,50.50,47.00,50.15,1253200,50.15
2014-08-29,47.35,47.35,47.35,47.35,000,47.35
2014-08-28,48.80,48.90,47.10,47.35,1021200,47.35
2014-08-27,49.50,49.80,48.50,48.75,1108400,48.75
2014-08-26,52.00,52.00,48.60,49.40,2075500,49.40
2014-08-25,54.95,55.65,52.60,52.80,923500,52.80
2014-08-22,55.45,55.80,54.50,55.05,633000,55.05
2014-08-21,55.80,56.85,54.90,55.35,854300,55.35
2014-08-20,55.65,56.50,54.55,55.80,1157100,55.80
2014-08-19,53.95,55.50,53.95,55.05,837700,55.05
2014-08-18,53.25,54.40,53.25,54.00,457800,54.00
2014-08-15,53.55,53.55,53.55,53.55,000,53.55
2014-08-14,53.50,53.95,52.75,53.55,1043600,53.55
2014-08-13,54.00,54.05,50.60,52.05,1135000,52.05
2014-08-12,54.50,54.70,53.85,54.05,382800,54.05
2014-08-11,54.15,54.90,53.80,54.10,598600,54.10
2014-08-08,55.20,55.20,53.10,53.35,886500,53.35
