Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,16.10,16.35,15.75,15.85,82700,15.85
2015-01-20,15.90,16.30,15.80,16.00,179100,16.00
2015-01-19,15.50,16.00,15.40,15.80,134000,15.80
2015-01-16,15.25,15.50,15.10,15.20,77900,15.20
2015-01-15,15.50,15.50,15.10,15.20,48000,15.20
2015-01-14,15.20,15.70,15.10,15.30,101400,15.30
2015-01-13,15.45,16.10,14.95,15.30,221100,15.30
2015-01-12,15.55,15.70,15.25,15.50,81000,15.50
2015-01-09,15.80,16.00,15.45,15.60,59400,15.60
2015-01-08,15.45,15.90,15.40,15.65,76700,15.65
2015-01-07,15.60,15.60,14.80,15.25,90000,15.25
2015-01-06,15.90,15.90,14.45,15.10,533900,15.10
2015-01-05,16.25,16.70,14.90,16.05,719300,16.05
2015-01-02,16.20,16.40,15.70,16.15,139200,16.15
2015-01-01,15.55,15.85,15.30,15.75,78200,15.75
2014-12-31,15.60,16.00,15.40,15.50,79800,15.50
2014-12-30,15.65,16.00,15.30,15.45,61900,15.45
2014-12-29,16.15,16.35,15.45,15.60,80600,15.60
2014-12-26,16.05,16.55,15.55,16.05,155200,16.05
2014-12-25,16.00,16.00,16.00,16.00,000,16.00
2014-12-24,15.80,16.55,15.80,16.00,87200,16.00
2014-12-23,16.50,16.90,15.65,16.20,220500,16.20
2014-12-22,14.75,16.65,14.40,16.30,600700,16.30
2014-12-19,14.35,15.10,14.15,14.55,229900,14.55
2014-12-18,14.40,14.85,13.55,14.05,451300,14.05
2014-12-17,15.05,15.05,13.55,14.00,213700,14.00
2014-12-16,15.80,15.85,14.55,14.85,232900,14.85
2014-12-15,16.05,16.35,15.45,15.85,111500,15.85
2014-12-12,16.50,16.80,15.55,15.80,216700,15.80
2014-12-11,16.80,16.80,16.20,16.35,103400,16.35
2014-12-10,16.20,16.95,16.20,16.60,92500,16.60
2014-12-09,16.90,16.95,15.85,16.20,150500,16.20
2014-12-08,17.15,17.35,16.55,16.85,204400,16.85
2014-12-05,17.50,17.80,17.10,17.15,174600,17.15
2014-12-04,17.90,17.95,17.35,17.45,128000,17.45
2014-12-03,17.35,17.95,17.30,17.70,296600,17.70
2014-12-02,17.05,17.40,16.80,17.20,230800,17.20
2014-12-01,18.00,18.40,16.55,16.90,276500,16.90
2014-11-28,18.40,18.40,17.65,17.85,96300,17.85
2014-11-27,17.90,18.25,17.70,18.15,242000,18.15
