Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,53.50,54.70,50.50,51.25,1001900,51.25
2015-01-20,47.95,54.95,47.80,52.45,2283800,52.45
2015-01-19,45.75,49.00,45.30,47.70,671700,47.70
2015-01-16,45.80,46.35,45.05,45.30,124400,45.30
2015-01-15,46.15,46.90,45.40,45.60,185900,45.60
2015-01-14,46.55,47.35,44.90,45.30,238100,45.30
2015-01-13,46.95,48.70,45.95,46.75,451500,46.75
2015-01-12,45.90,47.65,45.90,46.55,397800,46.55
2015-01-09,44.70,47.95,44.55,46.35,882400,46.35
2015-01-08,44.85,44.85,43.60,43.85,160600,43.85
2015-01-07,42.70,44.65,41.35,43.30,257600,43.30
2015-01-06,44.65,44.65,42.15,42.55,157900,42.55
2015-01-05,44.25,46.40,43.90,45.10,373800,45.10
2015-01-02,44.05,45.50,43.60,44.10,478500,44.10
2015-01-01,38.00,44.75,38.00,43.90,952300,43.90
2014-12-31,38.25,39.60,38.10,38.95,140700,38.95
2014-12-30,38.35,39.00,38.05,38.35,101400,38.35
2014-12-29,38.05,38.95,37.85,38.10,107900,38.10
2014-12-26,39.00,39.25,37.80,38.00,99400,38.00
2014-12-25,38.45,38.45,38.45,38.45,000,38.45
2014-12-24,38.60,39.25,38.20,38.45,106600,38.45
2014-12-23,38.90,39.60,38.85,38.95,115900,38.95
2014-12-22,39.00,39.90,38.00,39.25,209800,39.25
2014-12-19,40.55,41.40,38.60,38.80,225200,38.80
2014-12-18,38.95,40.75,38.95,39.85,269200,39.85
2014-12-17,38.85,39.00,32.70,37.35,254800,37.35
2014-12-16,42.00,42.50,38.30,38.85,639600,38.85
2014-12-15,41.55,43.30,41.45,42.60,183000,42.60
2014-12-12,44.50,45.75,42.10,42.50,488300,42.50
2014-12-11,42.40,44.90,41.60,43.75,418700,43.75
2014-12-10,43.00,43.55,41.90,42.40,140500,42.40
2014-12-09,44.55,44.55,42.50,42.85,117700,42.85
2014-12-08,46.35,46.70,43.80,44.25,240300,44.25
2014-12-05,47.95,48.75,46.00,46.35,530700,46.35
2014-12-04,44.55,47.90,44.30,47.30,436900,47.30
2014-12-03,42.70,44.85,42.70,44.20,143500,44.20
2014-12-02,42.35,43.40,41.00,43.10,155800,43.10
2014-12-01,42.00,47.75,42.00,42.20,86600,42.20
2014-11-28,43.00,44.85,43.00,43.45,118500,43.45
2014-11-27,44.10,44.45,42.70,43.00,73600,43.00
2014-11-26,43.50,44.55,43.50,43.95,83800,43.95
2014-11-25,45.45,45.80,43.15,43.65,99100,43.65
2014-11-24,47.00,47.00,45.50,45.85,101900,45.85
2014-11-21,47.00,47.70,46.00,46.35,90600,46.35
2014-11-20,47.20,48.30,46.55,47.25,171200,47.25
2014-11-19,49.00,49.50,45.80,46.65,140300,46.65
2014-11-18,49.00,49.55,48.00,48.35,179500,48.35
2014-11-17,46.30,49.90,46.30,48.80,267400,48.80
2014-11-14,48.55,49.30,47.50,47.90,152800,47.90
2014-11-13,49.20,50.20,47.70,48.10,291700,48.10
2014-11-12,50.40,51.45,48.35,48.65,549300,48.65
2014-11-11,45.80,49.65,45.75,49.40,413400,49.40
2014-11-10,47.35,47.35,44.90,45.15,136700,45.15
2014-11-07,48.00,48.00,45.70,46.05,218400,46.05
2014-11-06,47.55,47.55,47.55,47.55,000,47.55
2014-11-05,50.60,51.05,47.00,47.55,572200,47.55
2014-11-04,49.20,49.20,49.20,49.20,000,49.20
2014-11-03,47.05,49.20,47.05,49.20,197600,49.20
2014-10-31,47.95,49.60,46.60,46.90,506300,46.90
2014-10-30,47.50,48.30,47.05,47.25,86100,47.25
2014-10-29,47.25,48.50,47.00,47.60,205300,47.60
2014-10-28,47.00,47.60,45.45,46.95,279600,46.95
2014-10-27,46.75,47.80,44.90,46.00,376600,46.00
2014-10-24,44.50,44.50,44.50,44.50,000,44.50
2014-10-23,44.50,44.50,44.50,44.50,000,44.50
2014-10-22,43.00,44.50,42.50,44.50,204900,44.50
2014-10-21,47.00,47.50,41.85,42.40,411000,42.40
2014-10-20,49.80,49.85,45.90,46.40,284900,46.40
2014-10-17,51.00,51.00,47.20,47.60,306600,47.60
2014-10-16,50.80,54.30,48.85,49.45,555300,49.45
2014-10-15,51.60,51.60,51.60,51.60,000,51.60
2014-10-14,54.30,54.30,51.20,51.60,233600,51.60
2014-10-13,51.00,54.75,48.70,53.80,586400,53.80
2014-10-10,53.50,53.50,51.10,51.45,607300,51.45
2014-10-09,53.50,55.40,53.50,54.05,199600,54.05
2014-10-08,53.75,54.85,50.50,52.90,353800,52.90
2014-10-07,56.25,57.75,53.75,53.85,179200,53.85
2014-10-06,56.55,56.55,56.55,56.55,000,56.55
2014-10-03,56.55,56.55,56.55,56.55,000,56.55
2014-10-02,56.55,56.55,56.55,56.55,000,56.55
2014-10-01,57.85,59.50,54.80,56.55,368200,56.55
2014-09-30,58.55,60.20,56.85,57.65,591500,57.65
2014-09-29,53.10,57.35,52.65,57.35,506000,57.35
2014-09-26,54.65,54.65,54.65,54.65,11700,54.65
2014-09-25,59.00,59.00,57.50,57.50,76800,57.50
2014-09-24,63.80,65.50,60.50,60.50,284900,60.50
2014-09-23,68.75,69.50,63.45,63.65,868000,63.65
2014-09-22,64.40,66.75,63.10,66.75,554400,66.75
2014-09-19,66.25,66.25,63.00,63.60,1254800,63.60
2014-09-18,61.90,63.10,61.90,63.10,205400,63.10
2014-09-17,57.00,60.10,56.15,60.10,1715100,60.10
2014-09-16,55.65,60.20,50.60,54.65,3165400,54.65
2014-09-15,50.40,54.75,48.50,54.75,2366000,54.75
2014-09-12,45.75,49.80,45.60,49.80,1139000,49.80
2014-09-11,46.75,46.85,45.05,45.30,348900,45.30
2014-09-10,46.00,47.25,45.50,46.10,578100,46.10
2014-09-09,44.25,47.50,43.85,46.60,1481100,46.60
2014-09-08,43.15,44.80,42.30,44.00,807300,44.00
2014-09-05,43.50,44.20,42.25,42.95,471900,42.95
2014-09-04,43.95,44.80,42.90,43.25,805800,43.25
2014-09-03,41.00,44.10,40.50,43.75,1480900,43.75
2014-09-02,40.60,41.90,40.20,40.80,501200,40.80
2014-09-01,40.80,41.75,38.65,40.45,518800,40.45
2014-08-29,40.25,40.25,40.25,40.25,000,40.25
2014-08-28,42.75,42.75,39.85,40.25,636400,40.25
2014-08-27,42.80,43.55,41.40,42.10,1058600,42.10
2014-08-26,41.90,44.45,38.45,41.95,3217200,41.95
2014-08-25,35.35,41.80,33.55,41.45,4964500,41.45
2014-08-22,30.20,35.50,30.10,34.85,3286000,34.85
2014-08-21,29.00,30.90,28.95,29.90,1029700,29.90
2014-08-20,27.35,29.75,27.10,29.05,1194300,29.05
2014-08-19,27.15,27.75,26.80,27.10,277600,27.10
2014-08-18,26.50,26.85,26.00,26.75,98800,26.75
2014-08-15,25.95,25.95,25.95,25.95,000,25.95
2014-08-14,26.90,27.00,25.55,25.95,318000,25.95
2014-08-13,27.25,28.25,26.20,26.55,348700,26.55
2014-08-12,27.05,28.00,26.90,27.70,251100,27.70
2014-08-11,27.50,27.50,26.55,26.95,121800,26.95
2014-08-08,26.50,27.35,26.00,26.15,222800,26.15
2014-08-07,28.00,28.10,26.85,27.15,111600,27.15
2014-08-06,28.35,28.70,27.55,27.70,253300,27.70
2014-08-05,28.80,28.95,28.00,28.35,549300,28.35
2014-08-04,26.35,28.50,26.20,27.85,299200,27.85
2014-08-01,26.40,26.90,26.00,26.05,122300,25.90
2014-07-31,27.15,27.25,26.25,26.35,191900,26.20
2014-07-30,26.30,27.90,26.00,27.15,654000,26.99
2014-07-29,26.20,26.20,26.20,26.20,000,26.05
2014-07-28,26.30,26.65,25.35,26.20,241400,26.05
2014-07-25,27.05,27.50,25.60,26.10,295000,25.95
2014-07-24,28.25,28.25,26.90,27.05,409000,26.89
2014-07-23,26.85,28.40,26.65,28.15,856600,27.99
2014-07-22,27.15,27.90,26.60,26.80,784100,26.65
2014-07-21,24.40,26.60,24.40,26.35,646300,26.20
2014-07-18,24.15,24.75,23.75,24.15,160000,24.01
2014-07-17,24.50,24.80,23.90,24.20,145100,24.06
2014-07-16,23.90,24.30,23.60,24.20,152100,24.06
2014-07-15,23.75,23.85,22.95,23.60,143800,23.46
2014-07-14,22.45,23.35,21.75,22.85,164100,22.72
2014-07-11,23.70,24.60,21.85,22.25,306200,22.12
2014-07-10,23.00,25.10,22.20,23.60,267900,23.46
2014-07-09,24.30,24.90,21.75,23.00,382100,22.87
2014-07-08,26.35,26.35,23.90,24.15,250700,24.01
2014-07-07,26.50,26.65,26.00,26.10,155700,25.95
2014-07-04,26.05,26.70,25.60,25.90,355300,25.75
2014-07-03,26.50,26.50,25.50,25.80,123800,25.65
2014-07-02,27.10,27.15,25.45,25.65,510700,25.50
2014-07-01,26.05,27.40,25.90,26.65,722500,26.50
2014-06-30,25.10,26.00,25.00,25.65,253300,25.50
2014-06-27,25.20,25.80,24.85,24.95,237100,24.81
2014-06-26,25.20,25.75,24.85,25.00,176400,24.86
2014-06-25,25.35,26.25,25.30,25.45,300300,25.30
2014-06-24,25.10,26.00,24.50,25.50,398500,25.35
2014-06-23,25.00,25.40,24.20,24.60,247800,24.46
2014-06-20,25.35,25.90,24.70,24.90,350800,24.76
2014-06-19,26.00,26.40,25.10,25.25,283000,25.10
2014-06-18,27.20,27.25,25.55,26.00,282700,25.85
2014-06-17,26.95,27.45,26.15,26.85,398800,26.70
2014-06-16,24.90,26.90,23.50,26.65,570900,26.50
2014-06-13,28.60,28.60,25.45,25.50,989800,25.35
2014-06-12,30.20,30.50,28.05,28.25,1061600,28.09
2014-06-11,28.10,30.85,27.65,29.95,2342000,29.78
2014-06-10,25.90,28.65,24.50,27.45,2470400,27.29
2014-06-09,24.70,25.60,23.60,25.30,1285000,25.15
2014-06-06,23.00,24.50,22.50,24.25,1322500,24.11
2014-06-05,21.15,22.95,20.60,22.65,1718600,22.52
2014-06-04,20.15,21.25,19.90,20.80,561700,20.68
2014-06-03,19.95,20.55,19.90,20.00,162600,19.88
2014-06-02,20.40,20.60,20.05,20.30,180700,20.18
2014-05-30,19.00,20.70,19.00,20.05,334200,19.93
2014-05-29,20.00,20.25,19.05,19.10,93200,18.99
2014-05-28,19.00,20.35,19.00,19.65,200400,19.54
2014-05-27,19.15,19.40,18.40,19.10,136400,18.99
2014-05-26,21.25,21.80,18.75,19.15,719100,19.04
2014-05-23,20.00,21.50,19.75,20.75,807400,20.63
2014-05-22,20.90,20.90,19.50,19.55,287500,19.44
2014-05-21,19.05,20.70,19.05,20.35,625900,20.23
2014-05-20,19.00,19.40,18.60,18.95,280300,18.84
2014-05-19,17.40,18.90,17.15,18.65,326300,18.54
2014-05-16,17.55,17.55,16.85,17.00,131600,16.90
2014-05-15,17.00,17.50,17.00,17.15,204100,17.05
2014-05-14,17.00,17.25,16.80,16.95,107900,16.85
2014-05-13,17.20,17.50,16.40,16.65,218800,16.55
2014-05-12,17.60,17.60,17.05,17.15,118200,17.05
2014-05-09,17.50,17.65,17.20,17.40,173100,17.30
2014-05-08,17.30,18.00,17.25,17.35,299600,17.25
2014-05-07,18.00,18.00,16.85,17.25,358200,17.15
2014-05-06,18.65,19.05,17.85,18.05,385900,17.95
2014-05-05,18.15,18.70,18.00,18.15,248100,18.05
2014-05-02,18.75,19.05,17.95,18.15,191400,18.05
2014-05-01,18.50,18.50,18.50,18.50,000,18.39
2014-04-30,19.15,19.65,17.95,18.50,352700,18.39
2014-04-29,19.50,20.00,18.65,18.85,323500,18.74
2014-04-28,20.35,20.35,18.80,19.25,426000,19.14
2014-04-25,19.95,20.80,19.80,20.05,714800,19.93
2014-04-24,19.70,19.70,19.70,19.70,000,19.59
2014-04-23,19.40,20.15,19.40,19.70,433500,19.59
2014-04-22,19.50,20.35,19.30,19.40,555100,19.29
2014-04-21,18.70,19.90,18.70,19.40,561000,19.29
2014-04-18,18.45,18.45,18.45,18.45,000,18.34
2014-04-17,18.10,19.00,18.10,18.45,370800,18.34
2014-04-16,18.85,19.40,17.65,17.85,232400,17.75
2014-04-15,20.15,20.50,18.50,18.75,376600,18.64
2014-04-14,19.80,19.80,19.80,19.80,000,19.69
2014-04-11,20.65,20.65,19.55,19.80,426700,19.69
2014-04-10,21.35,21.45,20.00,20.25,500700,20.13
2014-04-09,20.40,21.45,20.05,20.95,542200,20.83
2014-04-08,19.75,19.75,19.75,19.75,000,19.64
2014-04-07,18.15,20.10,17.70,19.75,936700,19.64
2014-04-04,18.60,19.10,17.80,18.10,264800,18.00
2014-04-03,18.90,19.80,18.20,18.65,773600,18.54
2014-04-02,17.25,19.15,17.25,18.55,828300,18.44
2014-04-01,17.85,18.25,17.15,17.35,447100,17.25
2014-03-31,16.45,17.90,15.40,17.76,675000,17.66
2014-03-28,15.67,15.95,15.40,15.47,69500,15.38
2014-03-27,15.56,15.99,15.40,15.50,88400,15.41
2014-03-26,16.00,16.00,15.41,15.47,73000,15.38
2014-03-25,15.52,16.20,15.52,15.79,108500,15.70
2014-03-24,15.75,16.45,15.41,15.52,205500,15.43
2014-03-21,15.95,16.33,15.15,15.68,504600,15.59
2014-03-20,13.75,16.17,13.75,15.81,702300,15.72
2014-03-19,14.00,14.15,13.88,13.91,103900,13.83
2014-03-18,13.93,14.30,13.91,13.93,64600,13.85
2014-03-17,14.17,14.17,14.17,14.17,000,14.09
2014-03-14,14.69,14.80,14.10,14.17,92500,14.09
2014-03-13,14.80,15.15,14.52,14.68,115600,14.60
2014-03-12,14.99,15.02,14.35,14.64,80000,14.56
2014-03-11,14.35,15.30,14.10,15.03,323800,14.94
2014-03-10,14.26,14.45,13.95,14.36,154000,14.28
2014-03-07,14.05,14.55,13.87,14.39,182300,14.31
2014-03-06,13.50,14.53,13.35,14.02,276600,13.94
