Date,Open,High,Low,Close,Volume,Adj Close
2014-07-25,1998.00,2008.40,1971.80,1985.85,88000,397.17
2014-07-24,2005.50,2010.15,1983.85,1996.65,91200,399.33
2014-07-23,2016.00,2042.95,1985.05,2002.20,231800,400.44
2014-07-22,2037.00,2037.00,2001.60,2017.60,127900,403.52
2014-07-21,2018.00,2037.55,2003.30,2023.15,127800,404.63
2014-07-18,1950.00,2009.00,1932.55,1996.05,183400,399.21
2014-07-17,9835.00,9845.00,9737.50,9774.75,74600,1954.95
2014-07-16,9580.00,9874.50,9535.00,9826.25,154400,1965.25
2014-07-15,9287.50,9518.00,9262.50,9487.50,86300,1897.50
2014-07-14,9095.50,9305.00,9045.25,9233.50,75600,1846.70
2014-07-11,9375.00,9375.00,9035.00,9080.50,145100,1816.10
2014-07-10,9355.00,9690.00,9125.00,9299.25,203100,1859.85
2014-07-09,9400.00,9545.00,9317.00,9372.25,105700,1874.45
2014-07-08,9615.00,9621.25,9275.00,9441.50,105100,1888.30
2014-07-07,9700.00,9705.25,9570.00,9612.25,55300,1922.45
2014-07-04,9630.00,9739.75,9590.00,9672.50,182700,1934.50
2014-07-03,9625.00,9704.50,9605.00,9624.50,38000,1924.90
2014-07-02,9733.00,9733.00,9615.00,9633.75,109400,1926.75
2014-07-01,9625.00,9675.00,9584.00,9601.50,93500,1920.30
2014-06-30,9670.00,9749.00,9560.25,9607.00,125800,1921.40
2014-06-27,9640.00,9677.25,9510.00,9553.50,112200,1910.70
2014-06-26,9545.00,9682.50,9540.00,9632.00,101800,1926.40
2014-06-25,9640.00,9640.00,9528.00,9569.25,66700,1913.85
2014-06-24,9425.00,9650.00,9420.00,9623.25,130300,1924.65
2014-06-23,9340.00,9451.75,9283.00,9416.75,92900,1883.35
2014-06-20,9190.00,9417.75,9146.75,9338.25,157000,1867.65
2014-06-19,9275.00,9339.25,9138.75,9213.75,103100,1842.75
2014-06-18,9200.00,9369.50,9125.00,9236.00,234000,1847.20
2014-06-17,8855.00,9231.00,8801.00,9197.25,189400,1839.45
2014-06-16,9090.00,9147.00,8750.00,8861.25,144400,1772.25
2014-06-13,9475.00,9543.75,9055.00,9095.50,199700,1819.10
2014-06-12,9643.25,9645.00,9465.25,9522.50,106000,1904.50
2014-06-11,9675.25,9843.75,9640.25,9706.50,112200,1941.30
2014-06-10,9850.00,9859.50,9650.25,9677.50,89300,1915.50
2014-06-09,9930.00,9950.00,9800.00,9800.00,99400,1939.75
2014-06-06,9750.00,9912.50,9727.50,9870.00,131400,1953.60
2014-06-05,9625.00,9750.00,9595.00,9734.50,111000,1926.78
2014-06-04,9495.00,9662.00,9410.00,9623.25,133400,1904.76
2014-06-03,9525.00,9624.25,9438.00,9497.50,170400,1879.87
2014-06-02,9174.00,9550.00,9117.75,9511.75,151900,1882.69
2014-05-30,9300.00,9325.00,9123.00,9180.75,124100,1817.18
2014-05-29,9275.00,9452.50,9255.00,9327.75,151300,1846.27
2014-05-28,9255.00,9372.50,9130.00,9306.00,110600,1841.97
2014-05-27,9349.50,9350.00,9158.75,9242.75,117200,1829.45
2014-05-26,9350.00,9636.50,9240.00,9369.00,193700,1854.44
2014-05-23,9220.50,9369.50,9213.00,9324.75,91400,1845.68
2014-05-22,9130.00,9279.50,9035.00,9205.75,135700,1822.12
2014-05-21,9275.00,9325.00,9039.50,9076.25,148000,1796.49
2014-05-20,9325.00,9450.00,9210.00,9278.75,180900,1836.57
2014-05-19,8860.00,9355.25,8860.00,9274.25,274000,1835.68
2014-05-16,8674.00,9391.00,8419.50,8784.25,726800,1738.70
2014-05-15,8200.00,8373.50,8200.00,8318.25,175100,1646.46
2014-05-14,8235.00,8315.25,8163.00,8192.75,180400,1621.62
2014-05-13,8330.00,8404.00,8200.00,8248.75,271800,1632.70
2014-05-12,8205.00,8455.00,8195.00,8231.50,278800,1629.29
2014-05-09,7770.00,8259.75,7740.00,8157.50,305400,1614.64
2014-05-08,7705.00,7796.75,7670.25,7778.75,179700,1539.67
2014-05-07,7650.00,7768.50,7599.75,7704.50,120400,1524.98
2014-05-06,7780.00,7814.50,7656.75,7689.75,100600,1522.06
2014-05-05,7660.50,7819.50,7606.00,7764.50,153800,1536.85
2014-05-02,7610.00,7690.00,7600.25,7652.25,97100,1514.64
2014-05-01,7596.00,7596.00,7596.00,7596.00,000,1503.50
2014-04-30,7640.50,7738.00,7503.00,7596.00,161700,1503.50
2014-04-29,7660.00,7709.75,7541.50,7640.50,152400,1512.31
2014-04-28,7725.00,7775.00,7627.75,7650.00,190100,1514.19
2014-04-25,7590.00,7740.00,7510.00,7672.25,335100,1518.59
2014-04-24,7588.50,7588.50,7588.50,7588.50,000,1502.02
2014-04-23,7520.00,7665.00,7471.75,7588.50,206800,1502.02
2014-04-22,7505.00,7559.25,7443.25,7500.25,91500,1484.55
2014-04-21,7325.50,7540.00,7325.50,7511.25,118400,1486.73
2014-04-18,7323.25,7323.25,7323.25,7323.25,000,1449.52
2014-04-17,7175.00,7355.00,7175.00,7323.25,147200,1449.52
2014-04-16,7230.50,7323.50,7135.75,7158.25,104200,1416.86
2014-04-15,7475.50,7475.50,7190.00,7228.75,110300,1430.81
2014-04-14,7477.00,7477.00,7477.00,7477.00,000,1479.95
2014-04-11,7444.50,7529.00,7401.75,7477.00,113900,1479.95
2014-04-10,7450.00,7580.00,7370.50,7509.75,207300,1486.43
2014-04-09,7125.00,7458.75,7109.50,7424.25,178700,1469.51
2014-04-08,7108.50,7108.50,7108.50,7108.50,000,1407.01
2014-04-07,6767.00,7198.75,6767.00,7108.50,57100,1407.01
2014-04-04,7168.50,7249.75,7093.25,7145.75,169000,1414.38
2014-04-03,7325.00,7332.50,7143.00,7186.25,108900,1422.40
2014-04-02,7297.50,7375.00,7192.50,7330.25,193800,1450.90
2014-04-01,7325.00,7387.50,7270.00,7344.00,236400,1453.62
2014-03-31,7330.00,7374.00,7244.50,7302.25,179700,1445.36
2014-03-28,7156.50,7348.25,7155.00,7305.75,210700,1446.05
2014-03-27,7166.50,7341.50,7050.00,7151.00,300500,1415.42
2014-03-26,7075.00,7189.75,7029.50,7151.00,206300,1415.42
2014-03-25,7075.00,7101.75,6975.00,7004.00,159000,1386.33
2014-03-24,7020.00,7124.00,6976.00,7054.50,281000,1396.32
2014-03-21,6675.00,7053.00,6566.25,6967.00,52682600,1379.00
2014-03-20,6838.50,6917.50,6729.75,6784.25,240800,1342.83
2014-03-19,6770.00,6979.00,6757.75,6930.75,225200,1371.83
2014-03-18,6800.00,6910.50,6705.00,6743.25,139500,1334.71
2014-03-17,6780.00,6780.00,6780.00,6780.00,000,1341.99
2014-03-14,6855.00,6855.00,6665.50,6780.00,167400,1341.99
2014-03-13,7030.00,7125.00,6875.00,6904.00,186500,1366.53
2014-03-12,7050.00,7124.25,6958.75,6990.25,197800,1383.60
2014-03-11,7110.00,7259.75,7066.50,7092.25,354000,1403.79
2014-03-10,6960.50,7210.50,6955.00,7134.00,242700,1412.06
2014-03-07,6630.00,7119.25,6630.00,7034.50,464900,1392.36
2014-03-06,6535.00,6664.50,6535.00,6641.50,171900,1314.57
2014-03-05,6480.00,6564.50,6470.00,6533.75,180100,1293.25
2014-03-04,6295.00,6523.50,6279.50,6475.25,244700,1281.67
2014-03-03,6300.00,6421.25,6236.50,6269.00,154900,1240.84
2014-02-28,6195.00,6345.00,6186.00,6329.50,153300,1252.82
2014-02-27,6181.00,6181.00,6181.00,6181.00,000,1223.43
2014-02-26,6190.00,6223.50,6140.50,6181.00,126600,1223.43
2014-02-25,6187.50,6250.00,6126.50,6175.75,196500,1222.39
2014-02-24,5939.00,6215.00,5917.00,6177.50,313500,1222.73
2014-02-21,5805.00,5972.50,5805.00,5948.75,213500,1177.46
2014-02-20,5790.00,5850.00,5733.00,5783.75,126000,1144.80
2014-02-19,5822.50,5885.00,5792.00,5823.50,119700,1152.66
2014-02-18,5561.25,5858.50,5541.75,5823.00,280500,1152.57
2014-02-17,5555.00,5599.75,5526.00,5576.75,78800,1103.82
2014-02-14,5532.50,5555.00,5417.00,5513.50,141700,1091.31
2014-02-13,5625.00,5625.00,5475.25,5506.00,82900,1089.82
2014-02-12,5665.75,5668.25,5573.00,5596.00,95100,1107.63
2014-02-11,5643.25,5655.00,5591.25,5613.00,73400,1111.00
2014-02-10,5673.50,5693.50,5579.25,5600.50,82000,1108.53
2014-02-07,5615.00,5645.00,5555.50,5628.75,145300,1114.12
2014-02-06,5639.50,5677.75,5494.50,5514.25,189100,1091.45
2014-02-05,5639.00,5650.25,5560.00,5606.00,148600,1109.61
2014-02-04,5565.00,5639.25,5505.50,5616.25,159200,1111.64
2014-02-03,5585.00,5667.00,5553.75,5615.25,113900,1111.45
2014-01-31,5594.50,5628.25,5545.00,5597.75,263100,1107.98
2014-01-30,5580.00,5635.75,5529.00,5549.75,141500,1098.48
2014-01-29,5648.50,5746.50,5610.50,5698.25,183500,1127.87
2014-01-28,5815.00,5896.00,5579.75,5609.75,263900,1110.36
2014-01-27,5905.00,5918.25,5775.00,5799.75,172000,1147.96
2014-01-24,6030.00,6142.50,5980.00,6034.75,235600,1194.48
2014-01-23,5935.00,6099.00,5908.75,6081.50,298900,1203.73
2014-01-22,5945.00,6010.00,5864.50,5934.25,267800,1174.59
2014-01-21,5840.00,5961.75,5795.00,5945.50,569300,1176.81
