Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,73.40,78.17,73.40,77.64,854300,15.53
2015-01-20,352.50,370.55,350.70,366.60,66300,73.32
2015-01-19,353.00,353.70,349.00,351.45,26800,70.29
2015-01-16,351.95,353.95,344.10,348.90,25100,69.78
2015-01-15,350.00,353.90,347.00,347.90,46400,69.58
2015-01-14,344.50,348.50,341.25,342.25,24500,68.45
2015-01-13,345.00,349.30,341.25,343.95,42600,68.79
2015-01-12,328.50,341.95,324.40,339.25,46100,67.85
2015-01-09,326.95,329.65,324.45,326.00,16300,65.20
2015-01-08,328.00,329.80,324.00,325.20,18800,65.04
2015-01-07,328.85,328.85,322.50,324.45,7700,64.89
2015-01-06,334.25,334.25,326.00,327.15,23000,65.43
2015-01-05,342.00,342.00,335.00,335.50,21700,67.10
2015-01-02,342.10,342.25,337.00,338.85,29000,67.77
2015-01-01,338.00,343.00,336.00,340.65,21000,68.13
2014-12-31,337.00,342.00,335.35,336.50,25400,67.30
2014-12-30,336.85,338.00,332.00,337.00,25600,67.40
2014-12-29,333.00,341.80,332.70,334.10,52900,66.82
2014-12-26,1610.00,1660.50,1590.00,1655.50,76000,331.10
2014-12-25,1581.50,1581.50,1581.50,1581.50,000,316.30
2014-12-24,1585.50,1592.50,1564.25,1581.50,11100,316.30
2014-12-23,1570.50,1583.50,1550.00,1562.00,10700,312.40
2014-12-22,1574.75,1574.75,1550.00,1566.75,6000,313.35
2014-12-19,1580.00,1580.00,1546.00,1560.00,17400,312.00
2014-12-18,1517.50,1550.00,1510.50,1546.50,11700,309.30
2014-12-17,1505.50,1518.75,1410.25,1480.25,64200,296.05
2014-12-16,1581.75,1583.25,1508.00,1523.25,14900,304.65
2014-12-15,1591.00,1607.50,1580.00,1584.50,7700,316.90
2014-12-12,1624.75,1636.50,1566.50,1592.00,15400,318.40
2014-12-11,1616.00,1638.75,1603.75,1620.75,12900,324.15
2014-12-10,1625.25,1640.75,1611.75,1616.00,13000,323.20
2014-12-09,1673.50,1697.00,1615.00,1619.75,12200,323.95
2014-12-08,1685.00,1728.00,1675.00,1681.75,14200,336.35
2014-12-05,1679.50,1734.75,1679.50,1698.50,36700,339.70
2014-12-04,1696.75,1704.00,1660.00,1677.75,15400,335.55
2014-12-03,1640.50,1700.00,1638.75,1682.00,47300,336.40
2014-12-02,1615.00,1649.75,1605.00,1632.75,12100,326.55
2014-12-01,1647.25,1649.50,1610.00,1614.00,5200,322.80
2014-11-28,1615.00,1665.00,1615.00,1633.75,46600,326.75
2014-11-27,1610.25,1617.75,1598.50,1601.75,3800,320.35
2014-11-26,1605.00,1620.75,1600.75,1615.50,12700,323.10
2014-11-25,1629.00,1629.00,1588.00,1609.00,7300,321.80
2014-11-24,1614.75,1627.00,1600.00,1620.25,7600,324.05
2014-11-21,1637.50,1662.50,1588.75,1603.75,18400,320.75
2014-11-20,1642.50,1654.75,1623.25,1637.00,6900,327.40
2014-11-19,1689.75,1690.00,1635.50,1637.25,9800,327.45
2014-11-18,1664.75,1681.50,1654.25,1666.75,12900,333.35
2014-11-17,1624.00,1654.00,1598.25,1647.50,9700,329.50
2014-11-14,1605.50,1624.75,1605.00,1607.75,10100,321.55
2014-11-13,1645.00,1652.25,1610.00,1617.25,14200,323.45
2014-11-12,1675.00,1682.50,1640.00,1647.75,9800,329.55
2014-11-11,1665.00,1669.50,1624.75,1658.75,20500,331.75
2014-11-10,1699.50,1707.50,1636.25,1650.25,26900,330.05
2014-11-07,1685.00,1745.00,1666.00,1683.00,191900,336.60
2014-11-06,1685.75,1685.75,1685.75,1685.75,000,337.15
2014-11-05,1694.00,1706.00,1676.00,1685.75,13900,337.15
2014-11-04,1686.75,1686.75,1686.75,1686.75,000,337.35
2014-11-03,1708.50,1709.25,1675.25,1686.75,8100,337.35
2014-10-31,1696.75,1705.00,1680.00,1687.75,10500,337.55
2014-10-30,1645.25,1693.00,1630.25,1686.00,12900,337.20
2014-10-29,1670.00,1670.00,1602.00,1634.25,3200,326.85
2014-10-28,1647.00,1660.50,1640.50,1650.75,8900,330.15
2014-10-27,1643.75,1664.50,1605.25,1628.25,5800,325.65
2014-10-24,1642.25,1642.25,1642.25,1642.25,000,328.45
2014-10-23,1642.25,1642.25,1642.25,1642.25,000,328.45
2014-10-22,1646.75,1648.50,1630.00,1642.25,4100,328.45
2014-10-21,1636.00,1655.00,1626.25,1633.50,2600,326.70
2014-10-20,1640.75,1658.00,1615.00,1620.75,5100,324.15
2014-10-17,1591.50,1624.50,1591.50,1614.25,6400,322.85
