Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,67.00,73.95,67.00,72.15,767600,72.15
2015-01-20,66.20,67.70,66.20,67.05,77300,67.05
2015-01-19,67.20,68.20,65.95,66.50,65400,66.50
2015-01-16,67.30,70.50,66.15,67.05,310300,67.05
2015-01-15,66.60,71.40,66.25,67.85,667700,67.85
2015-01-14,65.85,67.75,64.60,65.05,75200,65.05
2015-01-13,66.60,67.75,64.50,65.30,66300,65.30
2015-01-12,68.20,68.45,66.20,66.85,60500,66.85
2015-01-09,70.05,72.00,67.80,68.35,90800,68.35
2015-01-08,70.00,71.00,68.80,69.35,79300,69.35
2015-01-07,71.00,72.70,67.70,68.80,181400,68.80
2015-01-06,75.00,75.10,69.00,69.70,268300,69.70
2015-01-05,78.00,81.00,75.15,75.70,255200,75.70
2015-01-02,75.95,78.00,73.60,77.45,471000,77.45
2015-01-01,77.55,82.10,74.40,76.75,1644300,76.75
2014-12-31,59.40,70.05,58.15,70.05,1118900,70.05
2014-12-30,58.10,60.50,57.90,58.40,45500,58.40
2014-12-29,58.00,60.30,57.75,58.45,94500,58.45
2014-12-26,54.70,61.65,54.70,59.00,463800,59.00
2014-12-25,54.25,54.25,54.25,54.25,000,54.25
2014-12-24,55.25,56.95,53.50,54.25,66600,54.25
2014-12-23,55.50,56.70,54.10,54.35,419500,54.35
2014-12-22,56.65,57.45,55.00,55.90,132400,55.90
2014-12-19,60.00,61.00,55.30,55.90,37500,55.90
2014-12-18,59.80,61.20,58.10,59.00,139600,59.00
2014-12-17,57.60,58.75,51.00,56.15,136300,56.15
2014-12-16,60.00,60.00,57.45,57.95,41300,57.95
2014-12-15,61.45,62.05,60.10,60.45,226900,60.45
2014-12-12,65.15,65.15,61.70,61.95,20700,61.95
2014-12-11,64.70,65.15,63.60,64.00,20000,64.00
2014-12-10,63.75,66.50,63.70,65.85,36900,65.85
2014-12-09,66.80,67.00,63.10,63.85,29300,63.85
2014-12-08,66.00,67.90,66.00,66.75,39700,66.75
2014-12-05,67.20,68.15,65.25,65.80,54300,65.80
2014-12-04,67.00,69.00,65.25,67.25,75900,67.25
2014-12-03,66.00,67.90,65.60,67.05,45200,67.05
2014-12-02,66.00,66.55,63.70,65.90,117900,65.90
2014-12-01,65.00,66.60,64.20,66.05,46100,66.05
2014-11-28,64.60,66.00,63.30,64.35,53300,64.35
2014-11-27,66.50,66.50,64.00,64.35,27100,64.35
2014-11-26,62.10,66.25,61.70,64.90,110400,64.90
2014-11-25,65.35,65.85,61.00,62.75,69400,62.75
2014-11-24,68.00,68.00,64.60,65.20,136800,65.20
2014-11-21,67.90,68.70,67.00,67.65,37200,67.65
