Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,19.00,20.65,18.70,18.95,2035600,18.95
2015-01-20,19.15,19.45,18.95,19.00,108400,19.00
2015-01-19,18.75,19.40,18.75,19.15,123000,19.15
2015-01-16,18.95,19.20,18.60,18.70,75300,18.70
2015-01-15,19.50,19.55,18.75,18.85,90600,18.85
2015-01-14,19.70,19.75,19.00,19.05,197100,19.05
2015-01-13,19.70,20.40,19.50,19.60,456800,19.60
2015-01-12,19.90,19.90,18.95,19.10,303300,19.10
2015-01-09,17.90,19.90,17.55,19.65,454900,19.65
2015-01-08,17.60,17.80,17.40,17.45,116700,17.45
2015-01-07,17.55,17.65,17.00,17.30,117000,17.30
2015-01-06,17.70,18.40,17.20,17.40,188600,17.40
2015-01-05,17.80,18.20,17.80,18.00,91200,18.00
2015-01-02,17.75,18.30,17.75,18.00,117700,18.00
2015-01-01,17.20,17.90,17.20,17.80,157900,17.80
2014-12-31,17.25,17.45,16.90,17.25,99600,17.25
2014-12-30,17.30,17.30,16.75,16.95,62600,16.95
2014-12-29,17.20,17.40,17.00,17.10,108300,17.10
2014-12-26,17.00,17.45,16.75,16.95,104400,16.95
2014-12-25,17.05,17.05,17.05,17.05,000,17.05
2014-12-24,16.65,17.45,16.30,17.05,264200,17.05
2014-12-23,17.70,17.90,16.10,16.65,207200,16.65
2014-12-22,18.00,18.45,17.30,17.60,130600,17.60
2014-12-19,18.30,18.85,17.70,18.00,344200,18.00
2014-12-18,17.00,18.70,17.00,18.05,225900,18.05
2014-12-17,16.60,17.15,15.65,16.55,327100,16.55
2014-12-16,18.00,18.00,16.55,16.75,284900,16.75
2014-12-15,18.70,18.90,18.20,18.25,139900,18.25
2014-12-12,19.40,19.70,18.70,18.90,164900,18.90
2014-12-11,19.35,19.65,18.90,19.25,80600,19.25
2014-12-10,19.20,19.65,19.20,19.50,142800,19.50
2014-12-09,20.10,20.25,19.25,19.35,187100,19.35
2014-12-08,21.50,21.50,20.10,20.20,208000,20.20
2014-12-05,22.25,22.25,21.25,21.40,141000,21.40
2014-12-04,21.50,22.75,21.25,22.15,400800,22.15
2014-12-03,21.20,22.05,20.85,21.85,264600,21.85
2014-12-02,21.90,21.90,20.75,21.05,215400,21.05
2014-12-01,21.50,22.60,21.35,21.80,712300,21.80
2014-11-28,19.85,21.55,19.75,21.30,553000,21.30
2014-11-27,19.80,20.10,19.60,19.75,108500,19.75
2014-11-26,19.20,20.15,19.20,19.85,180500,19.85
2014-11-25,20.85,20.85,19.00,19.55,256800,19.55
2014-11-24,21.70,21.70,20.40,20.55,167800,20.55
2014-11-21,21.80,21.95,21.05,21.30,230800,21.30
2014-11-20,21.80,21.90,21.20,21.55,99200,21.55
2014-11-19,21.50,22.85,21.30,21.85,413400,21.85
2014-11-18,21.80,22.10,21.30,21.60,185800,21.60
2014-11-17,21.90,22.35,21.55,21.75,246600,21.75
2014-11-14,21.60,22.25,21.50,21.75,226400,21.75
2014-11-13,23.00,23.00,20.90,21.60,618300,21.60
2014-11-12,23.50,23.75,23.05,23.15,209800,23.15
2014-11-11,24.00,24.05,23.25,23.50,324900,23.50
2014-11-10,24.30,24.40,23.40,23.80,211200,23.80
2014-11-07,24.95,24.95,24.05,24.20,185900,24.20
2014-11-06,24.70,24.70,24.70,24.70,000,24.70
2014-11-05,25.20,25.55,24.55,24.70,387100,24.70
2014-11-04,25.10,25.10,25.10,25.10,000,25.10
2014-11-03,24.30,25.55,24.25,25.10,540700,25.10
2014-10-31,24.70,24.70,23.90,24.20,318900,24.20
2014-10-30,24.50,24.50,23.65,23.90,177600,23.90
2014-10-29,24.80,25.00,24.15,24.30,597800,24.30
2014-10-28,23.80,24.55,23.60,24.20,365100,24.20
2014-10-27,24.40,24.45,23.60,23.75,141600,23.75
2014-10-24,24.10,24.10,24.10,24.10,000,24.10
2014-10-23,24.10,24.10,24.10,24.10,000,24.10
2014-10-22,23.80,24.30,23.50,24.10,238100,24.10
2014-10-21,23.85,24.10,23.40,23.50,95400,23.50
2014-10-20,23.75,23.90,23.40,23.75,158700,23.75
2014-10-17,23.50,23.90,22.50,23.20,350400,23.20
2014-10-16,23.60,24.25,22.65,22.90,212300,22.90
2014-10-15,23.85,23.85,23.85,23.85,000,23.85
2014-10-14,25.00,25.00,23.65,23.85,257100,23.85
