Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,101.85,101.90,97.60,98.65,457000,98.65
2015-01-20,99.00,103.20,98.75,101.00,905300,101.00
2015-01-19,99.25,100.25,98.50,98.90,309300,98.90
2015-01-16,98.50,102.20,96.95,98.85,793700,98.85
2015-01-15,96.50,102.40,95.45,98.65,1516600,98.65
2015-01-14,95.40,96.45,94.20,95.25,320800,95.25
2015-01-13,97.25,98.40,94.10,95.20,529500,95.20
2015-01-12,92.60,97.70,91.20,96.85,627200,96.85
2015-01-09,95.65,95.85,91.75,92.75,534900,92.75
2015-01-08,89.25,96.30,89.25,94.95,889000,94.95
2015-01-07,89.45,89.80,87.80,88.75,270200,88.75
2015-01-06,91.55,92.45,87.90,88.45,403700,88.45
2015-01-05,92.65,93.50,90.60,92.70,264600,92.70
2015-01-02,90.15,93.80,90.15,92.40,554900,92.40
2015-01-01,90.80,91.50,89.60,90.05,178900,90.05
2014-12-31,92.00,92.25,90.50,90.75,156300,90.75
2014-12-30,89.55,92.40,88.50,91.90,517400,91.90
2014-12-29,87.45,89.80,87.10,89.00,347100,89.00
2014-12-26,86.60,88.35,86.05,86.50,175600,86.50
2014-12-25,87.30,87.30,87.30,87.30,000,87.30
2014-12-24,88.20,88.85,87.00,87.30,201700,87.30
2014-12-23,89.40,89.95,87.10,88.10,217000,88.10
2014-12-22,89.00,90.55,88.00,89.40,383500,89.40
2014-12-19,85.90,92.25,85.90,88.35,927100,88.35
2014-12-18,84.00,86.00,83.50,85.60,286400,85.60
2014-12-17,85.40,85.70,79.70,82.80,375000,82.80
2014-12-16,87.80,88.75,84.95,85.30,371700,85.30
2014-12-15,88.70,89.70,87.30,88.50,179800,88.50
2014-12-12,92.40,92.90,88.25,88.70,330400,88.70
2014-12-11,93.25,94.50,91.25,91.90,407700,91.90
2014-12-10,92.00,93.40,91.25,92.75,295600,92.75
2014-12-09,93.30,94.55,90.50,91.55,377700,91.55
2014-12-08,94.00,96.35,93.25,94.25,442900,94.25
2014-12-05,96.00,96.70,93.10,93.45,352300,93.45
2014-12-04,95.40,97.15,94.10,95.65,377300,95.65
2014-12-03,93.35,97.65,92.80,94.80,615700,94.80
2014-12-02,91.95,93.25,90.15,92.60,247300,92.60
2014-12-01,93.30,93.90,91.10,91.85,448700,91.85
2014-11-28,93.15,94.90,92.95,93.25,343700,93.25
2014-11-27,93.00,94.30,92.70,93.20,283100,93.20
2014-11-26,92.60,95.40,92.60,93.85,382800,93.85
2014-11-25,97.85,97.95,91.60,93.50,587500,93.50
2014-11-24,94.90,98.20,94.75,97.65,501700,97.65
2014-11-21,96.10,98.40,93.65,94.75,497400,94.75
2014-11-20,97.25,97.70,94.65,96.25,556300,96.25
2014-11-19,103.35,103.45,95.50,97.80,908400,97.80
2014-11-18,101.25,104.90,100.45,102.85,1363300,102.85
2014-11-17,98.75,101.40,97.25,99.70,850200,99.70
2014-11-14,102.70,103.45,98.10,99.15,1195800,99.15
2014-11-13,96.00,101.95,95.65,101.25,2653400,101.25
2014-11-12,91.50,96.25,91.00,94.80,834500,94.80
2014-11-11,92.45,93.75,89.50,91.20,310800,91.20
2014-11-10,93.95,94.00,91.65,92.10,275000,92.10
2014-11-07,93.20,96.35,92.65,93.65,825700,93.65
2014-11-06,92.65,92.65,92.65,92.65,000,92.65
2014-11-05,92.90,94.80,91.80,92.65,412600,92.65
2014-11-04,92.10,92.10,92.10,92.10,000,92.10
2014-11-03,90.00,93.85,89.90,92.10,765200,92.10
2014-10-31,90.90,92.00,89.00,89.55,408500,89.55
2014-10-30,89.00,91.50,88.95,90.10,427600,90.10
2014-10-29,89.35,90.70,88.30,88.65,310100,88.65
2014-10-28,89.00,90.60,88.25,88.95,264200,88.95
2014-10-27,92.10,92.20,88.65,88.95,216500,88.95
2014-10-24,90.75,90.75,90.75,90.75,000,90.75
2014-10-23,90.75,90.75,90.75,90.75,000,90.75
2014-10-22,88.60,91.70,88.30,90.75,464600,90.75
2014-10-21,88.70,89.50,87.40,87.75,271400,87.75
2014-10-20,88.90,89.85,87.15,88.00,361400,88.00
2014-10-17,90.10,90.10,85.65,86.20,970000,86.20
