Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,70.50,71.85,68.50,71.15,884200,71.15
2015-01-20,68.30,71.90,68.30,69.70,1606800,69.70
2015-01-19,69.00,69.15,68.20,68.45,138500,68.45
2015-01-16,68.50,69.80,67.85,68.70,153700,68.70
2015-01-15,68.55,70.00,67.80,68.65,315300,68.65
2015-01-14,67.75,68.40,66.50,68.05,369300,68.05
2015-01-13,68.50,68.95,66.20,67.35,187500,67.35
2015-01-12,67.35,69.00,66.55,68.65,441400,68.65
2015-01-09,70.95,71.25,66.25,67.35,891900,67.35
2015-01-08,67.30,70.10,67.15,69.30,632400,69.30
2015-01-07,65.40,67.55,64.85,66.60,337600,66.60
2015-01-06,66.05,68.50,65.00,65.60,1778900,65.60
2015-01-05,68.00,68.20,66.25,66.40,174800,66.40
2015-01-02,67.70,68.35,66.80,67.40,167300,67.40
2015-01-01,68.00,68.70,66.50,67.60,149200,67.60
2014-12-31,66.80,67.90,65.85,67.50,197800,67.50
2014-12-30,65.50,66.45,64.30,66.05,178700,66.05
2014-12-29,64.50,65.85,64.25,65.40,163700,65.40
2014-12-26,63.50,64.70,63.10,64.30,146700,64.30
2014-12-25,63.25,63.25,63.25,63.25,000,63.25
2014-12-24,63.00,64.45,62.90,63.25,163800,63.25
2014-12-23,63.20,64.00,62.35,63.50,167500,63.50
2014-12-22,63.00,64.10,61.95,63.20,192600,63.20
2014-12-19,64.95,65.20,62.15,62.75,237800,62.75
2014-12-18,61.00,63.60,61.00,63.10,196900,63.10
2014-12-17,61.00,62.00,58.45,61.20,341800,61.20
2014-12-16,65.00,65.00,60.95,61.10,428200,61.10
2014-12-15,64.35,65.55,62.75,65.00,247600,65.00
2014-12-12,66.50,67.35,64.00,64.35,371400,64.35
2014-12-11,67.25,68.10,65.90,66.75,527300,66.75
2014-12-10,64.50,66.65,63.65,66.15,303300,66.15
2014-12-09,65.00,66.80,63.05,64.30,446200,64.30
2014-12-08,67.70,69.00,64.55,65.10,308400,65.10
2014-12-05,68.00,68.90,67.10,67.70,321000,67.70
2014-12-04,67.45,69.00,67.40,68.30,528400,68.30
2014-12-03,67.50,68.45,66.70,67.70,933900,67.70
2014-12-02,64.90,67.00,63.80,66.80,893200,66.80
2014-12-01,64.95,65.40,63.70,64.90,257300,64.90
2014-11-28,64.50,65.90,63.75,65.10,555100,65.10
2014-11-27,64.35,65.00,63.10,64.30,344200,64.30
2014-11-26,63.50,65.85,62.75,64.35,770400,64.35
2014-11-25,62.50,64.70,60.50,63.45,1233600,63.45
2014-11-24,62.00,62.65,60.70,62.05,341300,62.05
2014-11-21,59.75,61.25,59.50,61.00,404300,61.00
2014-11-20,60.50,60.85,57.90,59.30,344200,59.30
2014-11-19,63.00,63.15,59.40,60.80,421800,60.80
2014-11-18,63.95,63.95,62.10,62.65,354700,62.65
2014-11-17,62.95,64.40,61.55,63.65,563600,63.65
2014-11-14,61.90,63.65,61.90,62.95,831800,62.95
2014-11-13,60.00,63.90,60.00,61.40,2018300,61.40
2014-11-12,58.80,60.30,58.55,59.60,411600,59.60
2014-11-11,59.55,59.55,58.00,58.75,265800,58.75
2014-11-10,58.90,59.70,58.20,58.55,304900,58.55
2014-11-07,58.00,59.45,56.80,58.95,424400,58.95
2014-11-06,57.55,57.55,57.55,57.55,000,57.55
2014-11-05,58.60,59.20,56.70,57.55,442700,57.55
2014-11-04,58.55,58.55,58.55,58.55,000,58.55
2014-11-03,58.00,59.50,57.15,58.55,417000,58.55
2014-10-31,56.00,58.10,55.95,57.55,421400,57.55
2014-10-30,55.00,56.00,54.45,55.85,581500,55.85
2014-10-29,56.05,58.65,55.90,57.35,1709200,57.35
2014-10-28,56.50,56.50,55.30,55.85,144700,55.85
2014-10-27,56.60,56.65,55.60,56.35,134500,56.35
2014-10-24,56.75,56.75,56.75,56.75,000,56.75
2014-10-23,56.75,56.75,56.75,56.75,000,56.75
2014-10-22,57.00,57.10,56.55,56.75,124700,56.75
2014-10-21,55.55,56.90,55.00,56.55,290900,56.55
2014-10-20,55.35,55.50,54.90,55.35,139200,55.35
2014-10-17,54.00,54.80,53.60,54.65,157600,54.65
2014-10-16,55.00,55.00,53.30,53.75,298700,53.75
2014-10-15,54.85,54.85,54.85,54.85,000,54.85
2014-10-14,55.00,55.00,54.10,54.85,214000,54.85
2014-10-13,55.00,55.00,53.70,54.75,138600,54.75
2014-10-10,54.45,54.45,53.60,54.15,159200,54.15
2014-10-09,54.05,55.00,53.95,54.85,173900,54.85
2014-10-08,53.80,54.25,52.90,53.70,186800,53.70
2014-10-07,54.60,54.60,53.50,53.75,135300,53.75
2014-10-06,54.25,54.25,54.25,54.25,000,54.25
2014-10-03,54.25,54.25,54.25,54.25,000,54.25
2014-10-02,54.25,54.25,54.25,54.25,000,54.25
2014-10-01,54.00,54.90,53.65,54.25,231000,54.25
2014-09-30,54.00,54.15,52.85,53.50,366400,53.50
2014-09-29,55.00,55.10,53.55,54.05,238000,54.05
2014-09-26,53.50,55.40,52.25,54.80,662000,54.80
2014-09-25,55.40,55.40,53.35,53.65,464600,53.65
2014-09-24,55.50,55.50,54.20,55.00,276200,55.00
2014-09-23,58.45,58.55,54.70,55.05,433700,55.05
2014-09-22,57.60,57.80,56.15,57.50,285200,57.50
2014-09-19,59.40,59.40,57.50,58.10,453900,58.10
2014-09-18,57.60,59.05,57.15,58.65,1119700,58.65
2014-09-17,57.00,58.00,56.30,57.75,592700,57.75
2014-09-16,57.50,58.40,54.95,56.65,919700,56.65
2014-09-15,55.95,57.40,55.15,57.05,467200,57.05
2014-09-12,56.50,56.95,55.60,56.10,342500,56.10
2014-09-11,57.30,57.30,55.90,56.10,482000,56.10
2014-09-10,54.40,56.65,54.40,56.50,543000,56.50
2014-09-09,55.50,55.65,54.15,54.90,470500,54.90
2014-09-08,54.75,55.80,54.55,55.50,645800,55.50
2014-09-05,53.90,54.85,53.50,54.45,682400,54.45
2014-09-04,54.00,54.60,53.00,53.80,383400,53.80
2014-09-03,54.30,55.10,53.80,54.30,433800,54.30
