Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,68.00,68.70,65.10,66.55,440100,66.55
2015-01-20,65.00,68.35,64.50,67.45,749900,67.45
2015-01-19,64.60,67.25,64.15,64.50,724800,64.50
2015-01-16,58.85,64.50,58.85,64.00,788300,64.00
2015-01-15,58.40,60.20,57.80,58.85,290100,58.85
2015-01-14,59.85,59.85,57.30,57.95,140400,57.95
2015-01-13,1000.64,1000.64,1000.64,1000.64,000,1000.64
2015-01-12,58.90,61.60,58.20,60.65,655200,60.65
2015-01-09,55.50,59.40,55.15,58.65,599900,58.65
2015-01-08,55.50,56.00,54.70,55.35,101900,55.35
2015-01-07,52.20,54.70,52.05,54.20,157100,54.20
2015-01-06,54.95,55.00,52.50,52.85,175700,52.85
2015-01-05,56.25,57.30,54.60,55.80,192400,55.80
2015-01-02,53.60,57.20,53.60,56.30,607300,56.30
2015-01-01,53.85,54.00,53.00,53.40,165500,53.40
2014-12-31,53.00,54.00,52.75,53.70,480800,53.70
2014-12-30,50.30,55.00,50.15,52.30,14466600,52.30
2014-12-29,49.45,50.45,49.45,50.10,243300,43.82
2014-12-26,50.80,51.35,49.50,49.85,59700,43.60
2014-12-25,50.90,50.90,50.90,50.90,000,44.52
2014-12-24,51.65,52.50,50.60,50.90,110400,44.52
2014-12-23,49.45,53.40,49.20,52.00,266900,45.48
2014-12-22,49.65,49.90,49.00,49.25,58000,43.08
2014-12-19,50.60,50.60,49.60,49.95,109300,43.69
2014-12-18,49.80,50.20,49.10,49.85,100400,43.60
2014-12-17,48.50,49.60,46.90,48.55,132800,42.46
2014-12-16,50.50,50.75,48.50,48.70,180400,42.59
2014-12-15,50.25,52.30,50.00,50.80,151600,44.43
2014-12-12,51.15,51.45,49.75,51.05,134300,44.65
2014-12-11,51.65,51.75,50.40,50.75,151200,44.39
2014-12-10,51.60,52.30,50.40,51.40,165500,44.96
2014-12-09,52.90,54.65,51.15,51.70,198700,45.22
2014-12-08,55.50,56.45,52.50,53.15,180300,46.49
2014-12-05,54.90,56.00,54.60,54.85,220200,47.97
2014-12-04,54.10,55.35,54.00,54.45,241900,47.62
2014-12-03,54.00,54.65,53.50,54.25,194100,47.45
2014-12-02,52.60,54.75,52.30,53.75,166100,47.01
2014-12-01,53.80,55.75,51.80,53.15,123700,46.49
2014-11-28,52.50,54.10,52.20,53.40,312100,46.71
2014-11-27,51.30,54.40,50.80,52.00,426600,41.10
2014-11-26,50.60,52.80,50.00,50.95,193800,40.27
2014-11-25,52.55,52.65,49.65,50.30,203800,39.76
2014-11-24,52.55,54.00,52.45,53.00,143800,41.89
