Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,133.50,135.25,131.00,132.60,223000,132.60
2015-01-20,133.05,135.90,131.00,133.10,347400,133.10
2015-01-19,131.00,133.65,130.00,132.35,307800,132.35
2015-01-16,125.25,130.75,125.20,130.25,347100,130.25
2015-01-15,125.50,127.50,124.60,125.80,184400,125.80
2015-01-14,126.00,127.10,123.80,124.15,121900,124.15
2015-01-13,126.50,128.70,124.95,126.40,204300,126.40
2015-01-12,126.90,128.30,125.05,125.60,186500,125.60
2015-01-09,126.55,128.40,125.45,126.30,177200,126.30
2015-01-08,122.95,128.75,122.20,126.15,307800,126.15
2015-01-07,121.00,124.45,120.20,120.75,155400,120.75
2015-01-06,127.00,127.00,121.30,121.85,225600,121.85
2015-01-05,128.60,129.70,127.05,127.85,150500,127.85
2015-01-02,130.25,132.15,127.00,128.60,272400,128.60
2015-01-01,128.55,132.00,128.25,129.60,340300,129.60
2014-12-31,130.00,130.00,127.60,128.45,103800,128.45
2014-12-30,129.20,130.90,128.45,129.70,171900,129.70
2014-12-29,126.90,130.35,126.80,129.20,303000,129.20
2014-12-26,126.15,127.35,124.95,125.90,147700,125.90
2014-12-25,125.95,125.95,125.95,125.95,000,125.95
2014-12-24,125.50,127.75,125.05,125.95,146500,125.95
2014-12-23,126.90,128.75,124.30,125.20,221800,125.20
2014-12-22,124.00,127.00,123.70,126.00,266400,126.00
2014-12-19,126.00,127.75,121.55,123.55,249400,123.55
2014-12-18,124.00,126.20,123.05,124.55,210500,124.55
2014-12-17,116.10,123.35,113.90,121.85,499600,121.85
2014-12-16,120.50,120.50,115.15,117.30,271000,117.30
2014-12-15,122.00,123.80,119.20,120.10,391500,120.10
2014-12-12,126.50,130.00,122.05,122.90,341500,122.90
2014-12-11,130.35,130.35,126.60,127.35,199600,127.35
2014-12-10,127.00,130.20,126.30,129.40,200200,129.40
2014-12-09,130.10,132.80,126.25,127.30,284200,127.30
2014-12-08,133.90,134.05,129.50,130.70,222300,130.70
2014-12-05,135.95,137.55,132.50,133.15,379100,133.15
2014-12-04,136.20,138.50,134.20,135.25,509300,135.25
2014-12-03,134.05,135.45,133.15,133.65,688600,133.65
2014-12-02,138.50,138.50,133.15,133.75,272200,133.75
2014-12-01,139.15,143.65,137.50,138.40,328800,138.40
2014-11-28,139.95,144.20,139.40,140.10,280300,140.10
2014-11-27,137.70,141.60,137.70,139.60,213300,139.60
2014-11-26,138.00,142.05,137.75,139.05,228200,139.05
2014-11-25,142.10,143.60,136.00,138.15,295800,138.15
2014-11-24,145.10,145.50,142.60,142.90,157900,142.90
2014-11-21,146.10,149.20,142.35,143.85,253300,143.85
2014-11-20,147.05,147.80,144.20,146.60,220300,146.60
2014-11-19,148.75,151.25,145.00,146.20,259100,146.20
2014-11-18,147.30,153.40,147.30,150.05,389900,150.05
2014-11-17,146.90,150.50,145.90,148.80,275300,148.80
2014-11-14,148.10,149.85,145.50,146.20,275500,146.20
2014-11-13,152.70,153.50,148.15,149.15,277200,149.15
2014-11-12,155.70,156.00,151.60,152.25,226500,152.25
2014-11-11,153.10,155.90,152.45,155.20,331000,155.20
2014-11-10,153.95,156.40,151.70,152.35,407200,152.35
2014-11-07,158.50,159.00,152.40,153.60,1133400,153.60
2014-11-06,166.75,166.75,166.75,166.75,000,166.75
2014-11-05,171.10,173.70,165.25,166.75,617200,166.75
2014-11-04,170.05,170.05,170.05,170.05,000,170.05
2014-11-03,170.70,172.50,167.30,170.05,465400,170.05
2014-10-31,172.00,174.00,169.10,169.75,471400,169.75
2014-10-30,170.10,172.85,168.20,170.85,422300,170.85
2014-10-29,173.00,174.25,168.10,169.20,722200,169.20
2014-10-28,162.60,171.90,162.40,171.05,1272300,171.05
2014-10-27,167.90,167.90,161.25,162.60,466500,162.60
2014-10-24,163.05,163.05,163.05,163.05,000,163.05
2014-10-23,163.05,163.05,163.05,163.05,000,163.05
2014-10-22,159.60,164.20,158.40,163.05,636600,163.05
2014-10-21,158.75,161.30,155.95,157.95,400500,157.95
2014-10-20,160.10,161.75,157.75,158.75,395700,158.75
2014-10-17,159.00,159.55,154.10,157.05,519300,157.05
2014-10-16,161.25,164.50,156.60,157.80,508600,157.80
2014-10-15,163.05,163.05,163.05,163.05,000,163.05
2014-10-14,163.90,165.60,158.70,163.05,690200,163.05
2014-10-13,160.00,164.50,158.50,162.35,469000,162.35
2014-10-10,161.50,166.35,156.45,160.50,1013000,160.50
2014-10-09,154.00,163.15,153.25,161.60,1313100,161.60
2014-10-08,155.60,155.80,150.75,152.30,331000,152.30
2014-10-07,151.90,156.35,149.30,154.60,706600,154.60
2014-10-06,149.60,149.60,149.60,149.60,000,149.60
2014-10-03,149.60,149.60,149.60,149.60,000,149.60
2014-10-02,149.60,149.60,149.60,149.60,000,149.60
2014-10-01,152.90,153.65,148.60,149.60,309000,149.60
2014-09-30,156.70,157.80,149.65,152.10,650500,152.10
2014-09-29,147.10,157.65,146.10,156.05,854000,156.05
2014-09-26,139.70,147.40,136.10,145.85,747200,145.85
2014-09-25,149.60,150.30,140.10,142.30,526500,142.30
2014-09-24,154.00,156.70,145.00,148.85,859200,148.85
2014-09-23,162.05,163.55,152.00,153.30,582300,153.30
2014-09-22,163.65,167.00,161.50,162.65,750300,162.65
2014-09-19,156.20,165.35,154.20,163.80,1840600,163.80
2014-09-18,152.90,158.90,151.00,155.25,821400,155.25
2014-09-17,156.65,159.90,150.10,152.30,1236700,152.30
2014-09-16,155.00,163.60,152.15,154.00,3033800,154.00
2014-09-15,146.30,158.35,142.70,153.85,2507400,153.85
2014-09-12,146.10,150.50,144.10,147.60,1923900,147.60
2014-09-11,137.00,146.40,136.30,145.00,1808200,145.00
2014-09-10,135.00,138.70,134.00,135.40,587900,135.40
2014-09-09,138.75,141.00,136.20,137.55,1015200,137.55
2014-09-08,128.50,139.40,127.55,137.90,1450900,137.90
2014-09-05,133.80,135.80,127.35,128.20,1102200,128.20
2014-09-04,121.00,136.45,120.05,133.15,2863800,133.15
