Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,111.05,112.60,111.00,111.55,91000,111.55
2015-01-20,112.55,113.70,110.00,112.00,91200,112.00
2015-01-19,112.00,112.90,111.00,112.00,5500,112.00
2015-01-16,110.00,113.10,106.50,111.10,280700,111.10
2015-01-15,110.00,110.95,109.05,109.95,19800,109.95
2015-01-14,110.10,110.45,109.55,109.95,327100,109.95
2015-01-13,110.00,111.00,106.65,109.90,42700,109.90
2015-01-12,108.10,111.00,108.00,110.00,7700,110.00
2015-01-09,108.30,110.00,108.00,108.90,29400,108.90
2015-01-08,107.00,109.60,105.30,107.70,18700,107.70
2015-01-07,103.20,107.60,103.20,107.05,12100,107.05
2015-01-06,108.50,111.35,102.45,103.50,234200,103.50
2015-01-05,103.50,112.00,101.00,108.20,376000,108.20
2015-01-02,103.90,105.35,103.50,103.65,15100,103.65
2015-01-01,104.35,105.00,102.00,103.15,3200,103.15
2014-12-31,104.40,105.40,103.15,103.50,2200,103.50
2014-12-30,101.50,107.00,101.10,103.95,21000,103.95
2014-12-29,103.60,104.10,100.05,101.85,3100,101.85
2014-12-26,103.95,106.90,103.00,104.00,9600,104.00
2014-12-25,104.00,104.00,104.00,104.00,000,104.00
2014-12-24,103.40,104.90,103.00,104.00,6200,104.00
2014-12-23,104.00,109.40,103.35,104.25,49400,104.25
2014-12-22,102.85,105.50,100.00,103.90,319000,103.90
2014-12-19,104.25,105.00,101.30,103.50,4700,103.50
2014-12-18,101.90,103.20,101.00,102.40,1600,102.40
2014-12-17,102.20,103.95,101.00,101.25,7900,101.25
2014-12-16,102.95,105.90,101.15,102.20,61200,102.20
2014-12-15,102.00,103.55,102.00,102.30,3200,102.30
2014-12-12,105.20,105.20,103.00,103.00,5800,103.00
2014-12-11,104.00,104.95,103.05,104.00,5800,104.00
2014-12-10,105.30,105.30,103.00,104.10,1800,104.10
2014-12-09,105.00,105.00,103.55,104.00,17400,104.00
2014-12-08,106.30,106.50,103.00,104.15,55200,104.15
2014-12-05,105.25,106.90,104.00,105.55,174100,105.55
2014-12-04,104.00,106.50,102.50,103.85,122400,103.85
2014-12-03,100.70,105.95,100.50,103.95,159900,103.95
2014-12-02,98.85,100.40,98.00,99.80,5300,99.80
2014-12-01,95.70,98.80,95.70,98.30,3800,98.30
2014-11-28,94.70,97.40,93.90,96.60,4800,96.60
2014-11-27,93.00,96.50,93.00,95.70,8700,95.70
2014-11-26,94.45,95.00,93.35,93.65,800,93.65
2014-11-25,94.55,97.95,92.30,94.15,6500,94.15
2014-11-24,93.60,96.95,93.60,94.65,2600,94.65
2014-11-21,91.40,98.50,91.40,94.75,11900,94.75
2014-11-20,98.50,98.50,94.00,96.10,7500,96.10
2014-11-19,99.00,99.00,97.80,98.15,7200,98.15
2014-11-18,95.10,104.15,95.10,99.00,20400,99.00
