Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,180.70,187.90,179.60,185.60,256500,185.60
2015-01-20,183.85,186.50,179.20,179.95,188400,179.95
2015-01-19,185.90,187.75,183.30,183.85,151400,183.85
2015-01-16,185.80,188.60,184.75,185.20,110900,185.20
2015-01-15,187.00,188.70,185.60,186.75,147900,186.75
2015-01-14,185.00,187.80,183.30,185.35,286800,185.35
2015-01-13,188.00,191.55,183.90,185.15,268400,185.15
2015-01-12,190.20,190.85,187.35,188.80,212400,188.80
2015-01-09,187.00,192.70,186.50,189.50,437500,189.50
2015-01-08,184.90,188.05,183.10,185.95,278800,185.95
2015-01-07,185.90,188.70,181.70,183.60,317100,183.60
2015-01-06,185.00,191.35,181.05,185.15,671200,185.15
2015-01-05,183.70,189.25,183.20,185.20,222000,185.20
2015-01-02,189.35,190.00,183.50,184.50,417200,184.50
2015-01-01,178.00,188.65,177.30,187.75,666900,187.75
2014-12-31,179.95,180.10,177.10,178.00,227100,178.00
2014-12-30,176.90,180.35,175.75,179.40,182900,179.40
2014-12-29,177.60,180.55,175.60,176.45,281800,176.45
2014-12-26,171.15,178.00,168.70,176.30,343000,176.30
2014-12-25,170.25,170.25,170.25,170.25,000,170.25
2014-12-24,169.00,174.15,167.65,170.25,314700,170.25
2014-12-23,172.20,172.50,166.55,168.80,110500,168.80
2014-12-22,170.00,173.40,169.35,172.20,163900,172.20
2014-12-19,172.00,173.90,167.80,169.15,293200,169.15
2014-12-18,162.95,172.70,162.95,170.00,337100,170.00
2014-12-17,167.25,169.50,158.60,161.20,200800,161.20
2014-12-16,173.95,175.75,166.05,166.85,196500,166.85
2014-12-15,170.00,176.40,167.75,174.95,237700,174.95
2014-12-12,173.10,175.45,168.20,170.25,327900,170.25
2014-12-11,175.80,175.80,170.50,171.65,143100,171.65
2014-12-10,173.00,176.85,172.05,174.80,302200,174.80
2014-12-09,170.50,177.00,168.10,171.65,550900,171.65
2014-12-08,170.00,172.15,166.65,169.50,158700,169.50
2014-12-05,172.30,174.10,169.35,170.05,84300,170.05
2014-12-04,173.85,175.90,170.50,171.20,168800,171.20
2014-12-03,175.00,177.30,172.40,173.00,280800,173.00
2014-12-02,166.70,174.85,166.10,174.10,323200,174.10
2014-12-01,166.00,169.65,165.00,167.90,168100,167.90
2014-11-28,163.95,170.10,163.25,166.00,424100,166.00
2014-11-27,157.00,164.25,157.00,163.25,236600,163.25
