Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,11.50,12.50,11.20,12.20,1039100,12.20
2015-01-20,12.05,12.12,11.05,11.40,647300,11.40
2015-01-19,12.40,12.50,11.81,11.94,663400,11.94
2015-01-16,12.55,12.75,12.00,12.22,860100,12.22
2015-01-15,12.97,13.00,12.45,12.57,627300,12.57
2015-01-14,12.88,13.01,12.40,12.46,283300,12.46
2015-01-13,12.78,13.50,12.52,12.71,1269700,12.71
2015-01-12,12.50,13.04,12.34,12.79,669400,12.79
2015-01-09,12.32,12.74,12.15,12.27,493300,12.27
2015-01-08,12.45,12.45,11.90,12.21,469300,12.21
2015-01-07,11.80,12.40,11.60,12.15,543000,12.15
2015-01-06,12.01,12.28,11.60,11.73,465700,11.73
2015-01-05,12.67,12.84,12.18,12.29,648100,12.29
2015-01-02,12.70,13.02,12.51,12.66,662200,12.66
2015-01-01,12.24,13.05,12.09,12.59,888300,12.59
2014-12-31,12.00,12.32,11.73,12.07,557700,12.07
2014-12-30,12.66,13.10,11.95,12.01,804100,12.01
2014-12-29,11.70,13.19,11.70,12.55,1945100,12.55
2014-12-26,10.35,12.13,10.35,11.68,1810800,11.68
2014-12-25,10.26,10.26,10.26,10.26,000,10.26
2014-12-24,10.01,10.42,10.01,10.26,324500,10.26
2014-12-23,10.45,10.45,9.95,10.01,198800,10.01
2014-12-22,10.27,10.50,10.16,10.35,207900,10.35
2014-12-19,10.60,10.60,10.11,10.25,145000,10.25
2014-12-18,10.15,10.40,9.97,10.25,204900,10.25
2014-12-17,10.06,10.13,9.70,9.99,272900,9.99
2014-12-16,10.64,10.65,9.75,10.01,505300,10.01
2014-12-15,10.51,10.97,10.40,10.56,343300,10.56
2014-12-12,11.00,11.18,10.67,10.73,376400,10.73
2014-12-11,10.90,11.04,10.82,10.89,298200,10.89
2014-12-10,11.03,11.15,10.87,10.94,165000,10.94
2014-12-09,11.25,11.47,10.80,10.87,309600,10.87
2014-12-08,11.92,12.10,10.90,11.39,711300,11.39
2014-12-05,11.25,12.20,11.18,11.72,1427900,11.72
2014-12-04,11.25,11.43,10.86,11.21,335100,11.21
2014-12-03,10.57,11.45,10.57,11.16,921300,11.16
2014-12-02,10.67,10.79,10.47,10.57,124600,10.57
2014-12-01,10.85,10.99,10.60,10.64,257900,10.64
2014-11-28,11.20,11.20,10.50,10.59,229700,10.59
2014-11-27,11.10,11.10,10.65,10.81,127600,10.81
2014-11-26,10.69,11.17,10.50,10.86,340500,10.86
2014-11-25,11.40,11.40,10.52,10.70,686200,10.70
2014-11-24,11.70,11.70,11.01,11.21,1067200,11.21
2014-11-21,11.25,11.42,11.00,11.34,1968100,11.34
2014-11-20,10.50,10.90,10.25,10.39,5883700,10.39
2014-11-19,10.79,10.79,10.25,10.39,5361800,10.39
2014-11-18,10.90,10.90,10.45,10.51,5330800,10.51
2014-11-17,10.70,10.74,10.15,10.67,314600,10.67
2014-11-14,10.86,11.10,10.74,10.80,191600,10.80
2014-11-13,11.20,11.24,10.85,10.91,148400,10.91
2014-11-12,11.20,11.34,11.02,11.14,223300,11.14
2014-11-11,10.80,11.25,10.80,11.08,408400,11.08
2014-11-10,11.13,11.29,10.80,10.83,294400,10.83
2014-11-07,11.34,11.34,10.91,11.00,174800,11.00
2014-11-06,11.03,11.03,11.03,11.03,000,11.03
2014-11-05,11.25,11.37,11.02,11.29,5383200,11.29
2014-11-04,11.16,11.16,11.16,11.16,000,11.16
2014-11-03,11.10,11.29,11.03,11.16,1456000,11.16
2014-10-31,11.02,11.29,10.86,10.93,760000,10.93
2014-10-30,10.77,11.24,10.73,11.00,772400,11.00
2014-10-29,10.75,10.97,10.52,10.78,657200,10.78
2014-10-28,11.07,11.07,10.55,10.86,261400,10.86
2014-10-27,11.30,11.31,10.76,10.82,234700,10.82
2014-10-24,10.82,10.82,10.82,10.82,000,10.82
2014-10-23,10.82,10.82,10.82,10.82,000,10.82
2014-10-22,10.86,11.02,10.70,10.82,146200,10.82
2014-10-21,10.80,11.14,10.80,10.96,117800,10.96
2014-10-20,11.01,11.15,10.70,10.82,322800,10.82
2014-10-17,11.47,11.48,10.66,10.85,573700,10.85
2014-10-16,11.99,11.99,11.17,11.18,740400,11.18
2014-10-15,11.75,11.75,11.75,11.75,000,11.75
2014-10-14,12.00,12.00,11.60,11.75,276500,11.75
2014-10-13,11.80,11.90,11.51,11.72,475200,11.72
2014-10-10,11.58,11.99,11.45,11.55,367300,11.55
2014-10-09,11.94,12.33,11.55,11.82,760000,11.82
2014-10-08,11.30,11.86,10.90,11.86,908100,11.86
2014-10-07,11.95,11.95,11.28,11.30,615400,11.30
2014-10-06,11.86,11.86,11.86,11.86,000,11.86
2014-10-03,11.86,11.86,11.86,11.86,000,11.86
2014-10-02,11.86,11.86,11.86,11.86,000,11.86
2014-10-01,11.99,12.24,11.70,11.86,671200,11.86
2014-09-30,11.10,11.91,10.90,11.82,1606300,11.82
2014-09-29,10.90,11.35,10.60,11.35,1042700,11.35
2014-09-26,11.18,11.60,10.45,10.81,1712200,10.81
2014-09-25,12.99,13.00,11.53,11.53,2133500,11.53
2014-09-24,12.12,12.84,12.00,12.81,4856200,12.81
2014-09-23,12.12,13.04,11.35,11.68,2888600,11.68
2014-09-22,13.40,13.70,12.02,12.02,2096200,12.02
2014-09-19,13.65,14.75,13.20,13.35,1521200,13.35
2014-09-18,12.50,13.65,12.45,13.44,968500,13.44
2014-09-17,12.55,12.90,11.60,12.51,872600,12.51
2014-09-16,13.75,14.04,12.49,12.49,1419100,12.49
2014-09-15,13.50,14.20,13.11,13.87,1647000,13.87
2014-09-12,14.40,14.40,13.25,13.71,2690400,13.71
2014-09-11,13.00,14.35,11.80,13.93,5308200,13.93
2014-09-10,10.50,12.58,10.25,12.56,4377000,12.56
2014-09-09,9.50,11.00,9.41,10.49,939600,10.49
2014-09-08,9.10,9.60,9.10,9.48,190200,9.48
2014-09-05,9.43,9.65,9.10,9.15,180700,9.15
2014-09-04,9.60,9.80,9.24,9.32,215900,9.32
2014-09-03,9.33,9.89,8.93,9.49,459000,9.49
2014-09-02,9.41,9.65,9.05,9.22,607200,9.22
2014-09-01,9.70,9.91,9.30,9.38,882100,9.38
2014-08-29,9.52,9.52,9.52,9.52,000,9.52
2014-08-28,8.97,10.10,8.85,9.52,977100,9.52
2014-08-27,8.82,8.95,8.67,8.89,912300,8.89
2014-08-26,8.61,8.84,8.55,8.66,804000,8.66
2014-08-25,8.60,8.75,8.50,8.62,625100,8.62
2014-08-22,8.77,8.83,8.51,8.64,803300,8.64
2014-08-21,8.77,8.99,8.71,8.76,241200,8.76
2014-08-20,9.00,9.24,8.70,8.77,204400,8.77
2014-08-19,9.14,9.20,8.90,9.04,79400,9.04
2014-08-18,8.88,9.22,8.70,9.05,118600,9.05
2014-08-15,8.92,8.92,8.92,8.92,000,8.92
2014-08-14,9.23,9.23,8.80,8.92,120100,8.92
2014-08-13,9.73,9.82,8.76,9.02,332100,9.02
2014-08-12,10.00,10.10,9.71,9.80,111900,9.80
2014-08-11,9.77,10.05,9.65,9.94,178500,9.94
2014-08-08,9.77,9.90,9.60,9.64,139800,9.64
2014-08-07,9.95,10.20,9.51,9.88,156000,9.88
2014-08-06,10.45,10.45,9.85,9.92,222800,9.92
2014-08-05,9.63,10.38,9.63,10.29,269800,10.29
2014-08-04,9.70,9.94,9.61,9.70,207300,9.70
2014-08-01,9.90,10.00,9.44,9.50,233600,9.50
2014-07-31,10.17,10.19,9.87,10.03,166600,10.03
2014-07-30,10.64,10.64,9.95,10.09,193600,10.09
2014-07-29,10.43,10.43,10.43,10.43,000,10.43
2014-07-28,10.18,10.53,9.63,10.43,575000,10.43
2014-07-25,10.50,10.50,9.60,9.84,344300,9.84
2014-07-24,10.53,10.69,10.24,10.32,226200,10.32
2014-07-23,10.91,10.91,10.23,10.56,486200,10.56
2014-07-22,10.88,11.24,10.70,10.74,386300,10.74
2014-07-21,11.00,11.35,10.81,10.88,375100,10.88
2014-07-18,11.26,11.48,10.86,11.22,684100,11.22
2014-07-17,10.56,11.50,10.56,11.32,938700,11.32
2014-07-16,10.60,10.99,10.50,10.83,562800,10.83
2014-07-15,10.29,10.99,10.11,10.54,721400,10.54
2014-07-14,10.00,10.55,9.75,9.93,420800,9.93
2014-07-11,10.84,11.30,9.65,9.79,645100,9.79
2014-07-10,11.50,11.78,10.50,10.58,1177900,10.58
2014-07-09,10.00,11.40,9.05,11.22,2258300,11.22
2014-07-08,9.50,11.07,9.43,9.88,2418800,9.88
2014-07-07,9.00,9.93,8.98,9.60,1658200,9.60
2014-07-04,8.42,8.98,8.42,8.87,568300,8.87
2014-07-03,8.50,8.55,8.20,8.41,128600,8.41
2014-07-02,8.98,9.14,8.45,8.59,586100,8.59
2014-07-01,9.02,9.10,8.50,8.74,269200,8.74
2014-06-30,8.97,9.26,8.65,8.95,907400,8.95
2014-06-27,7.90,8.53,7.80,8.53,473900,8.53
2014-06-26,8.00,8.00,7.75,7.76,135200,7.76
2014-06-25,8.00,8.00,7.85,7.89,79600,7.89
2014-06-24,8.05,8.19,7.90,8.00,196500,8.00
2014-06-23,8.10,8.20,7.70,7.96,228900,7.96
2014-06-20,8.01,8.43,7.90,7.96,709900,7.96
2014-06-19,8.20,8.20,7.85,8.00,155400,8.00
2014-06-18,8.10,8.45,7.65,7.89,344100,7.89
2014-06-17,7.55,8.20,7.50,8.18,295000,8.18
2014-06-16,7.30,7.50,7.10,7.46,227500,7.46
2014-06-13,8.82,8.82,7.74,7.74,442500,7.74
2014-06-12,8.90,8.92,8.52,8.60,233600,8.60
2014-06-11,8.85,9.47,8.65,8.76,926300,8.76
2014-06-10,8.49,8.89,7.85,8.63,997200,8.63
2014-06-09,7.70,8.30,7.60,8.30,2206000,8.30
2014-06-06,7.70,7.70,7.43,7.55,195300,7.55
2014-06-05,7.87,7.89,7.38,7.49,361900,7.49
2014-06-04,7.75,7.90,7.30,7.64,318900,7.64
2014-06-03,8.00,8.00,7.70,7.74,204500,7.74
2014-06-02,7.80,8.10,7.80,7.96,251400,7.96
2014-05-30,8.00,8.29,7.94,8.03,453700,8.03
2014-05-29,7.75,8.15,7.75,7.96,428600,7.96
2014-05-28,7.82,8.25,7.51,7.69,221700,7.69
2014-05-27,7.50,7.94,7.27,7.51,110500,7.51
2014-05-26,8.00,8.25,7.35,7.72,879200,7.72
2014-05-23,7.29,7.74,7.05,7.74,1315300,7.74
2014-05-22,6.65,7.12,6.30,7.04,525100,7.04
2014-05-21,6.83,7.00,6.30,6.48,405300,6.48
2014-05-20,7.34,7.34,6.51,6.62,222600,6.62
2014-05-19,6.51,7.00,6.50,6.88,357900,6.88
2014-05-16,7.39,7.39,6.50,6.57,292000,6.57
2014-05-15,7.48,7.55,6.80,6.90,402100,6.90
2014-05-14,7.10,7.58,7.00,7.14,378700,7.14
2014-05-13,7.25,7.69,6.91,7.22,483400,7.22
2014-05-12,7.24,7.38,6.95,7.09,433800,7.09
2014-05-09,7.10,7.60,6.84,7.14,324500,7.14
2014-05-08,7.99,7.99,7.25,7.31,558800,7.31
2014-05-07,8.05,8.05,7.35,8.02,3532800,8.02
2014-05-06,6.70,7.32,6.70,7.32,2590800,7.32
2014-05-05,7.20,7.38,6.60,6.66,639600,6.66
2014-05-02,7.00,7.69,6.55,7.26,3311400,7.26
2014-05-01,6.91,6.91,6.91,6.91,000,6.91
2014-04-30,6.00,7.04,5.00,6.91,8504700,6.91
2014-04-29,6.00,6.08,5.81,5.91,2884300,5.91
2014-04-28,5.70,6.20,5.70,6.00,592600,6.00
2014-04-25,5.05,6.00,5.02,5.59,2004900,5.59
2014-04-24,5.00,5.00,5.00,5.00,000,5.00
2014-04-23,4.80,5.04,4.80,5.00,205700,5.00
2014-04-22,5.03,5.03,4.90,4.94,154800,4.94
2014-04-21,4.75,5.05,4.75,4.94,218800,4.94
2014-04-18,4.70,4.70,4.70,4.70,000,4.70
2014-04-17,4.71,4.71,4.66,4.70,74100,4.70
2014-04-16,4.70,4.70,4.61,4.68,33600,4.68
2014-04-15,5.00,5.00,4.67,4.69,421100,4.69
2014-04-14,4.76,4.76,4.76,4.76,000,4.76
2014-04-11,4.83,4.85,4.70,4.76,57800,4.76
2014-04-10,4.66,4.70,4.65,4.70,41600,4.70
2014-04-09,4.75,4.75,4.61,4.68,41800,4.68
2014-04-08,4.70,4.70,4.70,4.70,000,4.70
2014-04-07,5.15,5.15,4.66,4.70,10200,4.70
2014-04-04,4.80,4.90,4.70,4.90,52000,4.90
2014-04-03,4.88,4.88,4.75,4.79,17100,4.79
2014-04-02,4.88,4.89,4.77,4.85,93700,4.85
2014-04-01,4.82,4.85,4.70,4.82,14100,4.82
2014-03-31,4.60,4.90,4.60,4.70,63600,4.70
2014-03-28,4.65,4.85,4.65,4.70,27200,4.70
2014-03-27,4.80,4.80,4.72,4.72,12500,4.72
2014-03-26,4.84,4.84,4.70,4.72,74700,4.72
2014-03-25,4.90,4.90,4.77,4.80,18500,4.80
2014-03-24,4.99,4.99,4.76,4.79,28400,4.79
2014-03-21,4.80,4.90,4.80,4.83,8200,4.83
2014-03-20,5.00,5.00,4.80,4.84,13700,4.84
2014-03-19,4.85,4.93,4.82,4.92,7300,4.92
2014-03-18,5.05,5.05,4.85,4.93,24700,4.93
2014-03-17,4.90,4.90,4.90,4.90,000,4.90
2014-03-14,4.95,4.99,4.90,4.90,9400,4.90
2014-03-13,5.05,5.05,4.92,4.99,85700,4.99
2014-03-12,5.08,5.17,5.00,5.01,220500,5.01
2014-03-11,5.06,5.17,5.03,5.16,663700,5.16
2014-03-10,5.05,5.15,5.03,5.11,5700,5.11
2014-03-07,5.10,5.25,5.05,5.08,10700,5.08
2014-03-06,5.08,5.20,5.00,5.09,16300,5.09
2014-03-05,5.08,5.09,5.00,5.08,225400,5.08
2014-03-04,5.03,5.24,5.02,5.13,7700,5.13
2014-03-03,5.15,5.25,5.00,5.12,47900,5.12
2014-02-28,5.19,5.50,5.05,5.05,8000,5.05
2014-02-27,5.11,5.11,5.11,5.11,000,5.11
2014-02-26,5.07,5.20,5.03,5.11,22100,5.11
2014-02-25,5.33,5.33,5.05,5.13,38700,5.13
2014-02-24,5.06,5.25,5.00,5.12,25600,5.12
2014-02-21,5.07,5.18,4.86,4.99,81200,4.99
2014-02-20,5.25,5.25,5.25,5.25,100,5.25
2014-02-19,5.10,5.20,5.05,5.20,3400,5.20
2014-02-18,5.00,5.16,5.00,5.12,18300,5.12
2014-02-17,5.05,5.10,4.93,5.09,19000,5.09
2014-02-14,5.01,5.12,4.75,4.97,480400,4.97
