Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,31.30,31.80,29.75,30.45,760400,30.45
2015-01-20,31.45,31.85,31.15,31.25,350400,31.25
2015-01-19,31.50,32.25,31.15,31.25,435100,31.25
2015-01-16,32.20,32.30,31.30,31.40,455200,31.40
2015-01-15,32.45,32.60,31.70,32.05,297200,32.05
2015-01-14,33.75,33.80,31.60,31.80,514500,31.80
2015-01-13,34.40,34.40,33.30,33.60,349000,33.60
2015-01-12,34.85,34.85,33.65,33.85,311100,33.85
2015-01-09,33.70,34.95,33.30,34.70,841000,34.70
2015-01-08,33.10,34.05,33.10,33.45,200200,33.45
2015-01-07,33.00,33.20,32.20,32.65,295400,32.65
2015-01-06,34.70,34.70,32.75,32.95,194800,32.95
2015-01-05,35.25,35.55,34.45,34.70,315800,34.70
2015-01-02,35.05,35.75,34.95,35.30,306100,35.30
2015-01-01,34.60,35.35,34.40,34.95,362800,34.95
2014-12-31,33.85,35.35,33.55,34.65,573700,34.65
2014-12-30,34.05,34.20,33.45,33.65,318100,33.65
2014-12-29,34.70,34.70,33.30,33.85,420400,33.85
2014-12-26,33.00,34.35,32.60,33.95,515900,33.95
2014-12-25,32.95,32.95,32.95,32.95,000,32.95
2014-12-24,32.95,33.35,32.15,32.95,584100,32.95
2014-12-23,33.00,34.10,32.00,32.60,545100,32.60
2014-12-22,33.75,33.95,32.50,33.25,297100,33.25
2014-12-19,34.80,34.85,33.40,33.60,399800,33.60
2014-12-18,33.15,34.35,32.95,34.20,478000,34.20
2014-12-17,33.10,33.70,30.25,32.10,580300,32.10
2014-12-16,33.50,33.85,33.00,33.25,473900,33.25
2014-12-15,33.70,34.05,33.30,33.55,290400,33.55
2014-12-12,34.70,35.25,33.85,34.00,430400,34.00
2014-12-11,34.95,35.00,34.35,34.50,224400,34.50
2014-12-10,35.20,35.70,34.45,34.75,494800,34.75
2014-12-09,35.60,36.00,35.00,35.20,325900,35.20
2014-12-08,37.00,37.00,35.00,35.25,365300,35.25
2014-12-05,37.50,38.10,36.40,36.70,350000,36.70
2014-12-04,37.90,38.30,37.00,37.60,718200,37.60
2014-12-03,33.65,38.25,33.65,37.55,1761500,37.55
2014-12-02,34.95,34.95,33.35,33.60,540200,33.60
2014-12-01,34.75,35.55,34.25,34.60,212600,34.60
2014-11-28,35.30,35.75,35.05,35.10,308500,35.10
2014-11-27,34.80,35.85,34.80,35.25,398100,35.25
2014-11-26,35.05,35.80,34.80,35.00,469500,35.00
2014-11-25,36.20,37.35,35.10,35.35,532300,35.35
2014-11-24,37.00,37.50,36.05,36.25,432700,36.25
2014-11-21,37.95,38.30,37.15,37.25,425200,37.25
2014-11-20,38.50,38.50,37.45,38.20,430100,38.20
2014-11-19,38.85,39.25,38.20,38.35,453500,38.35
2014-11-18,38.95,39.35,38.55,38.85,342600,38.85
2014-11-17,40.20,40.20,38.20,38.55,756000,38.55
2014-11-14,40.50,42.70,39.60,40.10,1475700,40.10
2014-11-13,39.75,39.75,39.75,39.75,000,39.75
2014-11-12,40.30,40.85,39.55,39.75,468400,39.75
2014-11-11,42.05,42.65,38.85,40.05,958100,40.05
2014-11-10,41.50,42.70,41.50,42.15,1089000,42.15
2014-11-07,39.30,41.65,38.55,41.40,1160000,41.40
2014-11-06,39.05,39.05,39.05,39.05,000,39.05
2014-11-05,39.50,39.75,38.90,39.05,306800,39.05
2014-11-04,39.40,39.40,39.40,39.40,000,39.40
2014-11-03,39.40,39.65,38.90,39.40,216800,39.40
2014-10-31,38.15,39.20,38.15,38.95,279400,38.95
2014-10-30,38.30,39.50,37.80,38.10,509600,38.10
2014-10-29,38.70,38.90,37.65,37.85,318500,37.85
2014-10-28,39.30,39.35,38.50,38.60,233300,38.60
2014-10-27,39.60,39.90,39.10,39.20,207700,39.20
2014-10-24,39.80,39.80,39.80,39.80,000,39.80
2014-10-23,39.80,39.80,39.80,39.80,000,39.80
2014-10-22,40.00,40.00,39.60,39.80,189100,39.80
2014-10-21,40.00,40.00,39.50,39.75,135800,39.75
2014-10-20,39.90,40.00,39.50,39.80,147700,39.80
2014-10-17,39.50,39.60,38.75,39.20,209000,39.20
2014-10-16,40.50,40.50,38.50,39.25,350800,39.25
2014-10-15,40.30,40.30,40.30,40.30,000,40.30
2014-10-14,40.50,40.85,40.05,40.30,213100,40.30
2014-10-13,39.70,40.75,39.15,40.50,300900,40.50
2014-10-10,40.05,41.25,39.70,39.95,460400,39.95
2014-10-09,40.00,41.05,40.00,40.65,258700,40.65
2014-10-08,41.20,41.20,39.50,39.65,305900,39.65
2014-10-07,41.40,42.75,40.75,41.20,434300,41.20
2014-10-06,41.20,41.20,41.20,41.20,000,41.20
2014-10-03,41.20,41.20,41.20,41.20,000,41.20
2014-10-02,41.20,41.20,41.20,41.20,000,41.20
2014-10-01,40.60,41.85,39.70,41.20,498300,41.20
2014-09-30,40.60,41.30,39.60,40.30,588000,40.30
2014-09-29,39.45,40.25,38.50,39.85,297200,39.85
2014-09-26,38.30,39.30,37.50,38.85,507600,38.85
2014-09-25,41.40,41.40,37.35,38.00,868700,38.00
2014-09-24,41.80,42.05,39.90,40.75,359500,40.75
2014-09-23,43.40,44.30,41.50,41.80,617900,41.80
2014-09-22,42.45,43.80,41.85,43.05,592100,43.05
2014-09-19,41.65,43.15,41.30,42.65,824700,42.65
2014-09-18,39.10,41.45,38.80,41.20,528600,41.20
2014-09-17,39.80,40.70,38.80,39.15,427400,39.15
2014-09-16,42.00,43.55,38.40,39.55,737600,39.55
2014-09-15,41.90,43.05,41.50,41.80,450800,41.80
2014-09-12,42.50,43.30,41.55,42.40,787100,42.40
2014-09-11,43.15,43.40,42.20,42.45,483100,42.45
2014-09-10,42.50,43.70,42.05,42.75,1499600,42.75
2014-09-09,40.50,42.90,39.65,42.60,2053900,42.60
2014-09-08,39.45,40.55,39.35,40.10,454100,40.10
2014-09-05,39.30,40.25,39.00,39.45,301800,39.45
2014-09-04,39.35,39.70,38.10,38.70,483200,38.70
2014-09-03,37.60,40.65,37.40,39.30,1129200,39.30
2014-09-02,37.30,38.00,37.20,37.35,145000,37.35
2014-09-01,37.20,37.60,37.05,37.35,98700,37.35
2014-08-29,37.30,37.30,37.30,37.30,000,37.30
2014-08-28,37.30,37.80,37.00,37.30,184100,37.30
2014-08-27,38.20,38.20,36.90,37.00,195200,37.00
2014-08-26,37.45,38.15,37.30,37.85,184600,37.85
2014-08-25,37.60,38.30,37.00,37.60,220400,37.60
2014-08-22,38.00,38.15,37.15,37.45,191700,37.45
2014-08-21,37.85,38.75,37.50,37.70,273400,37.70
2014-08-20,38.15,38.85,37.90,38.05,268200,38.05
2014-08-19,38.30,38.45,37.80,38.05,177600,38.05
2014-08-18,37.15,38.25,36.90,37.80,219000,37.80
2014-08-15,37.10,37.10,37.10,37.10,000,37.10
2014-08-14,36.50,37.25,36.40,37.10,239900,37.10
2014-08-13,38.10,38.25,36.15,36.40,327400,36.40
2014-08-12,38.25,38.70,37.90,38.00,143500,38.00
2014-08-11,39.50,39.50,37.95,38.05,182600,38.05
2014-08-08,38.00,39.20,37.50,38.95,481600,38.95
2014-08-07,39.60,39.60,38.15,38.30,198700,38.30
2014-08-06,39.30,40.00,39.10,39.55,403000,39.55
2014-08-05,38.20,39.75,38.10,39.20,613800,39.20
2014-08-04,37.50,38.25,37.05,38.10,346400,38.10
2014-08-01,38.00,39.65,36.80,37.30,1178000,37.30
2014-07-31,38.65,39.20,38.30,38.50,225400,38.50
2014-07-30,37.70,38.80,37.70,38.65,313700,38.65
2014-07-29,37.75,37.75,37.75,37.75,000,37.75
2014-07-28,37.50,38.25,37.30,37.75,238400,37.75
2014-07-25,38.75,38.80,36.95,37.25,404700,37.25
2014-07-24,39.10,39.35,38.60,38.90,493900,38.90
2014-07-23,39.50,40.00,38.90,39.00,423700,39.00
2014-07-22,39.70,39.75,38.50,39.20,264200,39.20
2014-07-21,39.90,40.00,38.55,39.45,251700,39.45
2014-07-18,40.20,40.45,39.20,39.35,443100,39.35
2014-07-17,40.50,40.90,39.60,40.00,403100,40.00
2014-07-15,36.10,38.75,36.10,38.45,527600,38.45
2014-07-14,36.70,36.70,35.25,35.85,351600,35.85
2014-07-11,38.75,39.70,35.55,36.15,637500,36.15
2014-07-10,38.30,39.30,37.00,38.50,642500,38.50
2014-07-09,38.70,39.70,37.80,38.05,488000,38.05
2014-07-08,40.85,41.90,38.10,39.25,1081400,39.25
2014-07-07,39.40,40.90,39.30,40.65,574900,40.65
2014-07-04,39.25,39.75,38.90,39.00,414400,39.00
2014-07-03,40.25,40.25,38.75,39.00,257000,39.00
2014-07-02,40.15,40.50,39.60,40.00,464000,40.00
2014-07-01,41.35,41.80,39.40,39.80,952300,39.80
2014-06-30,40.05,41.50,39.80,41.00,1735700,41.00
2014-06-27,39.10,40.50,39.10,39.75,938700,39.75
2014-06-26,39.90,40.20,39.00,39.15,808600,39.15
2014-06-25,39.30,39.80,38.65,39.00,632200,39.00
2014-06-24,40.00,40.40,39.00,39.10,759500,39.10
2014-06-23,39.90,41.40,38.80,39.50,1772900,39.50
2014-06-20,37.50,40.15,36.85,39.75,3074900,39.75
2014-06-19,36.75,37.85,36.75,37.35,950000,37.35
2014-06-18,36.95,38.15,36.50,36.60,1604800,36.60
2014-06-17,36.45,37.40,36.35,36.75,1371500,36.75
2014-06-16,34.90,36.35,33.95,36.05,1051200,36.05
2014-06-13,34.80,35.55,33.85,34.60,1280900,34.60
2014-06-12,35.55,35.75,34.50,34.90,640900,34.90
2014-06-11,35.65,36.55,35.05,35.40,2597300,35.40
2014-06-10,33.30,35.50,33.10,34.90,2667700,34.90
2014-06-09,32.60,33.80,32.60,33.55,904400,33.55
2014-06-06,33.25,33.70,32.15,32.40,678900,32.40
2014-06-05,33.60,33.95,32.90,33.00,764800,33.00
2014-06-04,33.60,33.80,32.85,33.55,1264000,33.55
2014-06-03,31.55,33.60,31.35,33.45,1696600,33.45
