Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,97.60,103.70,95.40,101.75,474400,101.75
2015-01-20,98.75,99.05,96.00,96.35,140600,96.35
2015-01-19,95.25,97.90,94.25,96.75,76900,96.75
2015-01-16,93.55,96.30,93.55,94.70,62800,94.70
2015-01-15,94.70,95.25,93.60,93.80,29100,93.80
2015-01-14,95.00,95.60,93.05,93.45,34200,93.45
2015-01-13,96.05,97.15,94.35,95.20,58300,95.20
2015-01-12,96.00,98.50,95.15,95.85,68800,95.85
2015-01-09,98.95,99.00,95.10,96.25,62000,96.25
2015-01-08,98.00,99.90,97.20,98.05,106400,98.05
2015-01-07,94.00,97.75,93.90,96.25,154300,96.25
2015-01-06,96.60,99.25,93.25,95.10,299600,95.10
2015-01-05,97.85,99.00,96.40,96.60,205200,96.60
2015-01-02,91.40,98.35,91.40,97.25,345100,97.25
2015-01-01,89.05,92.75,89.05,90.65,73300,90.65
2014-12-31,88.10,90.80,88.00,89.30,54300,89.30
2014-12-30,90.00,90.25,88.50,89.10,25000,89.10
2014-12-29,87.80,90.95,87.80,89.85,33900,89.85
2014-12-26,90.50,90.65,88.00,88.65,30900,88.65
2014-12-25,90.00,90.00,90.00,90.00,000,90.00
2014-12-24,89.70,91.25,88.50,90.00,74300,90.00
2014-12-23,88.35,90.25,87.70,89.15,54000,89.15
2014-12-22,88.55,91.85,87.10,88.20,83900,88.20
2014-12-19,87.60,90.70,87.60,88.15,35800,88.15
2014-12-18,86.50,89.50,86.50,88.30,51000,88.30
2014-12-17,85.15,87.00,80.45,85.75,93300,85.75
2014-12-16,87.80,88.15,85.25,85.55,64700,85.55
2014-12-15,87.75,89.50,86.50,88.35,61800,88.35
2014-12-12,90.45,90.95,87.80,88.20,66800,88.20
2014-12-11,87.95,91.85,87.70,89.80,124000,89.80
2014-12-10,86.90,88.50,86.70,88.25,43200,88.25
2014-12-09,88.80,90.50,85.40,87.25,73600,87.25
2014-12-08,92.20,92.25,88.65,89.70,81900,89.70
2014-12-05,93.40,94.35,89.90,91.40,148600,91.40
2014-12-04,91.65,94.80,90.65,92.90,375000,92.90
2014-12-03,85.75,90.00,85.75,89.15,75300,89.15
2014-12-02,88.00,88.45,86.40,86.65,39500,86.65
2014-12-01,88.55,89.95,87.70,88.55,35100,88.55
2014-11-28,90.05,91.45,87.05,88.20,91400,88.20
2014-11-27,88.65,92.00,88.45,90.70,164300,90.70
2014-11-26,86.50,90.15,86.50,88.65,86600,88.65
2014-11-25,89.90,90.15,86.50,87.65,130000,87.65
2014-11-24,91.00,91.75,89.20,89.95,114200,89.95
2014-11-21,91.50,92.65,86.80,90.10,96200,90.10
2014-11-20,92.15,93.60,91.05,91.75,53300,91.75
2014-11-19,94.70,96.30,92.40,92.85,99400,92.40
2014-11-18,96.00,97.10,94.15,94.50,87700,94.04
2014-11-17,93.60,96.85,92.00,95.60,185900,95.14
