Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,422.50,422.50,397.00,400.40,133500,400.40
2015-01-20,389.85,459.40,378.60,424.25,460000,424.25
2015-01-19,369.95,406.70,369.95,382.85,220100,382.85
2015-01-16,357.00,367.60,357.00,365.00,12000,365.00
2015-01-15,361.50,364.90,355.90,356.75,16600,356.75
2015-01-14,365.00,372.00,356.50,357.40,17900,357.40
2015-01-13,355.00,366.70,354.10,361.60,96300,361.60
2015-01-12,352.70,363.90,352.35,356.50,303000,356.50
2015-01-09,357.00,360.90,351.10,352.40,23200,352.40
2015-01-08,348.80,373.00,348.80,353.85,92800,353.85
2015-01-07,348.00,350.45,340.95,342.90,6200,342.90
2015-01-06,349.55,354.70,338.00,346.15,527900,346.15
2015-01-05,355.00,358.60,351.35,352.25,10900,352.25
2015-01-02,353.85,355.95,349.10,350.30,3700,350.30
2015-01-01,353.00,354.90,348.00,350.55,8200,350.55
2014-12-31,350.35,358.90,350.20,352.95,16200,352.95
2014-12-30,352.50,358.15,350.00,350.90,28800,350.90
2014-12-29,340.90,351.25,340.55,349.35,21100,349.35
2014-12-26,343.10,347.65,338.70,340.65,8100,340.65
2014-12-25,340.80,340.80,340.80,340.80,000,340.80
2014-12-24,343.95,344.30,334.65,340.80,12100,340.80
2014-12-23,352.00,352.00,338.80,345.15,19900,345.15
2014-12-22,352.80,362.80,350.00,351.90,49200,351.90
2014-12-19,340.00,354.80,337.35,349.10,31900,349.10
2014-12-18,337.00,349.50,334.05,336.20,47600,336.20
2014-12-17,320.00,349.00,300.45,329.50,4083500,329.50
2014-12-16,312.10,321.00,306.00,319.15,8000,319.15
2014-12-15,310.10,319.70,310.00,315.25,13800,315.25
2014-12-12,328.20,332.50,309.00,313.55,18900,313.55
2014-12-11,329.75,335.00,321.20,324.10,10900,324.10
2014-12-10,327.30,332.85,323.30,331.75,11500,331.75
2014-12-09,333.00,335.20,313.55,322.15,24400,322.15
2014-12-08,334.90,341.25,331.35,335.05,21400,335.05
2014-12-05,321.85,332.95,320.20,329.60,28400,329.60
2014-12-04,323.90,323.90,315.50,318.70,17900,318.70
2014-12-03,318.00,325.15,316.30,320.85,18700,320.85
2014-12-02,310.90,321.00,310.90,317.15,22000,317.15
2014-12-01,308.00,318.50,307.80,310.30,15300,310.30
2014-11-28,312.00,318.35,295.45,308.15,83500,308.15
2014-11-27,315.60,321.70,312.00,314.00,10600,314.00
2014-11-26,316.50,319.00,310.05,312.05,15500,312.05
2014-11-25,327.95,332.95,310.00,314.65,50800,314.65
2014-11-24,330.00,338.00,327.05,328.70,20600,328.70
2014-11-21,326.50,335.35,323.45,331.60,23000,331.60
2014-11-20,326.05,341.95,326.05,329.75,25100,329.75
2014-11-19,339.05,346.55,325.10,327.40,41300,327.40
2014-11-18,346.30,349.50,339.00,342.45,65500,342.45
2014-11-17,316.80,349.00,316.00,343.35,121900,343.35
2014-11-14,303.10,321.80,303.10,320.00,50000,320.00
2014-11-13,310.40,319.55,304.25,306.20,24200,306.20
2014-11-12,310.00,315.90,307.80,311.40,29900,311.40
2014-11-11,305.00,313.00,301.30,309.75,43100,309.75
2014-11-10,293.60,318.00,290.85,303.95,153700,303.95
2014-11-07,293.00,298.45,275.00,290.05,31600,290.05
2014-11-06,291.00,291.00,291.00,291.00,000,291.00
2014-11-05,290.00,296.50,285.00,291.00,30300,291.00
2014-11-04,289.85,289.85,289.85,289.85,000,289.85
2014-11-03,288.90,301.00,279.95,289.85,157100,289.85
2014-10-31,273.00,305.00,267.35,285.95,415900,285.95
2014-10-30,274.00,280.00,267.60,270.55,23100,270.55
2014-10-29,269.45,279.90,268.00,272.65,50700,272.65
2014-10-28,257.00,269.00,256.00,264.75,11600,264.75
2014-10-27,261.00,262.35,255.50,256.65,6800,256.65
2014-10-24,255.00,255.00,255.00,255.00,000,255.00
2014-10-23,255.00,255.00,255.00,255.00,000,255.00
2014-10-22,256.90,259.40,254.30,255.00,3500,255.00
2014-10-21,250.15,259.75,250.15,253.50,29800,253.50
2014-10-20,259.00,260.85,250.05,252.10,20600,252.10
2014-10-17,259.00,262.85,253.00,256.30,20700,256.30
2014-10-16,259.00,262.15,254.20,257.50,88500,257.50
2014-10-15,259.30,259.30,259.30,259.30,000,259.30
2014-10-14,256.00,270.00,252.00,259.30,1119400,259.30
2014-10-13,250.10,257.70,250.10,254.15,7800,254.15
2014-10-10,255.65,259.00,250.40,252.45,11200,252.45
2014-10-09,253.95,261.40,253.95,256.65,11800,256.65
2014-10-08,262.45,262.45,251.10,252.00,17300,252.00
2014-10-07,266.00,271.50,257.20,259.30,17200,259.30
2014-10-06,265.10,265.10,265.10,265.10,000,265.10
2014-10-03,265.10,265.10,265.10,265.10,000,265.10
2014-10-02,265.10,265.10,265.10,265.10,000,265.10
2014-10-01,256.20,279.70,254.00,265.10,119700,265.10
2014-09-30,260.00,262.45,255.00,256.95,17900,256.95
2014-09-29,247.00,264.95,247.00,261.15,34100,261.15
2014-09-26,243.00,251.10,239.00,247.00,21100,247.00
2014-09-25,254.00,255.00,242.00,245.05,22400,245.05
2014-09-24,255.40,256.00,245.00,252.90,42300,252.90
2014-09-23,250.10,256.45,249.15,254.45,530400,254.45
2014-09-22,245.00,255.00,239.70,249.05,39400,249.05
2014-09-19,250.00,254.00,242.00,244.65,22800,244.65
