Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,104.95,104.95,102.05,103.25,260000,103.25
2015-01-20,105.50,106.80,103.55,103.80,142600,103.80
2015-01-19,103.00,106.30,102.30,105.05,223600,105.05
2015-01-16,103.75,104.45,102.10,102.60,103900,102.60
2015-01-15,106.05,107.05,103.40,103.75,121700,103.75
2015-01-14,103.80,107.25,103.00,105.25,251000,105.25
2015-01-13,103.40,105.50,102.05,104.30,177400,104.30
2015-01-12,101.55,104.10,101.55,102.85,98600,102.85
2015-01-09,103.55,105.50,100.35,101.55,249100,101.55
2015-01-08,103.20,104.80,102.20,103.25,107600,103.25
2015-01-07,101.50,105.60,101.50,103.05,249100,103.05
2015-01-06,104.30,105.65,101.05,102.05,322000,102.05
2015-01-05,106.60,107.00,104.00,104.55,85600,104.55
2015-01-02,107.05,108.15,105.35,105.75,128300,105.75
2015-01-01,106.00,107.50,105.30,106.65,267600,106.65
2014-12-31,99.75,105.70,99.75,105.10,349500,105.10
2014-12-30,102.80,103.35,99.00,99.60,197200,99.60
2014-12-29,104.50,107.10,101.60,102.75,224900,102.75
2014-12-26,107.60,110.75,103.35,104.45,242600,104.45
2014-12-25,108.65,108.65,108.65,108.65,000,108.65
2014-12-24,109.55,112.30,108.00,108.65,248000,108.65
2014-12-23,104.25,110.00,104.25,109.10,547400,109.10
2014-12-22,103.00,105.50,102.80,104.90,195300,104.90
2014-12-19,100.05,108.00,100.05,102.85,654200,102.85
2014-12-18,98.00,102.25,98.00,99.95,126400,99.95
2014-12-17,96.80,97.80,90.70,96.35,183700,96.35
2014-12-16,101.60,101.60,94.10,97.75,173700,97.75
2014-12-15,99.85,100.35,97.30,97.90,118900,97.90
2014-12-12,102.65,103.25,99.40,100.00,158100,100.00
2014-12-11,105.00,105.00,101.50,102.10,143500,102.10
2014-12-10,100.65,105.70,99.75,104.95,331000,104.95
2014-12-09,102.00,104.30,99.00,100.35,171100,100.35
2014-12-08,106.00,107.60,101.40,101.90,340800,101.90
