Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,10.10,10.35,10.06,10.14,570900,10.14
2015-01-20,10.32,10.40,10.07,10.11,512700,10.11
2015-01-19,10.00,10.60,10.00,10.26,1444500,10.26
2015-01-16,10.00,10.00,9.71,9.80,849300,9.80
2015-01-15,9.50,10.19,9.33,10.04,2364600,10.04
2015-01-14,9.19,9.34,9.10,9.12,673300,9.12
2015-01-13,9.50,9.62,9.15,9.18,490800,9.18
2015-01-12,9.30,9.51,8.88,9.47,1000600,9.47
2015-01-09,9.30,9.33,9.01,9.07,569300,9.07
2015-01-08,8.80,9.30,8.80,9.18,611700,9.18
2015-01-07,8.90,8.99,8.76,8.81,589500,8.81
2015-01-06,9.05,9.08,8.85,8.95,686000,8.95
2015-01-05,9.40,9.44,9.13,9.16,558000,9.16
2015-01-02,9.51,9.71,9.30,9.34,873500,9.34
2015-01-01,8.98,9.50,8.86,9.37,738600,9.37
2014-12-31,8.80,9.00,8.80,8.84,756200,8.84
2014-12-30,9.01,9.12,8.75,8.87,369800,8.87
2014-12-29,9.20,9.28,9.02,9.06,668000,9.06
2014-12-26,9.13,9.30,9.00,9.19,280700,9.19
2014-12-25,9.03,9.03,9.03,9.03,000,9.03
2014-12-24,9.10,9.20,8.84,9.03,644900,9.03
2014-12-23,9.10,9.19,8.83,9.02,942900,9.02
2014-12-22,9.05,9.15,8.75,9.07,506700,9.07
2014-12-19,9.41,9.65,8.85,8.93,400800,8.93
2014-12-18,8.95,9.40,8.95,9.33,619200,9.33
2014-12-17,9.10,9.17,8.51,8.88,719600,8.88
2014-12-16,9.51,9.70,9.02,9.07,735700,9.07
2014-12-15,9.50,9.72,9.35,9.51,1045500,9.51
2014-12-12,9.91,9.97,9.44,9.56,1016000,9.56
2014-12-11,9.93,10.01,9.60,9.78,710200,9.78
2014-12-10,9.70,10.01,9.70,9.79,484600,9.79
2014-12-09,10.14,10.14,9.77,9.81,667300,9.81
2014-12-08,10.21,10.42,10.01,10.10,726300,10.10
2014-12-05,10.49,10.60,10.25,10.35,712400,10.35
2014-12-04,10.82,10.95,10.32,10.39,717300,10.39
2014-12-03,10.30,10.99,10.21,10.67,1082600,10.67
2014-12-02,10.80,10.80,10.13,10.35,1299800,10.35
2014-12-01,11.00,11.00,10.45,10.54,622700,10.54
2014-11-28,11.15,11.24,10.96,10.98,493000,10.98
2014-11-27,11.25,11.30,11.02,11.10,551100,11.10
2014-11-26,10.55,11.28,10.55,11.03,869700,11.03
2014-11-25,11.44,11.59,10.47,10.63,912100,10.63
2014-11-24,11.56,11.83,11.20,11.30,572800,11.30
2014-11-21,11.95,12.05,11.52,11.61,449700,11.61
2014-11-20,12.11,12.34,11.55,11.86,950600,11.86
2014-11-19,12.16,12.30,11.96,12.20,729000,12.20
2014-11-18,11.90,12.32,11.90,12.01,934900,12.01
2014-11-17,11.85,12.00,11.50,11.89,1229300,11.89
2014-11-14,11.90,12.65,11.65,12.21,1540300,12.21
2014-11-13,12.50,12.50,11.70,11.82,1269100,11.82
2014-11-12,12.74,12.74,12.18,12.28,965400,12.28
2014-11-11,12.22,12.65,11.68,12.47,1594900,12.47
2014-11-10,12.40,12.77,12.12,12.22,884700,12.22
2014-11-07,12.55,12.74,12.00,12.40,1219700,12.40
2014-11-06,12.50,12.50,12.50,12.50,000,12.50
2014-11-05,12.55,13.09,12.40,12.50,2246100,12.50
2014-11-04,12.51,12.51,12.51,12.51,000,12.51
2014-11-03,11.72,12.99,11.06,12.51,5541300,12.51
2014-10-31,10.70,11.80,10.61,11.72,3313500,11.72
2014-10-30,10.14,11.07,9.91,10.65,1581800,10.65
2014-10-29,10.24,10.30,9.78,10.12,2101000,10.12
2014-10-28,9.97,10.18,9.63,9.98,765000,9.98
2014-10-27,10.04,10.28,9.76,9.82,700700,9.82
2014-10-24,9.70,9.70,9.70,9.70,000,9.70
2014-10-23,9.70,9.70,9.70,9.70,000,9.70
2014-10-22,9.30,9.79,9.25,9.70,861300,9.70
2014-10-21,9.35,9.40,9.10,9.13,758000,9.13
2014-10-20,10.00,10.08,9.11,9.24,766200,9.24
2014-10-17,9.65,9.88,9.51,9.79,303200,9.79
2014-10-16,9.96,10.00,9.59,9.62,411300,9.62
