Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,78.95,80.05,76.65,77.50,1535200,77.50
2015-01-20,80.00,81.00,78.10,78.85,1502400,78.85
2015-01-19,80.75,81.15,78.75,79.85,1985900,79.85
2015-01-16,78.45,82.85,75.45,80.40,6349900,80.40
2015-01-15,69.00,79.05,68.40,78.15,8146000,78.15
2015-01-14,67.25,67.50,65.40,65.90,1093000,65.90
2015-01-13,69.25,69.50,66.40,67.15,1144700,67.15
2015-01-12,68.25,69.75,67.80,69.15,1223800,69.15
2015-01-09,69.45,70.50,67.20,68.05,1376600,68.05
2015-01-08,67.50,69.35,67.50,69.00,1070400,69.00
2015-01-07,67.00,67.90,64.85,66.85,1850700,66.85
2015-01-06,70.70,70.70,66.70,67.05,2019800,67.05
2015-01-05,70.00,72.45,69.30,71.70,1846400,71.70
2015-01-02,68.30,70.65,68.30,69.90,1469600,69.90
2015-01-01,67.70,69.00,67.20,68.35,1159100,68.35
2014-12-31,67.30,68.80,67.05,68.25,1443600,68.25
2014-12-30,69.00,70.30,67.00,67.70,1767100,67.70
2014-12-29,67.35,71.45,67.35,68.85,2094400,68.85
2014-12-26,67.55,68.35,66.20,67.70,1405500,67.70
2014-12-25,67.75,67.75,67.75,67.75,000,67.75
2014-12-24,64.95,69.20,64.35,67.75,2149400,67.75
2014-12-23,67.20,67.20,64.55,65.30,1464300,65.30
2014-12-22,65.30,67.85,64.20,66.90,1642200,66.90
2014-12-19,68.50,69.90,64.85,65.95,1998200,65.95
2014-12-18,62.40,68.40,62.40,67.75,2557300,67.75
2014-12-17,61.75,62.70,58.90,61.15,2102600,61.15
2014-12-16,66.20,66.50,61.50,62.10,2368700,62.10
2014-12-15,67.40,68.60,65.20,66.70,1428000,66.70
2014-12-12,69.15,70.25,66.75,68.05,2164200,68.05
2014-12-11,73.00,73.10,68.55,69.15,3130300,69.15
2014-12-10,74.50,75.80,73.30,73.55,1996600,73.55
2014-12-09,76.90,78.70,74.40,75.10,1693000,75.10
2014-12-08,80.00,81.40,77.00,77.70,1626500,77.70
