Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,18.05,18.15,17.30,17.70,1619400,17.70
2015-01-20,18.70,18.70,17.40,17.80,5229700,17.80
2015-01-19,19.50,20.40,19.10,19.30,3511700,19.30
2015-01-16,18.20,19.65,17.95,19.35,3466800,19.35
2015-01-15,17.80,18.40,17.75,18.10,1077700,18.10
2015-01-14,18.00,18.05,17.55,17.70,764600,17.70
2015-01-13,18.20,18.50,17.75,17.85,993700,17.85
2015-01-12,18.00,18.55,17.85,18.25,1365900,18.25
2015-01-09,18.15,18.35,17.75,17.85,898800,17.85
2015-01-08,18.00,18.40,17.80,18.05,1248700,18.05
2015-01-07,17.10,18.00,17.00,17.70,1859000,17.70
2015-01-06,18.10,18.20,16.85,17.05,2201100,17.05
2015-01-05,18.80,19.20,18.25,18.40,1131100,18.40
2015-01-02,19.10,19.30,18.50,18.65,1200400,18.65
2015-01-01,18.00,19.25,17.90,18.95,1754600,18.95
2014-12-31,17.80,18.45,17.80,18.15,917900,18.15
2014-12-30,18.25,18.45,17.80,17.95,616100,17.95
2014-12-29,18.40,18.65,18.10,18.15,1286700,18.15
2014-12-26,18.25,18.60,17.90,18.30,1323000,18.30
2014-12-25,18.00,18.00,18.00,18.00,000,18.00
2014-12-24,17.20,18.30,16.80,18.00,2355100,18.00
2014-12-23,18.00,18.00,16.85,16.95,1179900,16.95
2014-12-22,17.65,18.05,17.35,17.75,1123500,17.75
2014-12-19,18.15,18.40,17.30,17.40,1532100,17.40
2014-12-18,17.70,18.05,17.45,17.85,1279500,17.85
2014-12-17,17.00,17.85,16.40,17.15,2384400,17.15
2014-12-16,18.50,18.60,16.70,17.00,2920800,17.00
2014-12-15,19.00,19.25,18.40,18.70,1580500,18.70
2014-12-12,20.10,20.30,19.10,19.20,1531600,19.20
2014-12-11,20.20,20.20,19.35,19.90,1282800,19.90
2014-12-10,19.75,20.40,19.60,20.15,1403400,20.15
2014-12-09,19.70,20.45,19.65,19.75,1506800,19.75
2014-12-08,20.20,20.65,19.75,19.85,1627600,19.85
2014-12-05,20.50,21.30,20.10,20.20,2032300,20.20
2014-12-04,20.75,21.50,20.35,20.50,3482000,20.50
2014-12-03,19.50,21.50,19.50,20.70,4011300,20.70
2014-12-02,18.60,19.60,18.60,19.40,1373000,19.40
2014-12-01,19.45,19.95,18.70,18.80,1407500,18.80
2014-11-28,20.15,21.00,19.30,19.60,2375900,19.60
2014-11-27,20.00,20.45,19.90,20.10,1130800,20.10
2014-11-26,19.80,20.40,19.60,20.15,1727900,20.15
2014-11-25,20.50,20.70,19.50,19.80,2480800,19.80
2014-11-24,21.50,21.65,20.35,20.45,2164600,20.45
2014-11-21,21.45,22.15,21.15,21.25,2627900,21.25
2014-11-20,21.20,21.65,20.55,21.40,3104700,21.40
2014-11-19,22.40,23.10,20.80,21.05,3439100,21.05
2014-11-18,22.55,23.50,22.20,22.35,4502500,22.35
