Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,69.05,69.55,64.65,65.60,343600,65.60
2015-01-20,72.25,72.70,68.50,69.05,234600,69.05
2015-01-19,71.30,73.85,70.50,71.75,358800,71.75
2015-01-16,71.75,73.90,69.50,71.00,471300,71.00
2015-01-15,76.30,77.80,70.80,71.45,623900,71.45
2015-01-14,72.45,77.75,72.00,74.80,1370900,74.80
2015-01-13,66.00,74.35,66.00,71.95,2018100,71.95
2015-01-12,61.05,66.50,60.95,65.55,686200,65.55
2015-01-09,64.80,65.50,60.40,61.00,559000,61.00
2015-01-08,56.50,66.70,56.25,64.70,1556600,64.70
2015-01-07,55.95,58.00,54.95,55.60,326700,55.60
2015-01-06,52.20,59.75,52.20,55.35,1411400,55.35
2015-01-05,50.60,52.90,50.60,51.60,169600,51.60
2015-01-02,48.15,52.70,47.90,50.40,432800,50.40
2015-01-01,48.00,48.50,47.20,47.70,102000,47.70
2014-12-31,48.05,49.00,47.55,47.75,106700,47.75
2014-12-30,47.05,48.45,46.60,48.00,131500,48.00
2014-12-29,46.90,48.00,46.55,46.80,154200,46.80
2014-12-26,47.65,47.65,46.10,46.50,95800,46.50
2014-12-25,47.60,47.60,47.60,47.60,000,47.60
2014-12-24,47.05,48.70,46.20,47.60,275800,47.60
2014-12-23,46.00,48.45,45.45,46.60,224600,46.60
2014-12-22,46.45,46.80,45.15,45.50,62700,45.50
2014-12-19,47.40,47.95,45.00,45.25,141600,45.25
2014-12-18,47.50,48.30,45.65,46.55,178900,46.55
2014-12-17,48.10,48.60,43.25,45.75,199500,45.75
2014-12-16,51.90,52.00,47.00,48.05,170400,48.05
2014-12-15,51.00,53.25,48.40,51.80,294000,51.80
2014-12-12,56.00,56.85,50.50,51.00,223300,51.00
2014-12-11,57.30,58.90,55.25,55.90,266500,55.90
2014-12-10,57.10,59.50,53.40,56.85,434700,56.85
2014-12-09,59.90,62.70,56.10,57.20,887000,57.20
2014-12-08,49.70,59.20,49.60,58.50,1122800,58.50
2014-12-05,43.20,51.85,43.20,49.35,642300,49.35
2014-12-04,40.90,47.00,39.30,44.20,366300,44.20
2014-12-03,40.50,41.90,40.25,40.60,105500,40.60
2014-12-02,34.00,40.70,34.00,40.00,74400,40.00
