Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,20.90,21.60,20.90,21.05,115400,21.05
2015-01-20,20.30,21.15,20.30,20.90,76200,20.90
2015-01-19,21.00,21.45,20.80,20.90,77200,20.90
2015-01-16,20.65,21.65,20.50,20.95,122500,20.95
2015-01-15,20.55,21.10,20.55,20.85,49500,20.85
2015-01-14,20.50,21.10,20.50,20.65,64600,20.65
2015-01-13,21.00,21.15,20.50,20.60,91900,20.60
2015-01-12,21.05,21.45,20.80,20.90,78800,20.90
2015-01-09,20.55,21.50,20.55,21.00,65100,21.00
2015-01-08,21.00,21.55,20.75,20.85,155900,20.85
2015-01-07,22.05,22.05,20.50,20.70,237600,20.70
2015-01-06,22.30,22.30,21.00,21.15,128900,21.15
2015-01-05,21.35,23.40,21.25,22.45,319900,22.45
2015-01-02,21.50,21.75,21.20,21.35,101700,21.35
2015-01-01,20.40,21.35,20.40,21.20,169400,21.20
2014-12-31,20.20,20.65,20.20,20.40,71100,20.40
2014-12-30,20.50,21.65,20.25,20.40,237200,20.40
2014-12-29,20.50,20.70,20.30,20.40,60600,20.40
2014-12-26,20.70,20.70,20.25,20.40,39600,20.40
2014-12-25,20.55,20.55,20.55,20.55,000,20.55
2014-12-24,20.85,20.85,20.30,20.55,77100,20.55
2014-12-23,21.05,21.15,20.55,20.65,48600,20.65
2014-12-22,21.40,21.40,20.75,20.85,64800,20.85
2014-12-19,20.90,21.65,20.90,21.15,103700,21.15
2014-12-18,20.55,21.45,20.50,20.75,98600,20.75
2014-12-17,19.65,20.80,19.65,20.25,76000,20.25
2014-12-16,21.00,21.35,20.20,20.30,125700,20.30
2014-12-15,21.15,21.95,21.05,21.25,108800,21.25
2014-12-12,21.15,22.25,21.15,21.30,156400,21.30
2014-12-11,21.85,21.85,20.85,21.30,135800,21.30
2014-12-10,21.95,22.05,21.20,21.65,172900,21.65
2014-12-09,22.65,22.90,21.70,21.80,132400,21.80
2014-12-08,22.75,23.00,22.45,22.50,83400,22.50
2014-12-05,23.15,23.30,22.75,22.90,135100,22.90
2014-12-04,23.40,23.45,22.50,23.00,692100,23.00
2014-12-03,24.40,24.95,23.00,23.15,645300,23.15
2014-12-02,23.40,24.10,22.75,23.85,142600,23.85
2014-12-01,23.20,23.70,23.05,23.20,102300,23.20
2014-11-28,23.65,23.95,22.95,23.05,128800,23.05
2014-11-27,23.40,23.95,23.15,23.30,95100,23.30
2014-11-26,23.40,23.55,23.10,23.30,65800,23.30
2014-11-25,24.80,24.80,23.15,23.45,260600,23.45
2014-11-24,24.10,24.70,22.95,24.20,451400,24.20
2014-11-21,24.20,25.50,23.70,23.90,185700,23.90
2014-11-20,23.80,25.20,23.15,24.35,142900,24.35
2014-11-19,25.10,25.60,23.80,24.00,173800,24.00
2014-11-18,27.40,27.40,24.80,25.05,203100,25.05
2014-11-17,26.00,26.50,25.20,25.55,122600,25.55
2014-11-14,24.35,27.00,24.20,25.90,771900,25.90
2014-11-13,26.00,26.40,24.15,24.35,561700,24.35
2014-11-12,21.85,25.95,21.85,25.95,2447400,25.95
2014-11-11,21.45,22.20,21.30,21.65,106500,21.65
2014-11-10,21.60,21.85,21.25,21.50,75900,21.50
