Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,70.80,71.20,68.30,68.85,779800,68.85
2015-01-20,72.05,73.60,69.60,70.50,850300,70.50
2015-01-19,72.90,73.65,71.20,71.85,600700,71.85
2015-01-16,71.10,74.10,69.55,72.25,1857500,72.25
2015-01-15,67.00,71.90,66.70,70.75,3120300,70.75
2015-01-14,66.10,66.45,63.70,64.00,874500,64.00
2015-01-13,69.15,69.15,65.75,65.95,726300,65.95
2015-01-12,68.40,69.35,67.25,68.80,607800,68.80
2015-01-09,71.00,71.50,68.10,68.70,714600,68.70
2015-01-08,69.10,70.90,68.40,70.60,671500,70.60
2015-01-07,67.25,68.65,66.75,68.25,591500,68.25
2015-01-06,71.60,71.95,66.80,67.35,863200,67.35
2015-01-05,73.00,74.05,72.20,72.55,773900,72.55
2015-01-02,68.70,73.00,68.70,72.35,959700,72.35
2015-01-01,68.70,69.30,68.25,68.80,324700,68.80
2014-12-31,68.25,69.45,67.90,68.85,469200,68.85
2014-12-30,68.95,69.65,67.55,68.55,444000,68.55
2014-12-29,68.65,71.20,68.10,68.55,694900,68.55
2014-12-26,68.35,69.50,66.35,68.70,757300,68.70
2014-12-25,67.95,67.95,67.95,67.95,000,67.95
2014-12-24,66.50,68.70,65.90,67.95,564000,67.95
2014-12-23,68.60,68.85,65.95,66.30,681000,66.30
2014-12-22,68.10,68.85,67.55,68.35,527600,68.35
2014-12-19,70.60,71.30,68.00,68.40,803400,68.40
2014-12-18,68.50,70.65,68.10,69.90,812700,69.90
2014-12-17,65.00,68.80,63.25,67.50,1030300,67.50
2014-12-16,67.00,68.00,65.05,65.45,948100,65.45
2014-12-15,66.60,69.40,66.30,68.20,782300,68.20
2014-12-12,69.40,70.60,66.80,67.30,923600,67.30
2014-12-11,71.85,72.40,68.65,69.80,964100,69.80
2014-12-10,71.00,73.20,70.55,72.40,782400,72.40
2014-12-09,73.45,74.95,70.75,71.30,1175900,71.30
2014-12-08,75.85,76.60,73.70,74.20,827500,74.20
2014-12-05,77.50,80.65,74.50,76.55,1168300,76.55
2014-12-04,79.00,79.80,76.65,77.30,774400,77.30
2014-12-03,80.00,81.00,78.00,78.45,632000,78.45
2014-12-02,77.50,80.10,77.10,79.60,769000,79.60
2014-12-01,81.45,81.85,76.75,77.65,739000,77.65
2014-11-28,78.80,82.60,78.60,81.95,1085000,81.95
2014-11-27,77.00,80.00,76.55,78.25,1348200,78.25
2014-11-26,74.40,78.15,73.50,76.80,1215100,76.80
2014-11-25,80.30,80.40,73.45,75.35,1554000,75.35
2014-11-24,80.00,81.90,79.25,80.85,667200,80.85
2014-11-21,79.10,82.50,79.10,79.35,751000,79.35
2014-11-20,81.95,82.25,77.75,79.60,820500,79.60
2014-11-19,84.10,84.55,79.75,81.70,1438600,81.70
2014-11-18,84.60,85.55,83.10,84.65,1431500,84.65
2014-11-17,79.10,85.00,79.10,84.45,1910600,84.45
2014-11-14,77.65,82.40,76.90,80.90,1898000,80.90
2014-11-13,80.00,80.40,75.35,77.65,1528200,77.65
2014-11-12,79.00,81.15,78.65,79.70,3226400,79.70
2014-11-11,77.50,79.20,74.85,78.50,1350300,78.50
2014-11-10,75.50,78.20,74.00,77.10,1650400,77.10
2014-11-07,72.45,75.85,72.05,75.05,1506400,75.05
2014-11-06,72.35,72.35,72.35,72.35,000,72.35
2014-11-05,75.10,76.30,71.65,72.35,1461400,72.35
2014-11-04,74.55,74.55,74.55,74.55,000,74.55
2014-11-03,71.95,76.00,71.90,74.55,2435500,74.55
2014-10-31,69.70,72.00,67.65,71.10,2336200,71.10
2014-10-30,66.90,69.40,66.70,69.10,1568200,69.10
2014-10-29,64.75,66.85,64.65,66.40,1042900,66.40
2014-10-28,64.00,64.95,63.50,64.25,686000,64.25
2014-10-27,66.80,66.80,63.70,64.00,485800,64.00
2014-10-24,65.20,65.20,65.20,65.20,000,65.20
2014-10-23,65.20,65.20,65.20,65.20,000,65.20
