Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,26.25,28.40,26.20,28.05,842600,27.05
2015-01-20,25.80,26.30,24.95,26.10,470600,25.17
2015-01-19,25.95,26.35,24.85,25.60,1009700,24.69
2015-01-16,25.10,25.90,25.10,25.65,251000,24.74
2015-01-15,25.15,25.20,24.85,25.10,131600,24.21
2015-01-14,25.00,25.10,24.60,24.90,81100,24.01
2015-01-13,25.25,25.25,24.80,24.90,70400,24.01
2015-01-12,24.50,25.30,24.50,24.95,223600,24.06
2015-01-09,23.80,24.15,23.45,23.50,94000,22.66
2015-01-08,24.15,24.20,23.60,23.70,103300,22.86
2015-01-07,23.70,24.00,23.20,23.85,133900,23.00
2015-01-06,24.10,24.15,23.75,23.80,171600,22.95
2015-01-05,24.35,24.75,24.15,24.35,148100,23.48
2015-01-02,23.75,24.45,23.65,24.20,206900,23.34
2015-01-01,23.50,23.50,23.15,23.50,109900,22.66
2014-12-31,23.30,23.35,23.15,23.25,86200,22.42
2014-12-30,23.50,23.70,23.10,23.20,77800,22.37
2014-12-29,23.35,23.90,23.00,23.35,119200,22.52
2014-12-26,22.55,23.40,22.55,23.15,147200,22.32
2014-12-25,22.40,22.40,22.40,22.40,000,21.60
2014-12-24,22.45,22.70,22.30,22.40,190100,21.60
2014-12-23,22.60,22.70,22.25,22.45,93600,21.65
2014-12-22,22.45,23.00,22.10,22.45,150300,21.65
2014-12-19,23.35,23.50,22.20,22.45,136200,21.65
2014-12-18,22.55,23.15,22.50,23.05,103100,22.23
2014-12-17,22.45,22.85,21.50,22.05,227000,21.26
2014-12-16,23.60,23.90,22.40,22.55,365800,21.75
2014-12-15,24.00,24.20,23.70,23.75,201400,22.90
2014-12-12,24.45,24.55,23.85,23.90,153800,23.05
2014-12-11,24.55,24.75,24.30,24.35,62000,23.48
2014-12-10,24.60,24.75,24.40,24.60,65700,23.72
2014-12-09,24.90,24.90,24.50,24.55,78300,23.67
2014-12-08,24.90,25.00,24.65,24.70,106300,23.82
2014-12-05,25.10,25.30,24.80,24.90,84200,24.01
2014-12-04,25.25,25.50,25.05,25.10,82700,24.21
2014-12-03,24.80,25.50,24.60,25.20,204200,24.30
2014-12-02,24.95,24.95,24.65,24.75,134200,23.87
2014-12-01,24.70,25.00,24.70,24.75,44600,23.87
2014-11-28,24.45,25.35,24.45,24.90,118600,24.01
2014-11-27,25.05,25.40,24.85,25.10,168200,24.21
2014-11-26,24.80,25.30,24.70,25.00,148200,24.11
2014-11-25,25.60,25.60,24.85,25.05,233000,24.16
2014-11-24,26.50,26.55,25.55,25.75,112300,24.83
2014-11-21,27.55,27.60,25.95,26.15,448500,25.22
2014-11-20,25.65,28.00,25.60,27.30,2703000,26.33
2014-11-19,24.95,26.00,24.75,25.00,416800,24.11
2014-11-18,24.90,25.25,24.85,25.00,71700,24.11
