Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,1761.10,1776.45,1750.40,1757.55,239300,351.51
2014-11-28,1725.50,1776.65,1725.50,1754.60,188400,350.92
2014-11-27,1714.90,1731.80,1707.00,1722.30,150400,344.46
2014-11-26,1727.00,1734.00,1707.45,1711.95,271200,342.39
2014-11-25,8870.00,8870.00,8626.50,8685.50,179700,1737.10
2014-11-24,8700.50,8890.00,8700.50,8864.75,235400,1772.95
2014-11-21,8450.00,8710.00,8392.50,8670.00,217200,1734.00
2014-11-20,8415.00,8470.00,8380.00,8445.50,74900,1689.10
2014-11-19,8405.00,8519.75,8359.75,8410.75,158700,1682.15
2014-11-18,8375.00,8435.00,8361.00,8405.00,120400,1681.00
2014-11-17,8448.50,8448.50,8315.25,8368.25,119100,1673.65
2014-11-14,8449.00,8493.75,8425.00,8476.00,144400,1695.20
2014-11-13,8550.50,8575.00,8432.50,8461.50,150500,1692.30
2014-11-12,8455.00,8567.00,8450.00,8532.00,121900,1706.40
2014-11-11,8335.00,8449.75,8291.00,8420.25,174300,1684.05
2014-11-10,8427.00,8427.00,8318.75,8335.00,137500,1667.00
2014-11-07,8375.00,8466.00,8310.25,8428.00,121600,1685.60
2014-11-06,8361.50,8361.50,8361.50,8361.50,000,1672.30
2014-11-05,8251.50,8398.50,8235.25,8361.50,177300,1672.30
2014-11-04,8210.25,8210.25,8210.25,8210.25,000,1642.05
2014-11-03,8140.00,8250.00,8061.00,8210.25,154000,1642.05
2014-10-31,8069.50,8160.00,8000.00,8127.25,342500,1625.45
2014-10-30,8013.50,8100.00,7923.50,8057.50,303900,1611.50
2014-10-29,8050.00,8055.00,7973.25,8019.50,120200,1603.90
2014-10-28,7882.75,8034.50,7882.75,8006.00,147000,1601.20
2014-10-27,7907.50,7938.00,7805.00,7862.00,139200,1572.40
2014-10-24,7854.25,7854.25,7854.25,7854.25,000,1570.85
2014-10-23,7854.25,7854.25,7854.25,7854.25,000,1570.85
2014-10-22,7950.00,7975.00,7814.00,7854.25,99000,1570.85
2014-10-21,7710.00,7909.75,7710.00,7888.00,175900,1577.60
2014-10-20,7705.50,7739.00,7631.25,7685.00,124900,1537.00
2014-10-17,7340.00,7550.00,7340.00,7528.00,174900,1505.60
2014-10-16,7350.00,7468.25,7265.00,7318.50,127700,1463.70
2014-10-15,7383.50,7383.50,7383.50,7383.50,000,1476.70
2014-10-14,7427.75,7440.00,7260.00,7383.50,177300,1476.70
2014-10-13,7250.00,7399.50,7186.50,7382.75,236300,1476.55
2014-10-10,7375.00,7408.25,7280.25,7300.00,101900,1460.00
2014-10-09,7280.00,7472.25,7280.00,7439.50,167300,1487.90
