Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,11.70,11.86,10.95,11.83,1533900,11.83
2015-01-20,11.20,11.30,10.70,11.30,2167700,11.30
2015-01-19,10.10,10.77,9.77,10.77,1432700,10.77
2015-01-16,10.26,10.26,10.26,10.26,64600,10.26
2015-01-15,11.91,11.91,10.79,10.79,1937200,10.79
2015-01-14,11.00,11.35,11.00,11.35,1023000,11.35
2015-01-13,10.00,10.83,9.97,10.81,3334500,10.81
2015-01-12,9.01,9.85,8.90,9.85,1251000,9.85
2015-01-09,9.69,10.24,8.70,8.96,2367300,8.96
2015-01-08,8.70,9.31,8.11,9.31,2431600,9.31
2015-01-07,7.37,8.47,7.10,8.47,2423100,8.47
2015-01-06,6.77,7.38,6.35,7.06,610200,7.06
2015-01-05,7.40,7.50,6.81,6.87,712900,6.87
2015-01-02,6.08,7.16,6.08,7.16,1080300,7.16
2015-01-01,5.95,6.05,5.80,5.97,65200,5.97
2014-12-31,5.75,6.45,5.57,6.05,156000,6.05
2014-12-30,5.68,5.95,5.60,5.65,21500,5.65
2014-12-29,5.78,5.87,5.68,5.75,28200,5.75
2014-12-26,5.66,5.85,5.64,5.74,37400,5.74
2014-12-25,5.74,5.74,5.74,5.74,000,5.74
2014-12-24,5.83,5.85,5.70,5.74,29700,5.74
2014-12-23,5.86,6.05,5.70,5.79,50700,5.79
2014-12-22,5.90,5.90,5.77,5.89,26800,5.89
2014-12-19,5.94,6.00,5.83,5.91,26500,5.91
2014-12-18,5.75,5.99,5.75,5.82,47300,5.82
2014-12-17,5.70,6.01,5.51,5.68,107200,5.68
2014-12-16,6.06,6.06,5.70,5.78,101400,5.78
2014-12-15,6.25,6.37,6.00,6.09,39100,6.09
2014-12-12,6.11,6.59,6.05,6.17,226200,6.17
2014-12-11,6.00,6.10,5.94,6.05,97800,6.05
2014-12-10,6.00,6.12,5.90,5.93,89200,5.93
2014-12-09,6.10,6.22,5.80,5.89,69400,5.89
2014-12-08,6.44,6.44,6.03,6.05,67100,6.05
2014-12-05,6.70,6.70,6.21,6.24,77800,6.24
2014-12-04,6.48,6.55,6.32,6.50,112100,6.50
2014-12-03,5.91,6.76,5.86,6.32,220000,6.32
2014-12-02,5.76,6.00,5.70,5.86,76300,5.86
2014-12-01,5.77,6.48,4.84,5.83,69700,5.83
2014-11-28,5.80,5.90,5.67,5.77,71800,5.77
2014-11-27,5.70,5.90,5.46,5.69,100200,5.69
2014-11-26,5.64,5.70,5.25,5.43,130300,5.43
2014-11-25,5.87,5.90,5.31,5.64,123000,5.64
2014-11-24,6.01,6.05,5.90,5.90,84100,5.90
2014-11-21,6.04,6.19,5.90,5.99,95800,5.99
2014-11-20,6.05,6.10,5.88,5.99,91300,5.99
2014-11-19,6.57,6.63,6.00,6.04,113400,6.04
2014-11-18,6.49,6.50,6.32,6.34,80200,6.34
2014-11-17,6.00,6.70,5.95,6.36,202300,6.36
2014-11-14,6.51,7.13,6.42,6.52,205700,6.52
2014-11-13,6.87,6.90,6.40,6.60,99200,6.60
2014-11-12,6.64,7.15,6.64,6.79,154700,6.79
2014-11-11,6.70,7.00,6.63,6.98,121000,6.98
2014-11-10,7.11,7.22,6.50,6.72,390800,6.72
2014-11-07,6.64,7.23,6.64,7.05,484300,7.05
2014-11-06,6.58,6.58,6.58,6.58,000,6.58
2014-11-05,6.39,6.70,6.23,6.58,285400,6.58
2014-11-04,6.12,6.12,6.12,6.12,000,6.12
2014-11-03,6.17,6.17,5.93,6.12,68700,6.12
2014-10-31,6.00,6.10,5.85,5.87,87800,5.87
2014-10-30,5.71,6.17,5.71,5.94,70100,5.94
2014-10-29,5.98,6.08,5.90,5.93,79300,5.93
2014-10-28,5.90,6.04,5.84,6.00,45200,6.00
2014-10-27,6.20,6.20,5.95,5.96,65100,5.96
2014-10-24,6.08,6.08,6.08,6.08,000,6.08
2014-10-23,6.08,6.08,6.08,6.08,000,6.08
2014-10-22,6.10,6.17,5.92,6.08,37200,6.08
2014-10-21,6.31,6.38,6.01,6.10,38300,6.10
2014-10-20,6.11,6.54,6.11,6.42,83100,6.42
2014-10-17,6.46,6.46,5.90,6.04,86800,6.04
2014-10-16,6.47,6.68,6.31,6.38,98700,6.38
2014-10-15,6.46,6.46,6.46,6.46,000,6.46
2014-10-14,6.05,6.67,6.03,6.46,306600,6.46
2014-10-13,5.88,6.30,5.65,6.07,145700,6.07
2014-10-10,6.19,6.40,5.80,5.84,172000,5.84
2014-10-09,5.55,6.01,5.51,6.01,274300,6.01
2014-10-08,5.80,5.80,5.40,5.47,100000,5.47
2014-10-07,5.89,6.00,5.58,5.78,157200,5.78
2014-10-06,5.89,5.89,5.89,5.89,000,5.89
2014-10-03,5.89,5.89,5.89,5.89,000,5.89
2014-10-02,5.89,5.89,5.89,5.89,000,5.89
2014-10-01,6.01,6.12,5.77,5.89,100600,5.89
2014-09-30,6.21,6.25,6.00,6.03,77600,6.03
2014-09-29,6.00,6.15,5.95,6.10,63500,6.10
2014-09-26,5.85,6.15,5.80,5.98,144600,5.98
2014-09-25,6.25,6.41,6.00,6.01,158100,6.01
2014-09-24,6.32,6.60,6.27,6.31,132300,6.31
2014-09-23,6.75,7.08,6.57,6.59,205200,6.59
2014-09-22,7.15,7.20,6.89,6.91,263700,6.91
2014-09-19,7.36,7.36,6.66,7.25,1030900,7.25
2014-09-18,7.00,7.01,7.00,7.01,280700,7.01
2014-09-17,6.62,6.68,6.12,6.68,281000,6.68
2014-09-16,6.95,6.95,6.31,6.37,201100,6.37
2014-09-15,6.50,6.63,6.30,6.63,100400,6.63
2014-09-12,6.69,6.69,6.31,6.32,427000,6.32
2014-09-11,6.85,6.90,6.61,6.64,342000,6.64
2014-09-10,7.00,7.15,6.88,6.95,191500,6.95
2014-09-09,6.91,7.10,6.86,6.97,153600,6.97
2014-09-08,7.10,7.40,6.77,6.91,115100,6.91
2014-09-05,7.00,7.20,6.73,7.07,129700,7.07
2014-09-04,7.10,7.10,6.81,6.96,192900,6.96
2014-09-03,7.59,7.60,7.10,7.16,194200,7.16
2014-09-02,7.30,7.35,7.30,7.33,156300,7.33
2014-09-01,6.50,7.00,6.50,7.00,134100,7.00
2014-08-29,6.67,6.67,6.67,6.67,000,6.67
2014-08-28,6.61,7.00,6.61,6.67,361000,6.67
2014-08-27,6.95,6.95,6.95,6.95,156600,6.95
2014-08-26,7.31,7.31,7.31,7.31,30100,7.31
