Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,372.70,373.60,349.20,352.60,1781700,352.60
2015-01-20,358.40,372.00,358.40,371.20,553500,371.20
2015-01-19,360.50,361.80,356.05,358.40,220100,358.40
2015-01-16,358.15,360.15,354.75,359.30,205000,359.30
2015-01-15,354.00,359.90,350.95,358.00,390800,358.00
2015-01-14,359.00,359.00,346.10,348.40,745800,348.40
2015-01-13,358.00,361.40,357.00,360.25,210400,360.25
2015-01-12,358.45,361.50,356.25,357.95,244100,357.95
2015-01-09,363.85,365.80,353.15,356.70,424700,356.70
2015-01-08,356.00,363.30,355.25,362.45,287700,362.45
2015-01-07,360.60,364.00,352.95,353.55,416500,353.55
2015-01-06,369.75,370.00,359.15,360.60,708000,360.60
2015-01-05,369.00,372.00,368.00,369.80,000,369.80
2015-01-02,368.00,370.20,367.50,368.25,000,368.25
2015-01-01,368.00,369.00,366.10,367.05,000,367.05
2014-12-31,369.00,370.40,367.75,368.40,000,368.40
2014-12-30,372.40,372.40,367.50,368.70,000,368.70
2014-12-29,367.80,371.40,367.50,369.90,000,369.90
2014-12-26,370.00,372.35,366.30,367.70,000,367.70
2014-12-25,371.95,371.95,371.95,371.95,000,371.95
2014-12-24,376.85,378.40,368.85,371.95,000,371.95
2014-12-23,375.00,377.30,372.90,374.85,000,374.85
2014-12-22,370.00,378.35,369.00,374.50,000,374.50
2014-12-19,375.90,375.90,367.60,369.50,000,369.50
2014-12-18,379.00,379.00,365.15,374.65,000,374.65
2014-12-17,380.50,384.45,366.50,371.65,000,371.65
2014-12-16,389.00,390.00,378.00,380.50,000,380.50
2014-12-15,393.00,399.50,391.25,392.85,000,392.85
2014-12-12,396.00,400.00,393.00,395.65,000,395.65
2014-12-11,394.90,399.00,390.60,396.70,000,396.70
2014-12-10,394.55,396.35,386.35,394.90,000,394.90
2014-12-09,398.00,399.85,392.00,394.25,000,394.25
2014-12-08,394.20,399.50,392.10,397.85,000,397.85
2014-12-05,383.95,392.10,382.40,391.45,000,391.45
2014-12-04,373.00,383.60,373.00,382.75,000,382.75
2014-12-03,364.95,365.00,357.30,363.00,000,363.00
2014-12-02,363.10,366.75,363.10,365.30,000,365.30
2014-12-01,363.00,366.75,362.65,364.00,000,364.00
2014-11-28,358.95,365.90,358.95,363.00,000,363.00
2014-11-27,363.30,364.00,355.00,360.75,000,360.75
2014-11-26,357.60,366.00,357.60,363.30,000,363.30
2014-11-25,374.40,378.80,348.60,355.70,000,355.70
2014-11-24,376.00,376.15,372.70,374.40,000,374.40
2014-11-21,368.25,376.90,368.25,376.25,000,376.25
2014-11-20,367.55,371.15,367.55,369.15,000,369.15
2014-11-19,369.20,377.10,366.60,367.75,000,367.75
2014-11-18,369.85,371.70,366.90,369.20,000,369.20
2014-11-17,369.00,371.00,364.20,369.55,000,369.55
2014-11-14,368.00,370.70,366.45,368.20,000,368.20
2014-11-13,368.15,370.00,366.55,368.25,000,368.25
2014-11-12,363.10,369.95,363.10,369.40,000,369.40
2014-11-11,370.00,372.15,362.60,363.75,000,363.75
2014-11-10,358.40,372.00,356.00,370.85,000,370.85
2014-11-07,360.00,360.60,352.95,355.65,000,355.65
2014-11-06,358.35,358.35,358.35,358.35,000,358.35
2014-11-05,355.00,359.45,355.00,358.35,000,358.35
2014-11-04,354.95,354.95,354.95,354.95,000,354.95
2014-11-03,357.95,357.95,353.15,354.95,000,354.95
2014-10-31,357.00,359.95,352.25,355.25,000,355.25
2014-10-30,354.00,357.70,351.45,354.85,000,354.85
2014-10-29,353.00,354.95,350.15,354.40,000,354.40
2014-10-28,350.00,351.70,348.80,350.35,000,350.35
2014-10-27,350.55,352.00,348.10,349.20,000,349.20
2014-10-24,349.15,349.15,349.15,349.15,000,349.15
2014-10-23,349.15,349.15,349.15,349.15,000,349.15
2014-10-22,352.00,352.70,348.60,349.15,000,349.15
2014-10-21,354.90,354.90,348.10,351.45,000,351.45
2014-10-20,355.00,358.00,351.30,352.10,000,352.10
2014-10-17,352.90,359.70,351.55,353.90,000,353.90
2014-10-16,344.35,353.50,343.65,352.70,000,352.70
2014-10-15,347.55,347.55,347.55,347.55,000,347.55
2014-10-14,351.00,351.20,343.55,347.55,000,347.55
2014-10-13,353.20,354.00,347.25,350.60,000,350.60
2014-10-10,364.00,365.00,352.25,353.15,000,353.15
2014-10-09,366.55,368.45,363.05,365.25,000,365.25
2014-10-08,361.00,367.70,361.00,365.95,000,365.95
2014-10-07,364.30,366.20,358.00,362.80,000,362.80
2014-10-06,364.05,364.05,364.05,364.05,000,364.05
2014-10-03,364.05,364.05,364.05,364.05,000,364.05
2014-10-02,364.05,364.05,364.05,364.05,000,364.05
2014-10-01,370.00,370.00,363.45,364.05,000,364.05
2014-09-30,365.95,372.40,363.00,370.75,000,370.75
2014-09-29,371.55,371.80,364.85,366.40,000,366.40
2014-09-26,376.00,376.00,368.80,371.75,000,371.75
2014-09-25,378.00,379.75,372.40,376.35,000,376.35
2014-09-24,370.00,378.90,370.00,376.75,000,376.75
2014-09-23,370.00,374.30,367.85,370.90,000,370.90
2014-09-22,357.45,371.70,357.45,370.65,000,370.65
2014-09-19,358.10,360.90,355.25,359.45,000,359.45
2014-09-18,353.10,359.00,353.10,358.60,000,358.60
2014-09-17,354.00,358.50,351.90,354.75,000,354.75
2014-09-16,352.00,354.50,350.10,353.15,000,353.15
2014-09-15,355.00,355.00,350.75,351.65,000,351.65
2014-09-12,351.70,358.05,350.25,355.85,000,355.85
2014-09-11,351.90,352.70,349.40,350.95,000,350.95
2014-09-10,357.85,357.85,350.50,351.05,000,351.05
2014-09-09,352.00,358.50,352.00,357.65,000,357.65
2014-09-08,352.00,355.00,351.00,353.55,000,353.55
2014-09-05,350.95,351.90,348.65,350.30,000,350.30
2014-09-04,349.95,352.80,349.50,350.55,000,350.55
2014-09-03,356.00,356.00,348.25,348.95,000,348.95
2014-09-02,351.90,356.00,349.00,354.80,000,354.80
2014-09-01,356.60,358.00,349.95,350.30,000,350.30
2014-08-29,355.15,355.15,355.15,355.15,000,355.15
2014-08-28,352.40,356.00,351.90,355.15,000,355.15
2014-08-27,352.50,354.90,351.35,352.35,000,352.35
2014-08-26,349.30,353.55,349.30,351.90,000,351.90
2014-08-25,346.30,350.00,343.60,349.35,000,349.35
2014-08-22,347.90,347.90,341.85,343.70,000,343.70
2014-08-21,344.95,349.15,344.40,345.75,000,345.75
