Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,141.00,142.55,130.00,131.75,639800,131.75
2015-01-20,134.75,137.30,130.00,137.10,1888000,137.10
2015-01-19,118.45,118.50,114.00,114.45,76400,114.45
2015-01-16,116.95,118.80,114.35,117.20,225000,117.20
2015-01-15,122.20,122.25,115.65,116.60,101000,116.60
2015-01-14,117.80,122.50,117.50,119.20,175700,119.20
2015-01-13,117.00,121.90,115.90,116.95,287800,116.95
2015-01-12,116.00,117.50,113.10,116.00,64700,116.00
2015-01-09,116.60,118.00,113.50,115.55,189000,115.55
2015-01-08,110.80,117.90,110.70,114.75,358600,114.75
2015-01-07,110.00,113.65,107.60,109.35,110300,109.35
2015-01-06,114.80,115.30,108.50,109.60,237800,109.60
2015-01-05,106.00,113.95,106.00,112.80,245800,112.80
2015-01-02,104.00,108.50,103.60,105.75,144500,105.75
2015-01-01,98.95,105.30,98.00,103.65,180700,103.65
2014-12-31,96.80,100.40,96.80,98.45,50000,98.45
2014-12-30,97.60,100.40,97.00,97.75,67900,97.75
2014-12-29,97.20,99.80,96.80,97.10,60800,97.10
2014-12-26,97.10,97.85,96.10,96.70,38000,96.70
2014-12-25,96.75,96.75,96.75,96.75,000,96.75
2014-12-24,99.70,99.70,96.00,96.75,73800,96.75
2014-12-23,101.90,102.90,98.50,99.25,60200,99.25
2014-12-22,101.60,106.60,101.20,101.60,82800,101.60
2014-12-19,98.90,102.65,98.60,99.55,100600,99.55
2014-12-18,98.00,100.70,97.00,97.90,67900,97.90
2014-12-17,98.00,100.50,91.05,95.40,96300,95.40
2014-12-16,102.60,103.35,97.00,97.95,90700,97.95
2014-12-15,103.60,105.25,99.90,102.95,64200,102.95
2014-12-12,110.00,110.10,104.20,104.80,64900,104.80
2014-12-11,111.00,111.55,107.70,109.05,39300,109.05
2014-12-10,110.00,112.75,108.05,110.60,90800,110.60
2014-12-09,107.10,110.90,106.65,108.90,93600,108.90
2014-12-08,108.05,111.90,107.50,108.90,110900,108.90
2014-12-05,114.45,114.65,106.75,107.55,151500,107.55
2014-12-04,112.10,116.00,112.10,113.65,348100,113.65
2014-12-03,104.00,109.85,104.00,108.60,137900,108.60
2014-12-02,104.00,106.35,102.00,104.00,75600,104.00
2014-12-01,106.00,111.70,103.05,103.75,158200,103.75
2014-11-28,100.30,110.40,100.30,107.05,375300,107.05
2014-11-27,101.75,103.05,98.50,99.10,81800,99.10
2014-11-26,101.50,104.85,100.45,101.40,82800,101.40
2014-11-25,110.80,111.80,98.65,102.55,159200,102.55
2014-11-24,113.45,114.05,108.65,109.90,59600,109.90
2014-11-21,112.90,115.50,111.75,112.35,59800,112.35
2014-11-20,116.00,116.80,111.50,114.05,78500,114.05
2014-11-19,119.00,120.70,115.30,115.70,124500,115.70
2014-11-18,112.65,121.25,112.65,118.95,190800,118.95
2014-11-17,111.95,112.80,106.10,111.55,155800,111.55
2014-11-14,113.55,117.00,113.50,115.95,69700,115.95
2014-11-13,121.40,121.75,112.25,113.30,245500,113.30
2014-11-12,123.45,126.70,120.00,120.65,83700,120.65
2014-11-11,125.40,128.00,122.15,122.60,120800,122.60
2014-11-10,126.00,126.70,123.70,124.45,54200,124.45
2014-11-07,127.95,128.30,124.55,125.55,59500,125.55
2014-11-06,126.80,126.80,126.80,126.80,000,126.80
2014-11-05,131.00,133.20,126.00,126.80,103400,126.80
2014-11-04,130.10,130.10,130.10,130.10,000,130.10
2014-11-03,125.10,132.00,124.00,130.10,172500,130.10
2014-10-31,124.80,127.30,123.75,124.05,281000,124.05
2014-10-30,124.00,125.40,123.05,123.65,70100,123.65
2014-10-29,126.30,126.45,124.00,124.50,63400,124.50
2014-10-28,124.35,125.90,122.45,125.10,52500,125.10
2014-10-27,128.30,128.30,122.60,123.25,87900,123.25
2014-10-24,127.15,127.15,127.15,127.15,000,127.15
2014-10-23,127.15,127.15,127.15,127.15,000,127.15
2014-10-22,124.40,128.00,124.40,127.15,156500,127.15
2014-10-21,122.45,125.60,121.25,122.95,100700,122.95
2014-10-20,125.00,127.35,120.60,122.00,98900,122.00
2014-10-17,123.05,126.70,120.30,122.75,137700,122.75
2014-10-16,128.95,132.60,122.25,123.05,168800,123.05
2014-10-15,130.40,130.40,130.40,130.40,000,130.40
2014-10-14,130.45,137.50,129.90,130.40,333100,130.40
2014-10-13,125.00,132.90,125.00,129.45,168000,129.45
2014-10-10,129.20,133.50,124.50,126.95,273500,126.95
2014-10-09,124.40,133.50,124.40,130.85,342300,130.85
2014-10-08,123.25,128.40,121.20,123.30,258800,123.30
2014-10-07,120.00,127.00,120.00,122.55,163700,122.55
2014-10-06,119.15,119.15,119.15,119.15,000,119.15
2014-10-03,119.15,119.15,119.15,119.15,000,119.15
2014-10-02,119.15,119.15,119.15,119.15,000,119.15
