Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,43.50,50.50,43.00,49.30,237700,49.30
2015-01-20,44.45,45.50,43.05,43.45,12900,43.45
2015-01-19,41.60,45.15,41.55,44.25,51400,44.25
2015-01-16,41.75,41.75,40.20,40.80,12600,40.80
2015-01-15,42.15,42.30,41.45,41.55,26900,41.55
2015-01-14,41.30,42.15,41.30,41.70,3500,41.70
2015-01-13,42.05,42.45,41.90,41.90,1900,41.90
2015-01-12,42.45,42.45,42.00,42.00,3100,42.00
2015-01-09,42.80,43.50,42.00,42.00,2800,42.00
2015-01-08,42.85,43.40,42.10,42.30,6300,42.30
2015-01-07,42.55,43.00,41.65,41.65,700,41.65
2015-01-06,43.25,43.25,41.85,41.85,14700,41.85
2015-01-05,44.50,44.75,43.95,44.20,4000,44.20
2015-01-02,44.00,45.10,42.95,43.95,43700,43.95
2015-01-01,42.00,44.05,42.00,43.25,12400,43.25
2014-12-31,41.30,42.80,41.30,41.75,4000,41.75
2014-12-30,41.40,42.50,41.25,41.85,500,41.85
2014-12-29,41.40,42.65,40.80,41.50,4900,41.50
2014-12-26,41.95,42.65,41.10,41.55,2600,41.55
2014-12-25,41.90,41.90,41.90,41.90,000,41.90
2014-12-24,41.50,42.85,41.45,41.90,4100,41.90
2014-12-23,43.00,43.00,41.05,41.50,1800,41.50
2014-12-22,41.50,43.80,41.50,42.55,16300,42.55
2014-12-19,46.20,46.20,40.45,41.05,3300,41.05
2014-12-18,39.40,40.60,39.05,40.45,4400,40.45
2014-12-17,40.00,40.10,38.80,39.05,5000,39.05
2014-12-16,41.55,41.85,40.05,40.20,5100,40.20
2014-12-15,41.55,42.70,41.25,42.00,1000,42.00
2014-12-12,44.00,44.15,42.00,42.25,3100,42.25
2014-12-11,44.10,44.20,43.00,43.15,5200,43.15
2014-12-10,43.35,44.15,43.00,43.55,3600,43.55
2014-12-09,43.60,44.40,43.50,43.50,2400,43.50
2014-12-08,44.00,45.90,44.00,44.10,3700,44.10
2014-12-05,45.45,45.70,44.00,44.45,13400,44.45
2014-12-04,46.65,47.00,45.35,45.50,8000,45.50
2014-12-03,45.15,46.80,44.80,46.00,13700,46.00
2014-12-02,42.55,46.60,42.25,46.20,90200,46.20
2014-12-01,41.25,43.80,41.25,42.65,2700,42.65
2014-11-28,43.40,44.40,43.20,43.30,4300,43.30
2014-11-27,44.10,44.60,42.75,43.75,5300,43.75
2014-11-26,42.90,44.00,42.35,43.55,5300,43.55
2014-11-25,44.20,45.65,42.80,43.05,10200,43.05
2014-11-24,45.50,45.50,44.60,44.75,17400,44.75
2014-11-21,49.00,49.00,45.15,45.35,18300,45.35
2014-11-20,47.00,47.40,46.35,46.55,9100,46.55
2014-11-19,48.80,48.80,46.25,46.35,10000,46.35
2014-11-18,47.10,48.85,46.80,46.80,12700,46.80
