Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,211.10,214.35,206.55,208.30,206200,208.30
2015-01-20,216.00,220.00,209.55,210.30,227600,210.30
2015-01-19,211.15,216.90,209.50,215.15,226800,215.15
2015-01-16,210.80,215.90,209.00,210.95,185100,210.95
2015-01-15,210.10,217.80,205.20,214.50,320000,214.50
2015-01-14,213.00,214.25,206.80,208.30,205800,208.30
2015-01-13,214.95,219.45,210.65,212.90,424300,212.90
2015-01-12,201.90,219.45,200.15,213.55,814800,213.55
2015-01-09,205.50,209.65,199.45,201.85,320300,201.85
2015-01-08,208.80,209.65,202.10,204.50,201700,204.50
2015-01-07,206.85,211.90,204.50,205.75,413000,205.75
2015-01-06,208.80,217.00,203.10,206.05,433800,206.05
2015-01-05,215.30,217.20,208.60,210.70,267100,210.70
2015-01-02,209.65,219.05,208.80,214.85,559600,214.85
2015-01-01,203.50,209.80,201.10,207.65,159300,207.65
2014-12-31,200.35,207.00,198.55,203.35,190000,203.35
2014-12-30,200.65,203.90,197.50,199.30,141000,199.30
2014-12-29,197.95,203.80,197.30,199.85,129400,199.85
2014-12-26,199.15,203.00,195.25,197.10,134600,197.10
2014-12-25,199.40,199.40,199.40,199.40,000,199.40
2014-12-24,201.15,204.80,197.20,199.40,171900,199.40
2014-12-23,207.00,208.95,199.90,201.10,206300,201.10
2014-12-22,207.00,211.45,205.10,206.60,489900,206.60
2014-12-19,194.50,209.00,192.50,204.35,832300,204.35
2014-12-18,194.00,198.70,189.30,192.85,316600,192.85
2014-12-17,184.60,193.70,176.20,190.70,528400,190.70
2014-12-16,197.80,199.60,181.15,184.05,462100,184.05
2014-12-15,191.70,201.60,190.00,200.00,765900,200.00
2014-12-12,183.00,198.00,181.70,191.85,1193700,191.85
2014-12-11,182.30,183.40,178.35,182.20,96700,182.20
2014-12-10,178.00,183.60,178.00,182.25,147500,182.25
2014-12-09,182.00,184.75,177.25,177.90,173800,177.90
2014-12-08,187.05,188.90,176.45,182.35,321700,182.35
2014-12-05,184.85,189.00,182.70,186.75,632800,186.75
2014-12-04,173.35,190.15,171.20,182.90,3678700,182.90
2014-12-03,168.65,174.50,168.20,172.10,262400,172.10
2014-12-02,167.70,170.00,166.85,167.80,79300,167.80
2014-12-01,169.00,170.75,165.20,166.00,453300,166.00
2014-11-28,172.00,172.00,167.75,168.65,173100,168.65
2014-11-27,169.00,173.60,166.00,171.80,713200,171.80
2014-11-26,164.90,170.00,163.80,168.60,78500,168.60
2014-11-25,168.85,169.00,162.55,164.00,84900,164.00
2014-11-24,172.80,174.65,167.45,168.85,97100,168.85
2014-11-21,173.00,175.10,170.55,171.35,540000,171.35
2014-11-20,170.10,173.40,168.80,172.20,131600,172.20
2014-11-19,170.85,173.15,168.00,169.55,144700,169.55
2014-11-18,168.10,170.90,167.90,169.10,252600,169.10
2014-11-17,162.00,164.75,161.00,163.60,703900,163.60
2014-11-14,161.10,164.30,161.10,162.55,39400,162.55
2014-11-13,164.30,165.75,161.00,161.75,571300,161.75
2014-11-12,164.70,166.30,164.00,164.30,27800,164.30
2014-11-11,164.20,165.00,162.65,164.70,34500,164.70
2014-11-10,166.55,166.85,164.00,164.60,73600,164.60
2014-11-07,164.00,166.00,163.25,164.75,30200,164.75
2014-11-06,163.80,163.80,163.80,163.80,000,163.80
2014-11-05,168.00,168.00,162.80,163.80,40400,163.80
2014-11-04,165.65,165.65,165.65,165.65,000,165.65
2014-11-03,168.00,168.00,164.30,165.65,47500,165.65
2014-10-31,164.90,169.35,164.25,166.25,128200,166.25
2014-10-30,166.10,166.50,160.10,164.85,71400,164.85
2014-10-29,165.00,165.05,163.75,164.85,44600,164.85
2014-10-28,166.00,167.05,164.10,164.55,42700,164.55
2014-10-27,168.15,169.50,165.10,165.60,76200,165.60
2014-10-24,166.70,166.70,166.70,166.70,000,166.70
2014-10-23,166.70,166.70,166.70,166.70,000,166.70
2014-10-22,167.25,170.00,163.40,166.70,399000,166.70
2014-10-21,154.00,156.50,153.05,153.90,62700,153.90
2014-10-20,160.00,160.55,152.00,153.45,103600,153.45
2014-10-17,161.95,162.00,156.35,157.25,31100,157.25
2014-10-16,160.35,165.50,159.50,160.90,213500,160.90
2014-10-15,160.20,160.20,160.20,160.20,000,160.20
2014-10-14,160.00,162.90,158.60,160.20,34200,160.20
2014-10-13,158.00,160.35,156.80,159.85,55700,159.85
2014-10-10,158.50,163.10,157.60,158.20,83300,158.20
2014-10-09,161.00,162.75,159.75,161.45,50100,161.45
2014-10-08,164.45,164.45,157.85,159.95,58400,159.95
2014-10-07,166.25,169.80,161.75,163.20,233200,163.20
2014-10-06,161.60,161.60,161.60,161.60,000,161.60
2014-10-03,161.60,161.60,161.60,161.60,000,161.60
2014-10-02,161.60,161.60,161.60,161.60,000,161.60
2014-10-01,160.45,163.75,160.25,161.60,262700,161.60
2014-09-30,162.90,162.90,158.50,159.35,55000,159.35
2014-09-29,158.90,162.85,158.90,160.45,62100,160.45
2014-09-26,160.00,161.40,154.05,158.10,98400,158.10
2014-09-25,166.30,167.35,161.00,161.60,97400,161.60
2014-09-24,171.60,173.70,164.25,166.60,130900,166.60
2014-09-23,171.00,179.30,168.15,169.45,360200,169.45
2014-09-22,167.60,173.90,167.40,172.10,226400,172.10
2014-09-19,164.55,170.65,164.55,169.40,295000,169.40
2014-09-18,158.50,168.00,157.50,164.55,474100,164.55
2014-09-17,161.00,164.45,154.05,158.20,96000,158.20
2014-09-16,167.70,169.90,159.05,160.35,158600,160.35
2014-09-15,165.00,167.90,163.00,166.35,83800,166.35
2014-09-12,168.00,169.10,164.65,165.30,101300,165.30
2014-09-11,163.95,167.85,163.50,166.75,162200,166.75
2014-09-10,161.05,165.90,161.00,163.45,252800,163.45
2014-09-09,158.65,163.90,157.40,161.05,232600,161.05
2014-09-08,158.65,161.75,155.10,159.30,214400,159.30
2014-09-05,152.90,161.10,149.50,157.65,2375400,157.65
2014-09-04,153.20,154.10,149.65,152.25,55700,152.25
2014-09-03,153.90,155.55,151.90,152.25,71000,152.25
2014-09-02,151.95,154.00,151.40,152.55,73500,152.55
2014-09-01,148.80,154.60,148.20,152.30,126900,152.30
2014-08-29,147.95,147.95,147.95,147.95,000,147.95
2014-08-28,149.20,149.50,147.10,147.95,46600,147.95
2014-08-27,148.85,150.00,147.30,148.95,47900,148.95
