Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,765.00,780.50,765.00,771.20,234900,771.20
2015-01-20,779.85,781.85,769.00,772.50,6200,772.50
2015-01-19,781.00,784.05,764.50,770.20,8500,770.20
2015-01-16,760.15,784.00,760.15,778.10,4100,778.10
2015-01-15,781.55,781.55,767.00,773.60,8700,773.60
2015-01-14,780.55,783.25,768.00,771.90,7600,771.90
2015-01-13,795.20,795.20,780.00,783.35,5100,783.35
2015-01-12,810.00,815.00,793.10,798.35,6900,798.35
2015-01-09,789.20,810.00,776.50,804.00,19800,804.00
2015-01-08,816.35,816.35,781.00,786.85,27300,786.85
2015-01-07,748.00,789.10,710.25,777.90,31900,777.90
2015-01-06,760.05,762.00,738.80,741.00,9300,741.00
2015-01-05,798.80,798.80,758.10,763.95,9800,763.95
2015-01-02,783.10,785.90,775.00,777.20,5300,777.20
2015-01-01,773.85,786.35,770.00,782.05,3600,782.05
2014-12-31,784.25,784.95,770.00,772.80,8200,772.80
2014-12-30,791.85,792.00,766.10,781.15,10200,781.15
2014-12-29,790.00,799.30,785.20,794.65,3500,794.65
2014-12-26,790.00,798.00,780.00,784.15,3200,784.15
2014-12-25,788.30,788.30,788.30,788.30,000,788.30
2014-12-24,790.00,797.80,781.05,788.30,5900,788.30
2014-12-23,796.60,812.05,795.10,798.05,5100,798.05
2014-12-22,800.00,818.10,795.50,804.65,4100,804.65
2014-12-19,817.50,817.50,801.00,804.15,4400,804.15
2014-12-18,827.85,838.80,804.00,810.80,6400,810.80
2014-12-17,819.00,827.00,810.05,819.50,13200,819.50
2014-12-16,823.70,848.50,806.55,812.55,20600,812.55
2014-12-15,810.00,839.00,800.55,832.55,53200,832.55
2014-12-12,829.00,829.00,810.00,815.80,4000,815.80
2014-12-11,816.00,835.80,807.15,824.05,15400,824.05
2014-12-10,784.05,819.00,782.65,813.15,11900,813.15
2014-12-09,792.00,814.90,778.05,782.75,13800,782.75
2014-12-08,801.00,814.00,771.50,779.05,14800,779.05
2014-12-05,822.15,831.90,790.00,800.95,22900,800.95
2014-12-04,851.00,855.05,822.05,823.65,11600,823.65
2014-12-03,850.00,862.10,837.60,842.60,9500,842.60
2014-12-02,855.95,855.95,839.00,845.50,15000,845.50
2014-12-01,865.20,866.50,838.00,849.85,10700,849.85
2014-11-28,875.00,878.65,845.00,860.35,9300,860.35
2014-11-27,916.95,916.95,867.00,871.85,16900,871.85
2014-11-26,914.00,914.00,884.70,886.60,4300,886.60
2014-11-25,897.00,929.15,890.85,912.10,12800,912.10
2014-11-24,922.00,922.00,880.90,888.25,42300,888.25
2014-11-21,953.25,953.25,920.00,921.60,5600,921.60
2014-11-20,945.00,958.00,938.15,950.00,4100,950.00
2014-11-19,930.50,960.00,930.50,953.05,9300,953.05
2014-11-18,935.00,944.05,902.00,929.00,6000,929.00
2014-11-17,908.10,933.00,904.00,927.15,2500,927.15
2014-11-14,914.80,926.60,903.00,908.95,5600,908.95
2014-11-13,904.45,925.00,900.00,909.05,6100,909.05
2014-11-12,925.00,925.00,895.00,903.45,16500,903.45
2014-11-11,962.00,968.95,917.40,925.40,7600,925.40
2014-11-10,957.45,964.40,949.25,955.45,12100,955.45
2014-11-07,940.00,960.00,940.00,948.25,7700,948.25
2014-11-06,940.25,940.25,940.25,940.25,000,937.75
2014-11-05,932.50,948.00,930.55,940.25,8100,937.75
2014-11-04,931.05,931.05,931.05,931.05,000,928.57
2014-11-03,930.00,934.00,918.05,931.05,9600,928.57
2014-10-31,919.15,931.65,917.15,919.90,11800,917.45
2014-10-30,923.00,923.00,908.40,912.15,7200,909.72
2014-10-29,919.55,923.00,897.80,917.35,13800,914.91
2014-10-28,909.55,919.80,902.00,915.65,13600,913.22
2014-10-27,924.05,926.40,905.80,914.15,12000,911.72
2014-10-24,919.35,919.35,919.35,919.35,000,916.91
2014-10-23,919.35,919.35,919.35,919.35,000,916.91
2014-10-22,889.00,924.90,880.35,919.35,77600,916.91
2014-10-21,850.45,880.95,844.05,870.80,44000,868.48
2014-10-20,835.00,861.00,835.00,844.70,18900,842.45
2014-10-17,836.15,842.80,815.10,821.60,10200,819.42
2014-10-16,841.55,846.20,825.00,830.05,7100,827.84
2014-10-15,844.20,844.20,844.20,844.20,000,841.96
2014-10-14,825.00,853.40,825.00,844.20,9300,841.96
2014-10-13,851.00,851.00,800.80,825.15,39200,822.96
2014-10-10,874.00,882.00,849.95,850.65,9200,848.39
2014-10-09,882.00,894.90,873.00,879.05,13500,876.71
2014-10-08,864.35,879.00,862.40,870.05,23600,867.74
2014-10-07,838.40,863.00,838.40,858.10,34400,855.82
2014-10-06,836.30,836.30,836.30,836.30,000,834.08
2014-10-03,836.30,836.30,836.30,836.30,000,834.08
2014-10-02,836.30,836.30,836.30,836.30,000,834.08
2014-10-01,822.00,888.80,821.40,836.30,310400,834.08
2014-09-30,846.50,848.00,805.00,812.95,17600,810.79
2014-09-29,842.00,876.80,803.30,841.80,11400,839.56
2014-09-26,797.00,855.00,796.00,841.05,33900,838.81
2014-09-25,835.00,837.30,778.90,796.90,47300,794.78
2014-09-24,852.90,854.50,828.10,833.20,38000,830.98
2014-09-23,877.00,883.00,838.65,849.75,41500,847.49
2014-09-22,899.50,910.00,863.95,870.65,57000,868.34
2014-09-19,917.75,918.50,880.80,889.10,64900,886.74
2014-09-18,918.50,926.10,897.40,900.30,13200,897.91
2014-09-17,910.00,915.00,870.00,906.90,21000,904.49
2014-09-16,955.00,960.00,888.00,898.05,22500,895.66
2014-09-15,1019.70,1020.90,907.00,948.85,29800,946.33
2014-09-12,998.00,1022.70,990.00,1019.30,15500,1014.20
2014-09-11,964.80,995.00,964.80,982.90,15400,977.98
2014-09-10,956.75,967.00,945.00,955.90,4600,951.11
2014-09-09,972.00,973.60,949.10,952.90,8000,948.13
2014-09-08,958.00,983.95,956.20,970.90,11600,966.04
2014-09-05,930.85,957.50,930.85,945.30,17100,940.57
2014-09-04,935.30,950.00,914.00,938.85,20000,934.15
2014-09-03,903.50,935.00,901.00,924.60,39300,919.97
2014-09-02,890.45,909.00,882.05,890.05,58000,885.59
2014-09-01,905.25,910.00,880.10,887.80,6600,883.35
2014-08-29,904.05,904.05,904.05,904.05,000,899.52
2014-08-28,890.00,913.20,889.95,904.05,30300,899.52
2014-08-27,872.00,890.00,872.00,883.65,32700,879.23
2014-08-26,829.15,878.40,823.70,856.15,49800,851.86
