Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,30.50,33.00,29.00,29.90,1205800,29.90
2015-01-20,29.00,30.50,26.50,30.35,182300,30.35
2015-01-19,28.05,29.80,27.05,28.10,18100,28.10
2015-01-16,36.95,36.95,27.25,28.65,28400,28.65
2015-01-15,31.35,33.85,26.20,31.75,18900,31.75
2015-01-14,35.35,35.60,28.10,28.65,17000,28.65
2015-01-13,32.00,33.50,26.50,32.20,20900,32.20
2015-01-12,30.00,30.00,29.15,29.15,200,29.15
2015-01-09,32.40,32.40,29.10,30.80,47700,30.80
2015-01-08,32.00,35.80,29.10,29.85,59000,29.85
2015-01-07,30.00,33.25,30.00,31.75,000,31.75
2015-01-06,28.90,33.65,27.10,31.25,15700,31.25
2015-01-05,26.55,33.45,26.55,32.05,20700,32.05
2015-01-02,31.10,33.90,30.00,30.10,700,30.10
2015-01-01,39.80,39.90,31.45,32.45,37700,32.45
2014-12-31,37.85,37.85,28.25,34.40,51700,34.40
2014-12-30,33.80,33.80,32.70,32.70,51000,32.70
2014-12-29,28.25,30.10,28.25,30.05,100,30.05
2014-12-26,30.60,32.95,30.60,32.80,5000,32.80
2014-12-25,33.95,33.95,33.95,33.95,000,33.95
2014-12-24,32.50,35.40,32.00,33.95,235900,33.95
2014-12-23,29.05,32.90,28.85,30.90,12100,30.90
2014-12-22,32.70,32.70,29.00,31.35,200,31.35
2014-12-19,33.35,33.35,28.60,30.40,76300,30.40
2014-12-18,33.50,33.70,29.15,33.10,500,33.10
2014-12-17,31.95,31.95,31.95,31.95,000,31.95
2014-12-16,32.00,32.00,31.95,31.95,18500,31.95
2014-12-15,32.00,37.50,30.35,33.25,67000,33.25
2014-12-12,36.00,38.00,36.00,37.90,35400,37.90
2014-12-11,42.40,42.40,36.20,36.80,126300,36.80
2014-12-10,40.00,41.00,34.05,39.70,89200,39.70
2014-12-09,41.50,43.90,32.00,37.65,106300,37.65
2014-12-08,41.40,42.10,31.25,39.15,91900,39.15
2014-12-05,29.00,36.65,29.00,36.65,34100,36.65
2014-12-04,29.80,31.75,27.15,31.75,56200,31.75
2014-12-03,24.35,28.90,24.35,28.90,94500,28.90
2014-12-02,26.35,26.35,26.35,26.35,600,26.35
2014-12-01,29.80,29.80,27.00,27.80,39700,27.80
2014-11-28,30.50,30.75,28.10,29.50,88700,29.50
2014-11-27,32.70,32.70,28.20,29.90,87200,29.90
2014-11-26,28.50,31.45,26.10,29.75,3300,29.75
2014-11-25,29.85,29.85,24.75,28.60,112700,28.60
2014-11-24,29.00,29.00,27.50,27.50,29000,27.50
2014-11-21,31.00,31.00,28.00,28.00,800,28.00
2014-11-20,29.50,29.50,28.80,28.80,49500,28.80
2014-11-19,28.05,32.40,28.05,30.75,39500,30.75
2014-11-18,36.35,36.35,28.50,31.20,90100,31.20
2014-11-17,34.00,35.75,31.10,31.90,23700,31.90
2014-11-14,47.90,47.90,36.00,37.55,78400,37.55
2014-11-13,49.00,49.00,38.00,41.50,24900,41.50
2014-11-12,47.00,47.00,38.50,40.90,80000,40.90
2014-11-11,42.00,45.20,37.55,39.40,1700,39.40
2014-11-10,44.30,44.30,44.10,44.25,8000,44.25
2014-11-07,43.15,44.90,43.15,44.85,40200,44.85
2014-11-06,46.95,46.95,46.95,46.95,000,46.95
2014-11-05,44.05,47.80,44.05,46.95,20300,46.95
2014-11-04,48.00,48.00,48.00,48.00,000,48.00
2014-11-03,49.00,49.90,48.00,48.00,20000,48.00
2014-10-31,44.15,48.95,44.00,47.80,21700,47.80
2014-10-30,48.00,51.40,47.70,47.80,51700,47.80
2014-10-29,50.00,50.00,42.25,46.95,700,46.95
2014-10-28,45.00,47.10,45.00,46.00,300,46.00
2014-10-27,45.20,45.20,45.05,45.10,100,45.10
2014-10-24,47.00,47.00,47.00,47.00,000,47.00
2014-10-23,47.00,47.00,47.00,47.00,000,47.00
2014-10-22,50.00,50.10,47.00,47.00,9400,47.00
2014-10-21,49.25,49.25,49.25,49.25,15000,49.25
2014-10-20,49.00,50.85,45.00,49.35,54700,49.35
2014-10-17,48.00,51.50,48.00,49.95,34000,49.95
2014-10-16,44.35,52.70,44.35,51.70,6700,51.70
2014-10-15,47.95,47.95,47.95,47.95,000,47.95
2014-10-14,45.50,47.95,44.50,47.95,1400,47.95
2014-10-13,44.05,48.30,42.55,47.90,32200,47.90
2014-10-10,45.00,51.60,45.00,47.00,7900,47.00
2014-10-09,48.65,48.75,46.00,48.00,9300,48.00
2014-10-08,38.05,44.90,38.05,44.60,4800,44.60
2014-10-07,40.10,41.70,39.15,40.85,52200,40.85
2014-10-06,39.80,39.80,39.80,39.80,000,39.80
2014-10-03,39.80,39.80,39.80,39.80,000,39.80
2014-10-02,39.80,39.80,39.80,39.80,000,39.80
2014-10-01,36.50,39.80,36.50,39.80,38300,39.80
2014-09-30,35.50,38.55,35.50,37.95,2300,37.95
2014-09-29,34.10,37.45,33.95,36.75,52100,36.75
2014-09-26,35.50,35.70,35.00,35.70,26200,35.70
2014-09-25,32.05,35.25,32.05,34.00,21300,34.00
2014-09-24,34.65,34.65,33.00,33.70,200,33.70
2014-09-23,33.00,33.00,33.00,33.00,500,33.00
2014-09-22,34.65,34.65,34.65,34.65,000,34.65
2014-09-19,31.35,33.00,31.35,33.00,100,33.00
2014-09-18,33.00,33.00,33.00,33.00,1400,33.00
2014-09-17,34.30,34.30,34.30,34.30,000,34.30
2014-09-16,36.10,36.10,36.10,36.10,000,36.10
2014-09-15,36.10,36.10,36.10,36.10,1000,36.10
2014-09-12,37.95,37.95,37.95,37.95,000,37.95
2014-09-11,37.95,37.95,37.95,37.95,000,37.95
2014-09-10,37.95,37.95,37.95,37.95,300,37.95
2014-09-09,39.90,39.90,39.90,39.90,000,39.90
2014-09-08,40.00,40.90,39.90,39.90,11400,39.90
2014-09-05,41.80,41.90,41.80,41.90,14500,41.90
2014-09-04,42.35,42.35,42.35,42.35,100,42.35
2014-09-03,41.80,44.55,41.80,44.55,500,44.55
