Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,87.20,91.40,86.55,89.95,434800,89.95
2015-01-20,87.40,88.25,86.75,87.35,126400,87.35
2015-01-19,86.40,88.40,85.25,86.80,135900,86.80
2015-01-16,87.30,87.40,85.60,85.90,245000,85.90
2015-01-15,88.20,89.90,86.80,87.10,263900,87.10
2015-01-14,90.00,90.45,85.50,85.95,270800,85.95
2015-01-13,90.90,94.55,88.35,89.35,1578800,89.35
2015-01-12,88.50,91.10,88.50,89.85,336200,89.85
2015-01-09,90.10,90.50,87.75,88.20,295600,88.20
2015-01-08,89.55,92.30,89.25,89.65,651500,89.65
2015-01-07,83.00,88.25,82.70,87.90,707200,87.90
2015-01-06,84.60,84.60,82.40,82.40,158100,82.40
2015-01-05,85.40,86.00,84.30,84.65,53000,84.65
2015-01-02,85.40,85.85,84.95,85.10,110400,85.10
2015-01-01,85.10,86.30,84.65,85.00,113100,85.00
2014-12-31,82.75,86.50,82.75,85.30,279500,85.30
2014-12-30,82.95,83.20,82.40,82.90,152300,82.90
2014-12-29,82.50,83.40,82.40,83.10,212400,83.10
2014-12-26,82.70,82.85,82.00,82.30,258300,82.30
2014-12-25,82.30,82.30,82.30,82.30,000,82.30
2014-12-24,82.00,83.00,82.00,82.30,134300,82.30
2014-12-23,82.00,83.50,81.70,82.00,359000,82.00
2014-12-22,81.85,83.00,81.65,82.30,255800,82.30
2014-12-19,82.30,82.90,81.20,81.75,116900,81.75
2014-12-18,81.40,82.50,81.15,82.05,89000,82.05
2014-12-17,79.70,82.65,77.00,80.15,345600,80.15
2014-12-16,81.00,81.50,78.65,80.15,216700,80.15
2014-12-15,80.60,82.90,80.40,81.50,55600,81.50
2014-12-12,83.15,84.55,81.25,81.85,185200,81.85
2014-12-11,80.50,84.10,79.80,83.10,248200,83.10
2014-12-10,80.55,81.50,79.65,81.20,781300,81.20
2014-12-09,81.80,82.05,80.35,80.50,538900,80.50
2014-12-08,84.25,84.65,82.00,82.40,130600,82.40
2014-12-05,83.10,85.60,83.10,84.35,1943000,84.35
2014-12-04,84.00,84.90,82.90,83.30,95600,83.30
2014-12-03,83.40,84.55,83.30,83.95,143300,83.95
2014-12-02,82.60,84.10,82.05,83.30,153300,83.30
2014-12-01,83.65,83.90,82.00,82.25,49900,82.25
2014-11-28,83.40,85.30,82.70,83.65,131900,83.65
2014-11-27,82.35,83.20,81.65,82.75,95900,82.75
2014-11-26,84.50,84.50,82.25,82.80,86800,82.80
2014-11-25,84.60,85.15,81.35,84.40,308900,84.40
2014-11-24,86.50,87.20,84.65,85.05,140500,85.05
2014-11-21,85.10,87.90,84.40,85.20,431300,85.20
2014-11-20,85.10,85.50,82.75,83.80,185100,83.80
2014-11-19,86.90,87.25,83.75,84.70,118900,84.70
2014-11-18,85.60,87.45,85.60,86.55,237500,86.55
2014-11-17,88.20,89.00,85.05,85.75,313400,85.75
2014-11-14,87.00,90.70,86.10,88.30,886700,88.30
2014-11-13,84.60,89.45,83.00,86.80,1093700,86.80
2014-11-12,81.30,84.40,80.85,84.05,584500,84.05
2014-11-11,80.05,80.95,79.00,80.75,94100,80.75
2014-11-10,78.45,79.70,77.60,79.50,104600,79.50
2014-11-07,80.70,80.70,77.30,78.50,205500,78.50
2014-11-06,80.05,80.05,80.05,80.05,000,80.05
2014-11-05,77.90,80.70,77.50,80.05,394200,80.05
2014-11-04,77.15,77.15,77.15,77.15,000,77.15
2014-11-03,75.45,77.40,75.30,77.15,157200,77.15
2014-10-31,75.55,75.75,75.10,75.30,25500,75.30
2014-10-30,75.85,75.85,75.00,75.25,36200,75.25
2014-10-29,75.85,76.10,75.30,75.65,57300,75.65
2014-10-28,75.40,76.00,75.10,75.50,63500,75.50
2014-10-27,76.40,76.40,75.00,75.15,52200,75.15
2014-10-24,75.40,75.40,75.40,75.40,000,75.40
2014-10-23,75.40,75.40,75.40,75.40,000,75.40
2014-10-22,75.50,75.80,74.90,75.40,38200,75.40
2014-10-21,75.80,76.35,74.95,75.15,76000,75.15
2014-10-20,76.00,77.10,74.60,75.55,232300,75.55
2014-10-17,75.65,79.30,73.90,74.90,696900,74.90
2014-10-16,74.50,75.70,74.50,75.35,75200,75.35
2014-10-15,74.50,74.50,74.50,74.50,000,74.50
2014-10-14,75.40,75.40,74.40,74.50,38700,74.50
2014-10-13,74.00,75.70,74.00,75.05,59100,75.05
2014-10-10,73.75,75.25,73.75,74.60,50700,74.60
2014-10-09,74.40,74.50,73.60,73.85,68200,73.85
2014-10-08,74.00,74.60,73.65,74.15,24000,74.15
2014-10-07,74.10,74.90,73.60,73.90,80900,73.90
2014-10-06,74.40,74.40,74.40,74.40,000,74.40
2014-10-03,74.40,74.40,74.40,74.40,000,74.40
2014-10-02,74.40,74.40,74.40,74.40,000,74.40
2014-10-01,74.90,75.35,74.25,74.45,41100,74.45
2014-09-30,74.80,75.05,74.50,74.80,46000,74.80
2014-09-29,73.90,75.40,73.60,74.90,51000,74.90
2014-09-26,73.60,73.90,72.30,73.60,174000,73.60
2014-09-25,75.00,75.40,73.25,73.60,92000,73.60
2014-09-24,74.80,75.50,74.50,74.70,55400,74.70
2014-09-23,74.40,75.60,74.25,74.70,172700,74.70
2014-09-22,75.45,75.75,73.90,74.00,80500,74.00
2014-09-19,75.50,76.20,74.10,75.75,43500,75.75
2014-09-18,72.40,75.30,72.40,75.00,159700,75.00
2014-09-17,72.00,73.45,71.80,72.20,221900,72.20
2014-09-16,74.05,74.80,69.35,71.65,65200,71.65
2014-09-15,74.40,74.40,73.60,74.00,471800,74.00
2014-09-12,74.90,76.20,74.15,74.65,211700,74.65
2014-09-11,73.70,75.50,73.35,74.75,123700,74.75
2014-09-10,73.95,74.20,72.90,73.50,120700,73.50
2014-09-09,75.40,75.40,73.40,74.00,77200,74.00
2014-09-08,75.00,75.35,73.15,74.85,110500,74.85
2014-09-05,73.95,75.15,73.80,74.90,436600,74.90
2014-09-04,78.00,78.00,72.00,74.05,319900,74.05
2014-09-03,79.35,79.65,78.80,79.20,152500,79.20
2014-09-02,79.75,79.95,78.85,79.05,209800,79.05
2014-09-01,80.40,80.40,79.25,79.45,173600,79.45
2014-08-29,80.40,80.40,80.40,80.40,000,80.40
2014-08-28,84.00,84.00,80.25,80.40,180500,80.40
2014-08-27,80.55,83.00,80.55,81.80,43400,81.80
2014-08-26,80.90,83.70,80.35,80.50,147200,80.50
2014-08-25,80.40,80.95,79.50,80.50,48100,80.50
2014-08-22,80.00,80.40,79.75,80.05,204500,80.05
2014-08-21,80.40,80.40,79.80,80.05,200900,80.05
2014-08-20,80.45,80.45,78.75,80.15,95200,80.15
2014-08-19,81.45,81.45,79.90,80.30,214000,80.30
2014-08-18,80.70,80.70,79.90,80.25,178200,80.25
2014-08-15,80.20,80.20,80.20,80.20,000,80.20
2014-08-14,80.20,80.85,79.50,80.20,171200,80.20
2014-08-13,80.00,80.45,79.50,79.90,70000,79.90
2014-08-12,79.95,80.10,79.55,79.95,82600,79.95
2014-08-11,80.00,80.65,79.70,79.80,104900,79.80
2014-08-08,81.50,81.50,79.65,80.40,331200,80.40
2014-08-07,81.70,81.70,80.70,81.10,64100,81.10
2014-08-06,81.50,82.40,81.10,81.40,117200,81.40
2014-08-05,82.80,82.95,81.50,81.75,31100,81.75
2014-08-04,86.20,86.20,81.75,82.30,57800,82.30
2014-08-01,82.05,83.80,81.60,82.85,73200,82.85
2014-07-31,80.25,83.55,80.25,83.20,81700,83.20
2014-07-30,80.60,80.75,79.95,80.30,79400,80.30
2014-07-29,80.20,80.20,80.20,80.20,000,80.20
2014-07-28,82.20,82.20,79.85,80.20,93300,80.20
2014-07-25,84.90,84.90,82.00,82.85,269600,82.85
2014-07-24,109.50,113.15,109.10,111.75,571500,110.75
2014-07-23,113.00,113.95,109.60,109.70,104800,108.72
2014-07-22,110.40,112.70,109.10,111.80,172100,110.80
2014-07-21,109.40,110.00,108.00,108.85,149500,107.88
2014-07-18,108.60,109.50,106.45,107.80,217000,106.84
2014-07-17,114.90,114.90,107.50,108.00,356400,107.03
2014-07-16,105.10,107.25,105.10,106.80,67000,105.84
2014-07-15,102.90,104.60,102.80,103.90,47200,102.97
2014-07-14,108.00,108.00,101.50,102.75,43200,101.83
2014-07-11,105.60,106.90,102.80,103.60,49300,102.67
2014-07-10,101.50,108.40,100.25,105.10,44500,104.16
2014-07-09,104.40,104.70,100.55,103.00,68900,102.08
2014-07-08,108.00,108.10,100.95,103.45,101700,102.52
2014-07-07,108.50,109.45,106.55,107.60,34700,106.64
2014-07-04,107.10,110.70,106.50,107.90,122300,106.93
2014-07-03,105.05,112.00,105.05,107.40,28700,106.44
2014-07-02,109.20,110.20,107.00,108.25,26600,107.28
2014-07-01,111.40,111.60,107.10,108.75,57900,107.78
2014-06-30,110.00,111.45,108.90,110.95,91000,109.96
2014-06-27,105.90,109.90,105.00,109.30,146900,108.32
2014-06-26,106.60,107.35,105.00,106.35,57700,105.40
2014-06-25,109.00,109.00,105.90,107.10,81400,106.14
2014-06-24,106.00,108.60,105.50,106.50,106600,105.55
2014-06-23,107.95,107.95,105.25,105.65,30900,104.70
2014-06-20,106.90,108.50,104.50,105.05,218700,104.11
2014-06-19,105.15,111.30,103.50,106.25,181600,105.30
2014-06-18,104.50,106.35,101.95,104.20,21500,103.27
2014-06-17,104.00,105.75,101.40,104.60,48400,103.66
2014-06-16,99.20,103.50,99.05,103.10,74500,102.18
2014-06-13,105.75,105.80,99.00,101.80,89800,100.89
2014-06-12,104.50,106.45,103.50,105.20,40400,104.26
2014-06-11,107.05,107.70,102.35,105.85,77900,104.90
2014-06-10,107.40,107.95,101.15,106.90,127100,105.94
2014-06-09,108.55,109.20,106.55,107.50,249700,106.54
2014-06-06,101.90,108.70,101.00,107.70,930800,106.74
2014-06-05,101.00,103.95,99.35,100.10,350900,99.20
2014-06-04,100.00,102.45,98.65,100.85,199700,99.95
2014-06-03,99.55,102.00,97.00,99.20,77200,98.31
2014-06-02,97.30,100.35,96.75,99.55,610700,98.66
2014-05-30,98.30,99.15,96.00,96.90,40600,96.03
2014-05-29,98.15,100.00,96.70,98.30,81500,97.42
2014-05-28,98.00,100.50,97.15,98.25,66100,97.37
