Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,64.40,64.50,59.00,60.50,887300,60.50
2015-01-20,63.35,64.80,63.00,63.90,665200,63.90
2015-01-19,63.10,65.20,62.55,62.80,642400,62.80
2015-01-16,63.30,64.75,62.50,63.00,581300,63.00
2015-01-15,64.80,65.50,62.70,63.00,475300,63.00
2015-01-14,65.30,66.20,64.10,64.40,371500,64.40
2015-01-13,67.00,67.50,64.90,65.60,519700,65.60
2015-01-12,68.00,68.50,66.25,66.70,355600,66.70
2015-01-09,68.10,69.50,67.25,67.85,882000,67.85
2015-01-08,65.80,68.40,65.80,67.05,798100,67.05
2015-01-07,65.00,67.00,63.30,64.85,923000,64.85
2015-01-06,67.15,67.45,64.55,64.95,1000900,64.95
2015-01-05,69.80,72.00,67.55,68.20,2324200,68.20
2015-01-02,63.65,70.30,63.65,69.25,3596200,69.25
2015-01-01,61.65,63.60,61.50,62.90,686300,62.90
2014-12-31,61.70,62.45,61.20,61.35,399000,61.35
2014-12-30,62.10,63.40,61.20,61.70,499600,61.70
2014-12-29,62.55,63.65,61.60,61.85,497800,61.85
2014-12-26,63.50,64.30,61.60,62.05,588900,62.05
2014-12-25,63.50,63.50,63.50,63.50,000,63.50
2014-12-24,64.65,66.15,63.00,63.50,839100,63.50
2014-12-23,62.25,66.80,61.50,64.65,2114300,64.65
2014-12-22,63.00,64.90,61.40,61.85,1660200,61.85
2014-12-19,56.70,64.25,55.10,62.15,2341600,62.15
2014-12-18,54.40,56.90,54.40,56.00,549300,56.00
2014-12-17,54.10,57.10,50.25,53.05,959200,53.05
2014-12-16,58.45,59.00,55.20,55.70,786300,55.70
2014-12-15,52.60,59.60,52.30,58.95,1759000,58.95
2014-12-12,54.00,54.70,52.20,52.60,245100,52.60
2014-12-11,54.00,54.75,52.75,53.75,500000,53.75
2014-12-10,53.00,54.50,53.00,53.90,374600,53.90
2014-12-09,55.20,56.25,53.20,53.50,450400,53.50
2014-12-08,57.00,58.30,55.55,55.65,503300,55.65
2014-12-05,57.55,58.50,56.85,57.10,311300,57.10
2014-12-04,58.20,58.75,57.10,57.50,411000,57.50
2014-12-02,57.50,58.80,56.10,57.85,730000,57.85
2014-12-01,58.55,61.35,56.10,57.45,278300,57.45
2014-11-28,59.25,60.20,58.00,58.40,535600,58.40
2014-11-27,57.80,59.90,57.80,58.95,503700,58.95
2014-11-26,57.30,58.70,56.60,58.05,662300,58.05
2014-11-25,61.60,62.40,55.35,57.45,1424800,57.45
2014-11-24,63.45,64.50,61.50,62.15,568900,62.15
2014-11-21,64.70,65.85,62.60,63.00,1176300,63.00
2014-11-20,61.55,65.30,61.25,64.10,2193000,64.10
2014-11-19,60.55,62.35,60.10,61.45,631600,61.45
2014-11-18,61.00,62.25,60.60,60.85,590800,60.85
2014-11-17,60.00,62.70,59.40,60.75,846800,60.75
2014-11-14,60.50,61.40,59.50,60.00,603500,60.00
2014-11-13,62.90,63.15,59.55,60.75,598000,60.75
2014-11-12,62.45,63.70,62.10,62.55,807500,62.55
2014-11-11,62.75,64.15,61.25,62.70,1026300,62.70
2014-11-10,62.55,63.40,61.50,62.05,767500,62.05
2014-11-07,61.55,63.35,61.10,62.00,1230100,62.00
2014-11-06,60.95,60.95,60.95,60.95,000,60.95
2014-11-05,64.10,64.80,59.95,60.95,1763500,60.95
2014-11-04,63.90,63.90,63.90,63.90,000,63.90
2014-11-03,64.10,66.00,63.55,63.90,1322400,63.90
2014-10-31,61.00,66.30,61.00,63.10,3177800,63.10
