Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,19.05,19.25,19.00,19.10,1000800,18.90
2015-01-20,19.35,19.35,19.05,19.10,468100,18.90
2015-01-19,19.30,19.60,19.20,19.30,723300,19.10
2015-01-16,19.60,19.70,19.25,19.30,496800,19.10
2015-01-15,19.80,19.95,19.35,19.50,717400,19.30
2015-01-14,18.70,19.80,18.70,19.60,2092600,19.39
2015-01-13,18.70,18.75,18.35,18.50,468100,18.31
2015-01-12,18.50,18.70,18.40,18.60,429600,18.41
2015-01-09,18.55,18.75,18.45,18.55,564100,18.36
2015-01-08,18.50,18.65,18.40,18.60,473200,18.41
2015-01-07,18.85,18.85,18.20,18.25,600800,18.06
2015-01-06,18.95,18.95,18.45,18.50,686300,18.31
2015-01-05,19.05,19.15,18.85,18.90,457200,18.70
2015-01-02,18.95,19.20,18.95,19.05,648400,18.85
2015-01-01,18.90,18.95,18.75,18.90,506500,18.70
2014-12-31,18.75,19.05,18.70,18.85,856000,18.65
2014-12-30,18.95,18.95,18.65,18.80,413200,18.60
2014-12-29,19.00,19.05,18.80,18.85,627100,18.65
2014-12-26,19.00,19.00,18.70,18.85,311700,18.65
2014-12-25,18.80,18.80,18.80,18.80,000,18.60
2014-12-24,19.00,19.10,18.65,18.80,836500,18.60
2014-12-23,19.20,19.20,18.85,18.90,961400,18.70
2014-12-22,19.00,19.15,18.80,19.00,645400,18.80
2014-12-19,18.90,19.00,18.70,18.85,901800,18.65
2014-12-18,18.55,18.85,18.55,18.75,518300,18.55
2014-12-17,18.50,18.55,17.95,18.30,922900,18.11
2014-12-16,18.80,18.80,18.50,18.55,804600,18.36
2014-12-15,19.00,19.00,18.75,18.85,632800,18.65
2014-12-12,19.15,19.35,18.95,19.05,911900,18.85
2014-12-11,19.30,19.35,19.05,19.15,530300,18.95
2014-12-10,19.15,19.50,19.15,19.35,352300,19.15
2014-12-09,19.60,19.70,19.35,19.40,512200,19.20
2014-12-08,20.00,20.00,19.55,19.65,925600,19.44
2014-12-05,20.00,20.20,19.95,20.05,460100,19.84
2014-12-04,20.25,20.45,20.05,20.15,976300,19.94
2014-12-03,20.10,20.45,19.95,20.25,1141500,20.04
2014-12-02,19.95,20.10,19.80,20.05,669000,19.84
2014-12-01,20.60,22.30,19.95,20.00,639000,19.79
2014-11-28,20.00,20.60,20.00,20.30,1543000,20.09
2014-11-27,20.00,20.25,19.90,20.05,885400,19.84
2014-11-26,20.60,20.60,19.80,20.20,935800,19.99
2014-11-25,20.15,20.15,19.70,19.95,1106000,19.74
2014-11-24,20.40,20.40,20.10,20.20,754700,19.99
2014-11-21,20.50,20.55,20.20,20.30,1018700,20.09
2014-11-20,20.85,20.85,20.30,20.40,563600,20.19
2014-11-19,21.25,21.30,20.55,20.65,902200,20.43
2014-11-18,20.95,21.35,20.85,21.20,1466900,20.98
2014-11-17,20.45,21.05,20.35,20.95,1136300,20.73
2014-11-14,20.35,20.65,20.25,20.50,766200,20.29
2014-11-13,21.00,21.00,20.30,20.40,889900,20.19
2014-11-12,20.85,21.10,20.75,20.85,722600,20.63
2014-11-11,21.30,21.30,20.85,21.00,681500,20.78
2014-11-10,21.30,21.35,20.90,21.05,1194500,20.83
2014-11-07,21.10,21.45,20.90,21.30,1878500,21.08
2014-11-06,21.10,21.10,21.10,21.10,000,20.88
2014-11-05,21.40,21.65,21.00,21.10,1570900,20.88
2014-11-04,21.20,21.20,21.20,21.20,000,20.98
2014-11-03,20.85,21.35,20.40,21.20,1631800,20.98
2014-10-31,20.15,20.85,20.10,20.65,1610100,20.43
2014-10-30,19.95,20.15,19.85,20.00,987900,19.79
2014-10-29,20.00,20.15,19.85,19.90,706900,19.69
2014-10-28,20.05,20.10,19.80,19.95,715500,19.74
2014-10-27,20.25,20.40,19.90,20.00,549800,19.79
2014-10-24,20.25,20.25,20.25,20.25,000,20.04
2014-10-23,20.25,20.25,20.25,20.25,000,20.04
2014-10-22,19.70,20.35,19.65,20.25,1122700,20.04
2014-10-21,19.30,19.65,19.10,19.50,996800,19.30
2014-10-20,19.30,19.40,19.05,19.15,1002800,18.95
2014-10-17,19.10,19.35,18.95,19.25,1262100,19.05
2014-10-16,19.15,19.55,18.95,19.00,1232700,18.80
2014-10-15,19.15,19.15,19.15,19.15,000,18.95
2014-10-14,19.10,19.20,19.05,19.15,407900,18.95
2014-10-13,19.00,19.20,18.95,19.05,420700,18.85
2014-10-10,19.55,19.55,19.10,19.10,543600,18.90
2014-10-09,19.10,19.65,19.10,19.55,832700,19.35
2014-10-08,19.00,19.30,19.00,19.15,684600,18.95
2014-10-07,19.10,19.30,18.90,19.00,1288400,18.80
2014-10-06,19.10,19.10,19.10,19.10,000,18.90
2014-10-03,19.10,19.10,19.10,19.10,000,18.90
2014-10-02,19.10,19.10,19.10,19.10,000,18.90
2014-10-01,19.45,19.50,19.05,19.10,882200,18.90
2014-09-30,19.75,19.90,19.40,19.50,892100,19.30
2014-09-29,19.80,20.10,19.60,19.70,880700,19.49
2014-09-26,19.25,19.65,19.05,19.55,1590400,19.35
2014-09-25,19.85,20.00,19.25,19.35,1854600,19.15
2014-09-24,20.25,20.25,19.75,19.90,1163700,19.69
2014-09-23,20.90,20.90,20.05,20.10,945000,19.89
2014-09-22,20.60,21.00,20.60,20.85,925700,20.63
2014-09-19,20.70,20.95,20.50,20.85,913200,20.63
2014-09-18,20.15,21.00,20.05,20.70,1289900,20.48
2014-09-17,20.25,20.30,20.00,20.15,1173900,19.94
2014-09-16,21.10,21.25,20.05,20.15,1859600,19.94
2014-09-15,21.25,21.30,21.00,21.05,792900,20.83
2014-09-12,21.30,21.60,21.05,21.25,2251400,21.03
2014-09-11,22.40,22.45,21.05,21.30,2761900,21.08
2014-09-10,22.60,22.90,22.30,22.40,2637800,21.87
2014-09-09,21.50,22.65,21.40,22.50,1959800,21.97
2014-09-08,21.35,21.45,21.10,21.40,1029900,20.89
2014-09-05,21.20,21.50,20.95,21.35,1203200,20.84
2014-09-04,21.50,21.50,21.00,21.20,744700,20.70
2014-09-03,21.90,22.00,21.35,21.55,954300,21.04
2014-09-02,21.95,22.05,21.75,21.85,691300,21.33
2014-09-01,21.75,22.00,21.55,21.90,815800,21.38
2014-08-29,21.70,21.70,21.70,21.70,000,21.19
2014-08-28,20.95,22.30,20.95,21.70,2112200,21.19
2014-08-27,21.00,21.25,20.85,20.95,1344000,20.45
2014-08-26,21.35,21.35,20.70,20.95,992300,20.45
2014-08-25,21.95,21.95,21.25,21.35,762800,20.84
2014-08-22,22.00,22.35,21.90,21.95,824300,21.43
2014-08-21,22.40,22.45,21.85,21.90,1041100,21.38
2014-08-20,22.25,22.55,21.75,22.35,1127700,21.82
2014-08-19,21.70,22.05,21.60,21.90,792100,21.38
2014-08-18,21.25,21.70,21.25,21.65,498100,21.14
2014-08-15,21.25,21.25,21.25,21.25,000,20.75
2014-08-14,20.95,21.30,20.85,21.25,757600,20.75
2014-08-13,22.10,22.10,20.50,20.80,889500,20.31
2014-08-12,22.10,22.15,21.95,22.10,597200,21.58
2014-08-11,22.15,22.20,21.90,22.00,406100,21.48
2014-08-08,22.30,22.30,21.90,21.95,780500,21.43
2014-08-07,22.80,22.80,22.25,22.40,1071000,21.87
2014-08-06,23.15,23.20,22.75,22.80,915100,22.26
2014-08-05,22.60,23.20,22.45,23.10,1352800,22.55
2014-08-04,22.60,22.70,22.25,22.40,625400,21.87
2014-08-01,22.65,22.90,22.45,22.55,755100,22.02
2014-07-31,23.10,23.20,22.65,22.85,1038700,22.31
2014-07-30,22.90,23.15,22.80,23.05,696800,22.50
2014-07-29,22.75,22.75,22.75,22.75,000,22.21
2014-07-28,23.00,23.15,22.70,22.75,691900,22.21
2014-07-25,23.60,23.65,22.75,23.05,1022600,22.50
2014-07-24,23.65,23.85,23.40,23.55,485800,22.99
2014-07-23,23.65,23.95,23.35,23.65,942500,23.09
2014-07-22,24.15,24.15,23.50,23.65,1007600,23.09
2014-07-21,24.10,24.45,24.00,24.05,1211900,23.48
2014-07-18,24.45,24.50,23.90,24.00,1484200,23.43
2014-07-17,24.40,24.75,24.20,24.55,1152100,23.97
2014-07-16,24.25,24.45,23.85,24.35,1075600,23.77
2014-07-15,24.00,24.25,23.65,23.95,1178500,23.38
2014-07-14,23.80,24.10,23.50,23.75,1285400,23.19
2014-07-11,24.90,25.30,23.50,23.65,1909800,23.09
2014-07-10,24.60,25.85,23.80,24.90,3305700,24.31
2014-07-09,25.10,25.30,23.55,24.55,2241400,23.97
2014-07-08,27.10,27.20,24.80,25.10,2621800,24.50
2014-07-07,27.75,27.75,27.05,27.15,1225500,26.51
2014-07-04,27.25,27.65,27.00,27.40,2030900,26.75
2014-07-03,28.00,28.00,26.90,27.20,597900,26.55
2014-07-02,26.45,27.75,26.40,27.60,3995100,26.95
2014-07-01,26.30,26.65,26.10,26.20,1260200,25.58
2014-06-30,25.90,26.45,25.80,26.35,1462100,25.72
2014-06-27,26.10,26.25,25.30,25.75,3063200,25.14
2014-06-26,26.30,26.45,25.80,25.95,1180200,25.33
2014-06-25,26.40,26.60,26.20,26.25,993500,25.63
2014-06-24,26.00,26.85,26.00,26.35,2182200,25.72
2014-06-23,26.15,26.40,25.85,26.00,1509100,25.38
2014-06-20,26.15,26.40,26.00,26.15,1638400,25.53
2014-06-19,26.40,26.70,25.90,26.15,2596100,25.53
2014-06-18,27.10,27.40,25.85,26.25,2802300,25.63
2014-06-17,26.30,27.05,26.10,27.00,3282200,26.36
2014-06-16,26.90,27.05,25.70,26.40,3165700,25.77
2014-06-13,29.10,29.15,26.75,27.05,5604400,26.41
2014-06-12,28.05,29.20,27.45,28.65,4959900,27.97
2014-06-11,28.50,29.60,27.40,28.00,7942100,27.34
2014-06-10,28.50,28.60,27.10,28.15,5442300,27.48
2014-06-09,26.85,28.55,26.45,28.10,6823800,27.43
2014-06-06,26.90,27.20,26.20,26.70,4146900,26.07
2014-06-05,26.00,27.00,25.70,26.60,3087800,25.97
2014-06-04,25.00,26.30,24.95,25.90,2985200,25.29
2014-06-03,25.15,25.35,24.80,25.10,1582300,24.50
2014-06-02,23.90,25.25,23.55,25.10,4526900,24.50
2014-05-30,25.40,25.40,24.55,24.80,2090900,24.21
2014-05-29,25.05,25.35,24.60,25.00,3054000,24.41
2014-05-28,24.80,25.40,24.30,25.05,2888300,24.46
2014-05-27,25.50,25.75,24.00,24.80,3456900,24.21
2014-05-26,27.50,28.60,24.45,25.70,6987600,25.09
2014-05-23,26.75,27.35,26.10,27.15,5943700,26.51
2014-05-22,23.60,26.85,23.50,26.30,9453900,25.68
2014-05-21,23.25,24.10,22.80,23.45,3525200,22.89
2014-05-20,23.70,24.10,22.50,23.45,5655100,22.89
2014-05-19,20.75,23.50,20.65,23.30,5442200,22.75
2014-05-16,20.60,21.35,20.30,20.45,2832500,19.96
2014-05-15,20.50,20.95,20.05,20.35,2056200,19.87
2014-05-14,20.05,20.85,19.90,20.70,1830000,20.21
2014-05-13,19.85,20.35,19.50,20.05,1871300,19.57
2014-05-12,19.00,19.55,19.00,19.40,776800,18.94
2014-05-09,18.55,19.10,18.40,18.90,683900,18.45
2014-05-08,18.80,18.95,18.45,18.50,518500,18.06
2014-05-07,18.80,18.90,18.70,18.75,387000,18.31
2014-05-06,18.95,19.10,18.80,18.85,383400,18.40
2014-05-05,19.10,19.20,18.90,19.00,369900,18.55
2014-05-02,19.10,19.70,18.90,19.30,285200,18.84
2014-05-01,19.00,19.00,19.00,19.00,000,18.55
2014-04-30,19.85,19.90,18.70,19.00,596900,18.55
2014-04-29,20.20,20.20,19.55,19.70,517200,19.23
2014-04-28,19.85,20.20,19.85,20.10,681400,19.62
2014-04-25,20.00,20.15,19.80,19.85,555500,19.38
2014-04-24,20.05,20.05,20.05,20.05,000,19.57
2014-04-23,20.10,20.20,20.00,20.05,817400,19.57
2014-04-22,20.15,20.30,19.90,19.95,610800,19.48
2014-04-21,20.00,20.35,20.00,20.15,619800,19.67
2014-04-18,20.00,20.00,20.00,20.00,000,19.53
2014-04-17,20.00,20.15,19.80,20.00,458000,19.53
