Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,76.95,78.50,71.85,73.70,352200,73.70
2015-01-20,78.95,81.00,76.55,77.15,251300,77.15
2015-01-19,81.00,82.95,78.65,78.90,217900,78.90
2015-01-16,83.00,84.90,80.50,81.20,242100,81.20
2015-01-15,82.00,87.55,77.70,84.20,971100,84.20
2015-01-14,85.60,87.50,79.20,80.45,295000,80.45
2015-01-13,86.00,86.90,85.25,85.55,281500,85.55
2015-01-12,91.15,93.05,84.15,85.85,826100,85.85
2015-01-09,83.20,88.30,81.80,88.30,868500,88.30
2015-01-08,75.95,81.00,75.00,80.30,588700,80.30
2015-01-07,73.50,75.40,73.15,74.45,217200,74.45
2015-01-06,73.00,76.05,70.70,73.15,455100,73.15
2015-01-05,73.00,76.20,72.20,73.55,221700,73.55
2015-01-02,70.35,73.80,70.35,73.25,151600,73.25
2015-01-01,73.85,74.05,70.10,71.75,135300,71.75
2014-12-31,72.80,73.95,72.40,73.55,148500,73.55
2014-12-30,72.00,73.50,71.25,72.75,104700,72.75
2014-12-29,71.60,72.75,71.30,72.45,141800,72.45
2014-12-26,70.20,71.75,70.20,71.45,153200,71.45
2014-12-25,70.75,70.75,70.75,70.75,000,70.75
2014-12-24,69.70,71.25,69.70,70.75,117800,70.75
2014-12-23,69.70,71.40,69.20,70.40,221900,70.40
2014-12-22,69.25,70.45,67.45,69.65,187400,69.65
2014-12-19,69.25,70.50,66.90,68.95,198800,68.95
2014-12-18,68.00,70.65,67.80,68.40,328400,68.40
2014-12-17,68.20,69.20,68.00,68.00,181200,68.00
2014-12-16,75.30,75.30,71.55,71.55,579200,71.55
2014-12-15,74.45,75.95,73.60,75.30,702100,75.30
2014-12-12,72.50,72.60,72.00,72.60,199700,72.60
2014-12-11,72.25,73.50,68.05,69.15,475200,69.15
2014-12-10,71.90,73.30,70.40,71.60,792900,71.60
2014-12-09,69.85,69.85,69.85,69.85,286500,69.85
2014-12-08,66.40,69.90,66.00,66.55,278500,66.55
2014-12-05,69.45,70.20,66.50,66.80,334200,66.80
2014-12-04,72.45,72.90,68.50,68.95,486900,68.95
2014-12-03,69.70,73.00,69.70,71.95,877600,71.95
2014-12-02,65.90,71.40,64.05,69.55,1109800,69.55
2014-12-01,68.00,69.45,65.00,65.65,552900,65.65
2014-11-28,63.50,68.50,62.75,67.95,1661800,67.95
2014-11-27,60.50,64.20,58.40,62.80,1039600,62.80
2014-11-26,55.35,60.65,55.25,60.45,1164800,60.45
2014-11-25,56.20,58.30,53.30,55.15,414200,55.15
2014-11-24,59.60,59.65,53.95,56.05,493900,56.05
2014-11-21,60.85,63.25,58.30,59.30,576800,59.30
2014-11-20,64.00,64.70,59.05,60.25,981500,60.25
2014-11-19,60.20,63.90,58.35,63.30,2294200,63.30
2014-11-18,53.00,58.10,52.30,58.10,998800,58.10
2014-11-17,51.60,53.50,50.40,52.85,614300,52.85
2014-11-14,49.85,53.30,48.60,51.40,492000,51.40
2014-11-13,51.35,52.20,49.25,49.55,283500,49.55
2014-11-12,49.55,52.90,49.50,51.05,430900,51.05
2014-11-11,52.60,53.20,48.65,49.40,435200,49.40
2014-11-10,51.60,53.80,50.45,52.20,549800,52.20
2014-11-07,54.70,54.95,49.15,51.65,2012800,51.65
2014-11-06,51.45,51.45,51.45,51.45,000,51.45
2014-11-05,48.05,51.45,48.05,51.45,1207900,51.45
2014-11-04,46.80,46.80,46.80,46.80,000,46.80
2014-11-03,39.50,46.80,39.00,46.80,2935100,46.80
2014-10-31,33.55,39.35,33.50,39.00,2136800,39.00
2014-10-30,33.70,33.80,32.60,32.80,88100,32.80
2014-10-29,34.00,34.35,33.00,33.60,445100,33.60
2014-10-28,31.85,33.55,31.20,33.35,395600,33.35
2014-10-27,31.30,33.20,30.70,31.80,308400,31.80
2014-10-24,31.05,31.05,31.05,31.05,000,31.05
2014-10-23,31.05,31.05,31.05,31.05,000,31.05
2014-10-22,30.70,31.40,30.45,31.05,97700,31.05
2014-10-21,30.20,30.50,29.90,30.25,44700,30.25
2014-10-20,30.80,30.85,29.80,30.00,55700,30.00
2014-10-17,30.95,31.10,29.70,30.15,72800,30.15
2014-10-16,31.15,31.50,29.45,30.15,78200,30.15
2014-10-15,31.35,31.35,31.35,31.35,000,31.35
2014-10-14,31.50,32.25,31.00,31.35,66900,31.35
2014-10-13,30.95,31.40,30.90,31.20,105900,31.20
2014-10-10,31.55,31.85,31.00,31.10,71300,31.10
2014-10-09,31.50,32.60,31.20,32.15,130900,32.15
2014-10-08,30.85,31.40,30.60,30.90,100200,30.90
2014-10-07,31.00,31.40,30.70,30.85,129100,30.85
2014-10-06,30.90,30.90,30.90,30.90,000,30.90
2014-10-03,30.90,30.90,30.90,30.90,000,30.90
2014-10-02,30.90,30.90,30.90,30.90,000,30.90
2014-10-01,31.30,31.80,30.70,30.90,78000,30.90
2014-09-30,31.80,32.60,30.70,31.00,192600,31.00
2014-09-29,30.75,32.85,30.75,31.75,203500,31.75
2014-09-26,30.65,31.30,28.80,30.35,275300,30.35
2014-09-25,32.45,32.50,30.00,30.60,507800,30.60
2014-09-24,33.30,33.90,31.45,32.25,208700,32.25
2014-09-23,34.40,35.35,32.95,33.20,253300,33.20
2014-09-22,34.25,35.50,33.10,34.10,367500,34.10
2014-09-19,36.30,36.30,34.00,34.25,229700,34.25
2014-09-18,34.10,36.45,33.70,35.95,463300,35.95
2014-09-17,33.50,34.70,32.70,34.15,369600,34.15
2014-09-16,37.35,37.90,32.50,32.95,1130900,32.95
2014-09-15,32.05,38.25,31.35,37.10,2101500,37.10
2014-09-12,32.55,33.15,31.20,32.25,336900,32.25
2014-09-11,31.95,33.25,31.45,32.85,416600,32.85
2014-09-10,31.30,32.45,31.25,31.70,276600,31.70
2014-09-09,31.00,31.90,30.50,31.50,392000,31.50
2014-09-08,30.70,31.40,30.40,30.70,266100,30.70
2014-09-05,29.70,30.80,29.45,30.45,266000,30.45
2014-09-04,30.25,30.55,28.30,29.00,254800,29.00
2014-09-03,31.35,31.35,30.15,30.40,213400,30.40
2014-09-02,31.95,31.95,30.90,31.05,205800,31.05
2014-09-01,30.85,32.30,30.35,32.05,220800,32.05
2014-08-29,30.40,30.40,30.40,30.40,000,30.40
2014-08-28,32.00,32.05,30.20,30.40,127700,30.40
2014-08-27,32.00,32.25,31.55,31.70,191400,31.70
2014-08-26,32.45,33.65,32.45,33.10,255900,31.60
2014-08-25,33.85,34.50,32.65,32.90,178700,31.41
2014-08-22,33.85,34.05,33.05,33.50,107800,31.98
2014-08-21,34.10,34.75,33.55,33.65,121000,32.13
2014-08-20,34.45,34.80,33.75,34.55,148200,32.98
2014-08-19,35.00,35.00,33.65,33.80,363700,32.27
2014-08-18,31.90,34.65,31.90,34.30,345300,32.75
2014-08-15,32.20,32.20,32.20,32.20,000,30.74
2014-08-14,32.15,32.75,32.00,32.20,84300,30.74
2014-08-13,32.55,33.50,31.50,32.10,191200,30.65
2014-08-12,32.90,33.15,32.40,32.85,92200,31.36
2014-08-11,32.75,33.00,32.10,32.45,72000,30.98
2014-08-08,33.20,33.30,32.05,32.20,160800,30.74
2014-08-07,34.40,34.40,33.40,33.55,108300,32.03
2014-08-06,33.80,35.10,33.55,34.10,123000,32.55
2014-08-05,34.50,34.75,33.40,34.20,138100,32.65
2014-08-04,34.50,35.10,34.20,34.40,126700,32.84
2014-08-01,33.60,36.25,32.45,34.20,518300,32.65
2014-07-31,36.00,36.25,34.40,34.80,217600,33.22
2014-07-30,35.75,36.60,35.55,36.10,529100,34.46
2014-07-29,35.20,35.20,35.20,35.20,000,33.60
2014-07-28,34.55,35.65,33.80,35.20,310800,33.60
2014-07-25,36.20,36.65,34.35,34.65,283000,33.08
2014-07-24,35.60,36.85,34.95,36.25,318800,34.61
2014-07-23,35.95,36.50,35.10,35.40,149100,33.80
2014-07-22,36.15,36.55,35.15,35.55,232900,33.94
2014-07-21,36.00,36.70,35.70,35.80,125500,34.18
2014-07-18,36.30,36.90,35.70,35.95,213800,34.32
2014-07-17,36.35,37.50,35.70,36.75,453000,35.08
2014-07-16,36.60,37.40,35.75,36.75,763200,35.08
2014-07-15,33.20,35.25,33.20,34.30,341900,32.75
2014-07-14,32.10,33.60,32.10,32.85,229800,31.36
2014-07-11,35.75,35.90,32.50,32.85,429600,31.36
2014-07-10,36.10,36.95,34.25,35.45,752300,33.84
2014-07-09,35.55,36.80,30.05,35.20,1841600,33.60
2014-07-08,35.55,37.05,34.75,35.15,1033600,33.56
2014-07-07,37.70,37.85,34.70,36.10,518900,34.46
2014-07-04,38.05,38.80,37.20,37.40,588600,35.71
2014-07-03,37.90,38.75,37.60,37.75,238900,36.04
2014-07-02,39.10,39.45,37.35,37.60,768200,35.90
2014-07-01,38.15,39.60,37.80,38.70,1292900,36.95
2014-06-30,36.90,38.90,36.70,37.80,2420500,36.09
2014-06-27,33.55,36.65,33.35,36.30,2835600,34.65
2014-06-26,33.25,33.95,32.90,33.30,383100,31.79
2014-06-25,34.00,34.45,33.15,33.40,677800,31.89
2014-06-24,32.60,35.30,32.60,34.15,2058600,32.60
2014-06-23,31.90,32.50,31.15,32.05,368100,30.60
