Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,29.50,32.40,29.50,31.80,665500,31.80
2015-01-20,29.85,29.85,29.30,29.50,71200,29.50
2015-01-19,29.75,30.30,29.45,29.55,101600,29.55
2015-01-16,29.75,30.05,29.15,29.30,94300,29.30
2015-01-15,31.00,31.75,29.50,29.80,366000,29.80
2015-01-14,30.30,30.55,29.60,29.75,65800,29.75
2015-01-13,30.35,30.80,29.60,30.20,97500,30.20
2015-01-12,29.45,30.70,29.45,30.30,545200,30.30
2015-01-09,28.80,29.10,28.30,28.45,78600,28.45
2015-01-08,28.50,28.95,28.35,28.65,46600,28.65
2015-01-07,28.60,29.10,27.70,27.95,194200,27.95
2015-01-06,29.30,29.60,28.50,28.70,232300,28.70
2015-01-05,30.10,30.85,29.60,29.85,126300,29.85
2015-01-02,29.75,30.65,29.05,30.00,226600,30.00
2015-01-01,28.25,30.50,28.25,29.25,370600,29.25
2014-12-31,28.50,28.65,28.05,28.25,53200,28.25
2014-12-30,28.40,28.90,28.00,28.30,63200,28.30
2014-12-29,28.80,29.10,28.10,28.30,85500,28.30
2014-12-26,29.15,29.15,28.55,28.65,44300,28.65
2014-12-25,28.65,28.65,28.65,28.65,000,28.65
2014-12-24,29.35,29.35,28.45,28.65,56700,28.65
2014-12-23,29.00,29.65,28.10,29.10,68900,29.10
2014-12-22,28.75,29.80,28.15,28.90,115000,28.90
2014-12-19,28.30,28.90,28.20,28.35,109200,28.35
2014-12-18,28.50,29.40,28.25,28.55,205800,28.55
2014-12-17,29.25,29.30,27.50,27.85,142300,27.85
2014-12-16,30.00,30.00,28.70,29.00,174800,29.00
2014-12-15,29.90,30.95,29.75,30.05,166200,30.05
2014-12-12,30.45,31.10,29.65,30.00,270800,30.00
2014-12-11,30.35,31.25,29.70,30.40,344200,30.40
2014-12-10,28.45,31.80,28.10,30.35,448000,30.35
2014-12-09,28.65,28.85,28.00,28.15,69800,28.15
2014-12-08,29.15,29.35,28.25,28.55,111700,28.55
2014-12-05,29.35,29.50,28.70,28.85,153900,28.85
2014-12-04,29.40,29.45,28.80,29.10,80600,29.10
2014-12-03,29.00,29.90,28.95,29.35,193900,29.35
2014-12-02,28.50,29.40,28.40,28.95,153700,28.95
2014-12-01,29.00,29.45,28.40,28.75,133000,28.75
2014-11-28,27.95,29.75,27.70,28.60,399700,28.60
2014-11-27,27.40,28.00,27.40,27.75,57000,27.75
2014-11-26,27.60,27.95,26.90,27.30,110000,27.30
2014-11-25,28.85,29.00,26.75,27.40,194800,27.40
2014-11-24,28.95,29.00,28.30,28.55,591500,28.55
2014-11-21,27.20,28.50,27.00,27.80,216800,27.80
2014-11-20,27.20,27.40,26.60,26.95,65300,26.95
2014-11-19,27.90,28.30,26.85,27.15,139500,27.15
2014-11-18,27.10,28.30,27.00,28.05,201500,28.05
2014-11-17,26.75,27.35,26.75,27.10,65100,27.10
2014-11-14,26.55,26.75,26.00,26.25,82800,26.25
2014-11-13,27.25,27.90,26.70,26.75,107900,26.75
2014-11-12,26.65,27.40,26.65,26.90,116200,26.90
2014-11-11,26.95,27.45,26.70,26.90,147400,26.90
2014-11-10,27.30,27.40,26.60,26.75,132500,26.75
2014-11-07,28.90,28.90,26.20,27.00,893300,27.00
2014-11-06,25.20,25.20,25.20,25.20,000,25.20
2014-11-05,25.25,25.50,24.95,25.20,128500,25.20
2014-11-04,25.00,25.00,25.00,25.00,000,25.00
2014-11-03,24.95,25.10,23.60,25.00,262400,25.00
2014-10-31,24.70,25.10,24.50,24.95,93100,24.95
2014-10-30,25.50,25.60,24.35,24.55,71800,24.55
2014-10-29,23.80,25.55,23.60,25.25,246300,25.25
2014-10-28,23.60,24.10,23.25,23.50,123200,23.50
2014-10-27,23.90,24.10,23.40,23.45,109400,23.45
2014-10-24,23.05,23.05,23.05,23.05,000,23.05
2014-10-23,23.05,23.05,23.05,23.05,000,23.05
2014-10-22,22.85,23.40,22.85,23.05,36000,23.05
2014-10-21,24.40,24.90,23.00,23.15,443900,23.15
2014-10-20,22.10,24.50,22.10,23.95,220400,23.95
2014-10-17,21.80,22.25,21.80,22.00,54800,22.00
2014-10-16,21.25,22.55,21.25,22.10,70200,22.10
2014-10-15,22.20,22.20,22.20,22.20,000,22.20
2014-10-14,21.85,22.35,21.50,22.20,102200,22.20
2014-10-13,20.85,21.65,20.70,21.55,54800,21.55
2014-10-10,20.95,21.40,20.95,21.10,27200,21.10
2014-10-09,21.10,21.65,21.05,21.15,17500,21.15
2014-10-08,21.20,21.35,20.85,20.90,18300,20.90
2014-10-07,21.55,21.70,20.90,21.00,29500,21.00
2014-10-06,21.55,21.55,21.55,21.55,000,21.55
2014-10-03,21.55,21.55,21.55,21.55,000,21.55
2014-10-02,21.55,21.55,21.55,21.55,000,21.55
2014-10-01,21.70,21.95,21.50,21.55,10700,21.55
2014-09-30,21.80,22.00,21.70,21.90,13500,21.90
2014-09-29,21.75,21.90,21.50,21.75,36800,21.75
2014-09-26,21.05,21.70,21.00,21.50,31600,21.50
2014-09-25,21.75,21.80,21.10,21.30,45700,21.30
2014-09-24,22.25,22.35,21.55,21.75,41100,21.75
2014-09-23,22.35,22.55,22.20,22.30,88700,22.30
2014-09-22,22.25,22.55,22.00,22.50,114100,22.50
2014-09-19,22.65,22.65,22.25,22.30,102500,22.30
2014-09-18,22.15,22.80,22.15,22.45,31900,22.45
2014-09-17,22.60,22.95,22.20,22.45,44000,22.45
2014-09-16,23.70,23.90,22.15,22.30,114400,22.30
2014-09-15,24.00,24.00,23.50,23.65,354800,23.65
2014-09-12,22.75,23.50,22.75,23.35,172000,23.35
2014-09-11,22.55,22.90,22.55,22.75,67300,22.75
2014-09-10,22.00,23.00,21.85,22.65,97600,22.65
2014-09-09,22.30,22.30,22.00,22.00,41200,22.00
2014-09-08,21.90,22.15,21.90,22.10,33000,22.10
2014-09-05,21.65,22.20,21.60,21.85,22900,21.85
2014-09-04,21.85,21.85,21.65,21.70,14300,21.70
2014-09-03,21.95,22.50,21.75,22.00,75300,22.00
2014-09-02,22.00,22.00,21.70,21.85,61100,21.85
2014-09-01,21.15,22.15,21.15,21.85,77900,21.85
2014-08-29,21.40,21.40,21.40,21.40,000,21.40
2014-08-28,21.60,21.60,21.35,21.40,26600,21.40
2014-08-27,21.65,21.75,21.40,21.55,45800,21.55
2014-08-26,21.50,21.90,21.10,21.25,31500,21.25
2014-08-25,21.90,22.20,21.85,21.85,43400,21.85
2014-08-22,21.90,22.20,21.90,22.05,24200,22.05
2014-08-21,22.45,22.45,21.80,22.00,81700,22.00
2014-08-20,23.05,23.35,23.00,23.10,111300,22.20
2014-08-19,23.00,23.50,23.00,23.25,59000,22.34
2014-08-18,22.35,23.25,22.35,23.15,98500,22.25
2014-08-15,22.35,22.35,22.35,22.35,000,21.48
2014-08-14,22.70,22.70,22.10,22.35,77200,21.48
2014-08-13,22.40,22.75,21.90,22.25,171400,21.38
2014-08-12,21.90,22.65,21.60,22.40,164400,21.53
2014-08-11,21.90,21.90,21.50,21.75,97200,20.90
2014-08-08,21.60,21.60,20.75,21.00,39700,20.18
2014-08-07,21.10,21.35,20.90,20.95,51000,20.13
2014-08-06,21.10,21.90,21.05,21.15,123300,20.33
2014-08-05,21.30,21.80,21.15,21.20,55100,20.37
2014-08-04,21.20,21.35,20.95,21.25,36700,20.42
2014-08-01,20.90,21.30,20.80,20.90,34600,20.09
2014-07-31,21.05,21.40,21.00,21.15,36000,20.33
2014-07-30,21.65,21.75,20.80,20.95,202200,20.13
2014-07-29,21.65,21.65,21.65,21.65,000,20.81
2014-07-28,22.15,22.15,21.50,21.65,58000,20.81
2014-07-25,23.05,23.35,22.00,22.10,539400,21.24
2014-07-24,21.65,22.85,21.40,22.55,394500,21.67
2014-07-23,21.60,21.85,21.30,21.40,27700,20.57
2014-07-22,21.90,22.20,21.40,21.60,30500,20.76
2014-07-21,21.00,22.25,20.80,21.75,129100,20.90
2014-07-18,20.95,21.20,20.75,20.80,51400,19.99
2014-07-17,21.20,21.20,20.90,21.05,75200,20.23
2014-07-16,21.25,21.45,20.80,21.00,69100,20.18
2014-07-15,21.05,21.10,20.80,21.00,43500,20.18
2014-07-14,20.85,21.15,20.70,20.85,13000,20.04
2014-07-11,21.45,21.45,20.80,20.85,41900,20.04
2014-07-10,21.80,21.80,20.80,21.40,49600,20.57
2014-07-09,21.75,21.75,21.00,21.15,51400,20.33
2014-07-08,22.40,22.45,21.55,21.85,34400,21.00
2014-07-07,22.75,22.75,22.40,22.50,37700,21.62
2014-07-04,22.90,22.90,22.15,22.40,72200,21.53
2014-07-03,23.50,23.50,22.05,22.35,19900,21.48
2014-07-02,22.50,22.85,22.50,22.60,46500,21.72
2014-07-01,22.75,23.00,22.50,22.60,41100,21.72
2014-06-30,22.50,23.25,22.50,22.90,78700,22.01
2014-06-27,22.40,22.50,22.20,22.30,32800,21.43
2014-06-26,22.60,22.80,22.10,22.20,71700,21.34
2014-06-25,23.25,23.50,22.40,22.70,125100,21.82
2014-06-24,23.10,23.55,23.00,23.20,117500,22.30
2014-06-23,24.25,24.25,22.90,23.05,315800,22.15
2014-06-20,21.70,23.75,21.70,23.45,237800,22.54
2014-06-19,22.25,22.50,21.50,21.95,42300,21.09
2014-06-18,22.50,22.80,21.50,21.90,39800,21.05
2014-06-17,22.00,22.45,21.75,22.35,37200,21.48
2014-06-16,22.30,22.30,21.20,21.90,43800,21.05
2014-06-13,23.60,23.75,22.10,22.40,153800,21.53
2014-06-12,23.20,24.15,23.20,23.55,173900,22.63
2014-06-11,24.40,24.50,23.20,23.40,107100,22.49
2014-06-10,24.05,24.70,23.10,23.90,242100,22.97
2014-06-09,23.45,24.55,22.85,24.45,279500,23.50
