Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,168.40,168.40,164.00,166.40,171200,166.40
2015-01-20,167.15,171.85,166.20,167.15,130800,167.15
2015-01-19,164.95,170.50,164.75,167.80,169400,167.80
2015-01-16,167.55,169.65,163.00,163.75,129000,163.75
2015-01-15,170.00,172.15,164.80,168.10,166500,168.10
2015-01-14,164.50,169.80,164.50,168.20,167400,168.20
2015-01-13,161.00,170.55,160.05,166.65,435000,166.65
2015-01-12,165.05,167.35,158.65,159.55,188900,159.55
2015-01-09,169.00,171.95,163.10,164.65,193500,164.65
2015-01-08,169.95,171.80,166.40,167.75,110000,167.75
2015-01-07,169.45,170.00,162.60,166.45,130700,166.45
2015-01-06,173.00,173.00,166.95,168.25,81000,168.25
2015-01-05,177.05,178.00,172.50,174.65,151500,174.65
2015-01-02,177.40,180.90,174.60,176.30,233900,176.30
2015-01-01,171.50,179.50,170.45,175.85,166100,175.85
2014-12-31,167.90,173.20,167.90,171.35,120900,171.35
2014-12-30,169.05,171.00,168.10,168.50,60800,168.50
2014-12-29,171.70,173.80,168.30,169.50,83000,169.50
2014-12-26,171.40,175.70,169.20,170.65,104500,170.65
2014-12-25,170.25,170.25,170.25,170.25,000,170.25
2014-12-24,171.00,173.40,169.20,170.25,102600,170.25
2014-12-23,178.00,181.00,169.90,170.80,186900,170.80
2014-12-22,181.30,182.55,176.00,176.80,150600,176.80
2014-12-19,193.20,193.20,177.50,180.55,293600,180.55
2014-12-18,165.25,195.00,165.25,192.40,543700,192.40
2014-12-17,176.90,178.95,159.30,164.15,176600,164.15
2014-12-16,185.50,188.50,176.35,177.75,119400,177.75
2014-12-15,186.00,191.40,182.50,185.60,116100,185.60
2014-12-12,199.00,200.00,186.95,187.10,175000,187.10
2014-12-11,199.05,199.90,194.50,196.35,56600,196.35
2014-12-10,197.05,201.90,197.05,198.75,92400,198.75
2014-12-09,206.00,210.20,195.05,196.00,171100,196.00
2014-12-08,212.00,218.25,204.85,205.95,190200,205.95
2014-12-05,207.00,224.90,207.00,210.35,551800,210.35
2014-12-04,199.00,209.00,198.50,205.95,256100,205.95
2014-12-03,199.00,200.75,196.10,197.85,90700,197.85
2014-12-02,196.60,200.40,195.00,197.85,52600,197.85
2014-12-01,203.90,203.90,196.10,196.95,71300,196.95
2014-11-28,200.05,207.80,200.00,202.95,491900,202.95
2014-11-27,201.75,203.50,198.60,199.70,51100,199.70
2014-11-26,197.00,203.30,192.00,200.70,107600,200.70
2014-11-25,202.15,202.15,190.00,197.05,84300,197.05
2014-11-24,203.00,204.20,199.50,201.30,78900,201.30
2014-11-21,208.00,208.00,200.00,201.20,112200,201.20
2014-11-20,201.00,210.60,200.05,207.30,242400,207.30
2014-11-19,203.50,203.55,198.05,199.60,90700,199.60
2014-11-18,202.90,207.40,201.40,202.55,152800,202.55
2014-11-17,202.00,205.90,200.00,201.15,72600,201.15
2014-11-14,201.70,205.50,197.50,200.95,93800,200.95
2014-11-13,208.80,209.90,199.00,201.45,115600,201.45
2014-11-12,213.80,217.90,206.45,207.65,150600,207.65
2014-11-11,199.50,216.00,199.00,211.40,336000,211.40
2014-11-10,199.95,206.40,197.00,197.65,173200,197.65
2014-11-07,202.65,208.15,195.10,196.50,79800,196.50
2014-11-06,202.65,202.65,202.65,202.65,000,202.65
2014-11-05,207.05,210.70,201.30,202.65,121700,202.65
2014-11-04,207.15,207.15,207.15,207.15,000,207.15
2014-11-03,190.00,215.80,187.55,207.15,258200,207.15
2014-10-31,184.75,189.80,184.75,188.00,40000,188.00
2014-10-30,184.15,189.90,183.10,184.75,30200,184.75
2014-10-29,188.80,189.55,182.00,183.10,101400,183.10
2014-10-28,187.35,192.00,187.30,188.30,43800,188.30
2014-10-27,193.70,196.00,185.00,186.30,33800,186.30
2014-10-24,186.10,186.10,186.10,186.10,000,186.10
2014-10-23,186.10,186.10,186.10,186.10,000,186.10
2014-10-22,184.95,190.30,180.20,186.10,28000,186.10
2014-10-21,186.20,188.20,182.05,182.85,27300,182.85
2014-10-20,188.20,190.00,180.00,186.10,39400,186.10
2014-10-17,174.00,184.20,166.70,184.20,249800,184.20
2014-10-16,178.10,181.90,175.45,175.45,34600,175.45
2014-10-15,184.65,184.65,184.65,184.65,000,184.65
2014-10-14,189.50,194.00,184.45,184.65,68300,184.65
2014-10-13,202.05,203.65,194.15,194.15,47500,194.15
2014-10-10,209.00,215.85,203.30,204.35,62500,204.35
2014-10-09,205.00,214.50,194.75,213.95,97400,213.95
2014-10-08,244.80,253.35,236.50,246.95,779300,246.95
2014-10-07,262.00,269.85,244.50,246.95,517500,246.95
2014-10-06,262.45,262.45,262.45,262.45,000,262.45
2014-10-03,262.45,262.45,262.45,262.45,000,262.45
2014-10-02,262.45,262.45,262.45,262.45,000,262.45
2014-10-01,253.75,267.75,251.90,262.45,601700,262.45
2014-09-30,256.25,262.70,248.65,251.95,471100,251.95
2014-09-29,269.80,270.75,255.00,257.65,1109600,257.65
2014-09-26,254.00,270.00,237.40,263.30,1020200,263.30
2014-09-25,252.75,256.35,241.45,252.65,460300,252.65
2014-09-24,257.80,262.90,241.50,249.85,559900,249.85
2014-09-23,257.50,278.00,251.85,256.85,1092800,256.85
2014-09-22,260.00,263.40,255.05,256.60,385900,256.60
2014-09-19,265.00,271.85,256.10,263.80,901100,263.80
2014-09-18,232.60,270.00,229.95,264.30,1518200,264.30
2014-09-17,227.00,234.65,227.00,232.00,190300,232.00
2014-09-16,234.00,247.80,223.15,225.05,447900,225.05
2014-09-15,238.70,239.35,232.00,233.30,136200,233.30
2014-09-12,237.65,244.55,237.00,240.00,247300,240.00
2014-09-11,224.40,241.00,224.40,235.15,534000,235.15
2014-09-10,222.00,229.80,219.60,223.85,185300,223.85
2014-09-09,224.00,226.75,220.60,221.55,87300,221.55
2014-09-08,222.40,232.70,218.25,224.20,457700,224.20
2014-09-05,222.95,224.10,219.00,220.45,85200,220.45
2014-09-04,221.20,224.85,217.30,222.00,96900,222.00
2014-09-03,221.70,226.50,220.40,222.00,208700,222.00
2014-09-02,216.05,223.10,215.65,220.00,208700,220.00
2014-09-01,216.00,217.30,213.00,215.50,98800,215.50
2014-08-29,214.70,214.70,214.70,214.70,000,214.70
2014-08-28,219.80,219.80,212.10,214.70,108700,214.70
2014-08-27,218.95,221.25,215.60,217.85,117400,217.85
2014-08-26,218.05,221.60,215.50,217.55,103400,217.55
2014-08-25,221.40,227.70,219.05,220.85,185600,220.85
2014-08-22,227.45,228.60,216.80,220.10,255300,220.10
2014-08-21,230.30,234.50,224.35,226.85,293500,226.85
2014-08-20,215.00,230.90,214.35,228.60,414800,228.60
2014-08-19,222.20,222.90,215.10,215.60,125700,215.60
2014-08-18,211.00,222.40,209.35,220.25,186200,220.25
2014-08-15,210.00,210.00,210.00,210.00,000,210.00
2014-08-14,208.80,212.05,206.00,210.00,84000,210.00
2014-08-13,214.40,215.00,207.00,208.45,91300,208.45
2014-08-12,214.95,216.15,212.00,214.75,91100,214.75
2014-08-11,209.55,216.30,208.00,212.95,192500,212.95
2014-08-08,212.00,213.10,206.10,207.25,90500,207.25
2014-08-07,212.45,216.90,212.00,213.10,148400,213.10
2014-08-06,214.70,217.80,211.00,211.55,144400,211.55
2014-08-05,217.95,218.45,213.05,215.25,70000,215.25
2014-08-04,215.00,218.40,214.00,216.60,119800,216.60
2014-08-01,210.90,219.55,209.50,213.45,192500,213.45
2014-07-31,212.70,217.00,210.60,212.65,145300,212.65
2014-07-30,216.00,216.80,209.50,211.55,136100,211.55
2014-07-29,216.55,216.55,216.55,216.55,000,216.55
2014-07-28,221.65,223.80,215.30,216.55,145000,216.55
2014-07-25,217.00,222.30,210.15,219.55,321700,219.55
2014-07-24,214.95,222.50,209.10,217.15,640300,217.15
2014-07-23,232.40,236.35,213.00,214.00,919900,214.00
2014-07-22,232.40,235.45,228.75,231.65,229800,231.65
2014-07-21,229.80,238.05,229.35,232.50,211700,232.50
2014-07-18,226.80,236.80,225.00,229.20,398800,229.20
2014-07-17,226.75,231.00,223.00,226.75,207600,226.75
2014-07-16,230.00,231.60,224.00,225.10,292000,225.10
2014-07-15,223.80,232.00,222.80,227.65,428400,227.65
2014-07-14,215.40,223.75,211.40,221.05,416400,221.05
2014-07-11,232.00,238.70,211.15,216.20,830000,216.20
2014-07-10,254.40,254.70,227.80,231.60,747700,231.60
2014-07-09,245.50,266.80,245.00,258.05,1484800,251.80
2014-07-08,243.90,264.00,239.00,243.95,1560500,238.04
2014-07-07,234.50,246.40,232.30,242.45,1101400,236.58
