Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,147.45,147.95,146.05,146.85,113200,146.85
2015-01-20,148.00,149.90,146.75,146.90,165200,146.90
2015-01-19,147.35,148.50,144.45,147.95,304700,147.95
2015-01-16,142.00,148.90,140.70,147.35,423800,147.35
2015-01-15,137.70,143.00,136.65,142.55,424500,142.55
2015-01-14,136.00,136.65,134.85,136.10,74700,136.10
2015-01-13,137.20,137.55,135.30,135.80,153600,135.80
2015-01-12,139.00,139.10,135.70,136.45,184000,136.45
2015-01-09,137.50,139.45,136.90,138.20,135600,138.20
2015-01-08,138.00,138.70,136.35,138.30,100900,138.30
2015-01-07,135.15,138.30,133.65,137.75,643500,137.75
2015-01-06,137.70,138.80,134.50,135.35,184000,135.35
2015-01-05,138.70,139.90,136.40,139.10,210800,139.10
2015-01-02,137.50,139.35,137.50,138.70,110500,138.70
2015-01-01,138.00,138.30,136.85,137.15,71400,137.15
2014-12-31,138.25,140.05,137.45,138.05,166200,138.05
2014-12-30,138.00,138.50,137.20,137.70,90900,137.70
2014-12-29,137.50,139.35,136.60,136.90,88800,136.90
2014-12-26,138.25,139.70,136.50,137.05,172500,137.05
2014-12-25,136.15,136.15,136.15,136.15,000,136.15
2014-12-24,138.50,138.70,134.45,136.15,122600,136.15
2014-12-23,136.90,139.75,136.65,139.30,246700,139.30
2014-12-22,136.90,136.90,134.80,136.50,125400,136.50
2014-12-19,132.00,136.00,130.85,135.65,142800,135.65
2014-12-18,131.60,133.30,129.75,131.65,189900,131.65
2014-12-17,132.00,134.20,129.80,131.25,169500,131.25
2014-12-16,133.90,134.75,132.30,133.10,127400,133.10
2014-12-15,133.50,135.15,133.10,134.40,105100,134.40
2014-12-12,137.00,137.00,133.80,134.80,109800,134.80
2014-12-11,137.40,138.00,134.75,135.60,110400,135.60
2014-12-10,134.65,137.65,134.65,137.15,168600,137.15
2014-12-09,136.00,136.75,134.60,134.90,111200,134.90
2014-12-08,136.05,138.35,135.80,136.15,137300,136.15
2014-12-05,136.65,138.15,135.80,136.35,126300,136.35
2014-12-04,137.45,137.80,135.80,136.55,97800,136.55
2014-12-03,138.00,138.85,136.75,137.15,125900,137.15
2014-12-02,138.35,139.10,136.60,137.90,131400,137.90
2014-12-01,141.05,142.85,138.00,138.35,77000,138.35
2014-11-28,139.10,143.35,139.10,142.15,221700,142.15
2014-11-27,139.50,142.20,139.50,140.55,127500,140.55
2014-11-26,138.30,140.50,138.05,139.05,159900,139.05
2014-11-25,142.00,142.00,136.05,139.20,376500,139.20
2014-11-24,145.00,145.55,141.30,142.15,195800,142.15
2014-11-21,145.90,147.10,145.00,146.40,457300,146.40
2014-11-20,145.60,146.50,144.10,146.00,135100,146.00
2014-11-19,149.00,150.00,145.25,146.35,132600,146.35
2014-11-18,147.00,149.75,146.10,148.30,236700,148.30
2014-11-17,144.80,147.00,143.70,146.75,199700,146.75
2014-11-14,144.50,145.80,142.95,143.70,176200,143.70
2014-11-13,143.00,145.10,143.00,144.50,162100,144.50
2014-11-12,147.00,148.00,142.00,142.90,221100,142.90
2014-11-11,149.20,150.85,146.95,147.45,442500,147.45
2014-11-10,144.00,149.20,142.85,148.20,308000,148.20
2014-11-07,142.00,145.20,142.00,144.90,235300,144.90
2014-11-06,142.55,142.55,142.55,142.55,000,142.55
2014-11-05,143.05,145.70,142.20,142.55,138800,142.55
2014-11-04,144.80,144.80,144.80,144.80,000,144.80
2014-11-03,146.00,149.95,144.60,144.80,265000,144.80
2014-10-31,144.50,145.75,143.80,145.30,549000,145.30
2014-10-30,142.50,144.80,141.85,144.20,319700,144.20
2014-10-29,142.10,143.95,140.85,142.60,393900,142.60
2014-10-28,141.80,142.60,139.85,142.25,266300,142.25
2014-10-27,139.65,145.00,139.65,141.90,656100,141.90
2014-10-24,139.50,139.50,139.50,139.50,000,139.50
2014-10-23,139.50,139.50,139.50,139.50,000,139.50
2014-10-22,140.00,141.45,138.80,139.50,151700,139.50
2014-10-21,134.20,140.65,134.20,139.85,273200,139.85
2014-10-20,134.75,136.45,134.30,135.05,307800,135.05
2014-10-17,133.95,135.45,133.70,134.05,169600,134.05
2014-10-16,135.80,136.00,132.85,133.80,221600,133.80
2014-10-15,135.85,135.85,135.85,135.85,000,135.85
2014-10-14,135.00,136.80,134.30,135.85,309300,135.85
2014-10-13,135.90,136.35,134.60,135.00,3125300,135.00
2014-10-10,138.00,138.00,135.70,135.90,108600,135.90
2014-10-09,138.00,138.75,137.25,137.95,133500,137.95
2014-10-08,137.95,138.40,136.85,137.65,330800,137.65
2014-10-07,135.10,137.90,135.00,137.50,547500,137.50
2014-10-06,135.85,135.85,135.85,135.85,000,135.85
2014-10-03,135.85,135.85,135.85,135.85,000,135.85
2014-10-02,135.85,135.85,135.85,135.85,000,135.85
2014-10-01,137.00,138.30,134.75,135.85,277100,135.85
