Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,15.80,16.90,15.10,16.50,449700,16.50
2015-01-20,15.40,16.00,15.10,15.50,281000,15.50
2015-01-19,15.00,16.00,14.75,15.20,352300,15.20
2015-01-16,16.10,16.80,14.90,15.26,1367800,15.26
2015-01-15,13.50,15.86,13.40,15.74,2027300,15.74
2015-01-14,13.92,14.05,13.10,13.22,178100,13.22
2015-01-13,14.90,14.99,13.70,13.90,432700,13.90
2015-01-12,14.25,15.05,13.80,14.73,900300,14.73
2015-01-09,12.51,14.16,12.51,13.81,501200,13.81
2015-01-08,12.00,12.70,11.83,12.53,65700,12.53
2015-01-07,11.90,12.19,11.63,11.73,29300,11.73
2015-01-06,12.50,12.50,11.90,12.00,101400,12.00
2015-01-05,12.87,13.40,12.50,12.83,104200,12.83
2015-01-02,11.74,13.10,11.74,12.63,362200,12.63
2015-01-01,11.50,11.75,11.25,11.55,92400,11.55
2014-12-31,11.28,11.49,11.16,11.39,36900,11.39
2014-12-30,11.25,11.25,10.80,11.11,20800,11.11
2014-12-29,11.00,11.19,10.75,10.96,47100,10.96
2014-12-26,10.70,11.30,10.70,10.79,16900,10.79
2014-12-25,10.87,10.87,10.87,10.87,000,10.87
2014-12-24,11.00,11.30,10.75,10.87,24700,10.87
2014-12-23,11.00,11.23,11.00,11.03,21700,11.03
2014-12-22,11.00,11.32,10.99,11.17,82800,11.17
2014-12-19,11.00,11.69,10.55,10.71,29000,10.71
2014-12-18,10.30,11.00,10.12,10.97,50900,10.97
2014-12-17,10.20,10.20,9.50,10.10,121200,10.10
2014-12-16,10.50,10.50,10.00,10.02,82300,10.02
2014-12-15,10.50,11.00,10.21,10.68,36700,10.68
2014-12-12,10.66,11.00,10.55,10.59,47700,10.59
2014-12-11,10.70,10.90,10.62,10.70,26300,10.70
2014-12-10,10.85,10.99,10.61,10.85,23700,10.85
2014-12-09,11.50,11.50,10.89,10.96,42300,10.96
2014-12-08,11.70,11.89,11.10,11.22,39000,11.22
2014-12-05,11.60,11.94,11.30,11.59,31800,11.59
2014-12-04,11.47,11.70,11.47,11.53,48600,11.53
2014-12-03,11.50,11.80,11.28,11.66,57000,11.66
2014-12-02,11.50,11.94,11.40,11.49,44800,11.49
2014-12-01,12.00,12.30,11.39,11.49,62100,11.49
2014-11-28,11.50,12.10,11.50,11.97,76600,11.97
2014-11-27,11.70,11.90,11.30,11.48,32000,11.48
2014-11-26,11.70,11.98,11.43,11.75,37400,11.75
2014-11-25,11.82,11.82,11.40,11.44,85700,11.44
2014-11-24,12.20,12.50,11.70,11.99,113500,11.99
2014-11-21,12.35,12.35,11.60,12.02,185800,12.02
2014-11-20,12.20,12.35,11.60,11.91,72800,11.91
2014-11-19,12.90,12.90,11.90,11.98,111600,11.98
2014-11-18,12.45,12.79,12.02,12.30,151100,12.30
2014-11-17,12.20,12.50,11.90,12.33,168000,12.33
2014-11-14,13.25,13.25,12.10,12.25,773800,12.25
2014-11-13,11.60,12.40,10.95,12.35,1697500,12.35
2014-11-12,10.60,10.60,10.25,10.34,100800,10.34
2014-11-11,10.30,10.45,10.24,10.28,91800,10.28
2014-11-10,10.45,10.49,10.05,10.28,134700,10.28
2014-11-07,10.25,10.70,10.14,10.28,339300,10.28
2014-11-06,10.14,10.14,10.14,10.14,000,10.14
2014-11-05,9.98,10.25,9.72,10.14,228400,10.14
2014-11-04,9.82,9.82,9.82,9.82,000,9.82
2014-11-03,9.95,10.00,9.66,9.82,145100,9.82
2014-10-31,9.60,9.90,9.30,9.81,773600,9.81
2014-10-30,9.52,9.60,9.25,9.33,533900,9.33
2014-10-29,10.00,10.02,9.47,9.56,365400,9.56
2014-10-28,10.40,10.40,9.83,9.90,720600,9.90
2014-10-27,10.38,10.68,9.80,10.00,428200,10.00
2014-10-24,9.81,9.81,9.81,9.81,000,9.81
2014-10-23,9.81,9.81,9.81,9.81,000,9.81
2014-10-22,10.40,10.49,9.70,9.81,95400,9.81
2014-10-21,10.38,10.38,9.86,10.02,107400,10.02
2014-10-20,10.40,10.71,9.90,10.05,177500,10.05
2014-10-17,10.50,10.50,10.00,10.17,161800,10.17
2014-10-16,11.00,11.40,9.99,10.05,543100,10.05
2014-10-15,10.54,10.54,10.54,10.54,000,10.54
2014-10-14,11.34,11.49,10.45,10.54,692500,10.54
2014-10-13,12.39,12.39,10.81,11.08,2204400,11.08
2014-10-10,10.55,11.30,9.95,10.33,155900,10.33
2014-10-09,10.50,11.10,10.10,10.53,187700,10.53
2014-10-08,10.40,10.40,9.62,10.10,14200,10.10
2014-10-07,10.10,10.70,9.80,9.99,28000,9.99
2014-10-06,10.00,10.00,10.00,10.00,000,10.00
2014-10-03,10.00,10.00,10.00,10.00,000,10.00
2014-10-02,10.00,10.00,10.00,10.00,000,10.00
2014-10-01,10.10,10.22,9.78,10.00,8900,10.00
2014-09-30,10.40,11.20,9.51,9.95,22300,9.95
2014-09-29,10.00,10.50,9.96,10.30,5200,10.30
2014-09-26,10.25,10.74,9.43,9.87,18700,9.87
2014-09-25,10.40,10.94,10.01,10.10,49500,10.10
2014-09-24,10.02,10.85,10.02,10.29,37100,10.29
2014-09-23,10.50,11.34,10.01,10.15,106900,10.15
2014-09-22,10.80,10.80,10.03,10.38,33300,10.38
2014-09-19,11.00,11.25,10.22,10.33,127800,10.33
2014-09-18,10.00,10.75,9.60,10.74,99000,10.74
2014-09-17,9.75,10.00,9.26,9.78,44600,9.78
2014-09-16,11.25,11.40,9.88,9.89,223800,9.89
2014-09-15,11.50,11.89,10.65,10.97,117300,10.97
2014-09-12,9.75,11.43,9.75,11.40,402700,11.40
2014-09-11,8.70,9.70,8.35,9.53,248600,9.53
2014-09-10,8.50,8.65,8.01,8.46,114200,8.46
2014-09-09,8.57,9.00,8.06,8.15,123600,8.15
2014-09-08,8.25,9.40,7.90,8.57,99400,8.57
2014-09-05,8.13,8.28,7.80,8.06,35500,8.06
2014-09-04,7.76,8.20,7.60,7.79,27400,7.79
2014-09-03,8.10,8.25,7.83,8.04,48500,8.04
2014-09-02,7.11,8.30,7.11,8.01,159000,8.01
2014-09-01,6.75,7.19,6.70,6.99,98600,6.99
2014-08-29,6.71,6.71,6.71,6.71,000,6.71
2014-08-28,6.89,6.98,6.60,6.71,41900,6.71
2014-08-27,6.89,6.90,6.63,6.70,59000,6.70
2014-08-26,7.00,7.01,6.77,6.77,10100,6.77
2014-08-25,7.50,7.75,6.75,6.89,112600,6.69
2014-08-22,7.50,7.70,7.30,7.34,18600,7.13
2014-08-21,7.50,7.70,7.15,7.51,15400,7.29
2014-08-20,7.50,7.68,7.40,7.40,5200,7.19
2014-08-19,7.50,7.55,7.40,7.40,5400,7.19
2014-08-18,7.54,8.01,7.25,7.29,26900,7.08
2014-08-15,7.44,7.44,7.44,7.44,000,7.22
2014-08-14,7.39,7.44,7.15,7.44,5200,7.22
2014-08-13,7.60,7.73,7.00,7.15,10900,6.94
2014-08-12,8.19,8.19,7.55,7.57,65300,7.35
2014-08-11,8.15,8.45,7.80,7.90,69100,7.67
2014-08-08,7.30,8.50,7.30,8.00,60700,7.77
2014-08-07,7.60,7.60,7.25,7.42,6200,7.20
2014-08-06,7.25,7.88,7.25,7.60,9900,7.38
2014-08-05,7.56,7.80,7.36,7.43,28900,7.21
2014-08-04,7.75,7.87,7.50,7.70,20800,7.48
2014-08-01,8.00,8.00,7.50,7.75,23500,7.53
2014-07-31,8.00,8.10,7.40,7.84,30200,7.61
2014-07-30,8.00,8.00,7.66,7.78,17700,7.55
2014-07-29,8.00,8.00,8.00,8.00,000,7.77
2014-07-28,8.75,8.75,7.95,8.00,28500,7.77
2014-07-25,8.58,8.58,8.22,8.43,2900,8.19
2014-07-24,8.64,8.65,8.20,8.30,8800,8.06
2014-07-23,8.60,8.60,8.06,8.38,71400,8.14
2014-07-22,8.75,8.75,8.14,8.30,72400,8.06
2014-07-21,7.60,8.70,7.60,8.47,23400,8.22
2014-07-18,7.85,7.85,7.50,7.53,20800,7.31
2014-07-17,7.90,8.40,7.90,8.14,7100,7.90
2014-07-16,7.98,8.40,7.98,8.39,14800,8.15
2014-07-15,7.62,8.22,7.50,7.70,9300,7.48
2014-07-14,8.25,8.25,7.85,7.85,1200,7.62
2014-07-11,8.25,8.75,7.80,7.87,39600,7.64
2014-07-10,8.35,8.48,7.91,7.99,23300,7.76
2014-07-09,8.50,9.00,8.30,8.34,13100,8.10
2014-07-08,8.71,8.95,8.61,8.65,9900,8.40
2014-07-07,8.98,9.00,8.55,8.95,19600,8.69
2014-07-04,8.99,8.99,8.61,8.68,9800,8.43
2014-07-03,8.55,8.95,8.50,8.50,4600,8.25
2014-07-02,8.99,9.00,8.64,8.90,12500,8.64
2014-07-01,8.89,9.24,8.85,9.00,11300,8.74
2014-06-30,8.50,8.80,8.50,8.54,2100,8.29
2014-06-27,9.19,9.19,8.45,8.50,7200,8.25
2014-06-26,8.99,9.00,8.95,8.99,100,8.73
2014-06-25,8.90,8.90,8.70,8.70,3700,8.45
2014-06-24,9.05,9.05,8.61,8.65,12500,8.40
2014-06-23,9.05,9.05,8.72,8.90,6700,8.64
2014-06-20,9.15,9.15,8.80,9.04,12400,8.78
2014-06-19,8.99,9.00,8.56,8.94,5300,8.68
2014-06-18,9.19,9.19,8.56,8.62,14300,8.37
2014-06-17,8.45,9.24,8.45,8.84,30300,8.58
2014-06-16,8.70,8.70,8.51,8.55,13900,8.30
2014-06-13,8.55,8.97,8.10,8.40,20700,8.16
2014-06-12,8.89,9.01,8.77,8.79,7200,8.53
2014-06-11,9.38,9.38,8.50,8.90,20300,8.64
2014-06-10,8.86,9.10,8.75,8.80,9200,8.54
2014-06-09,9.00,9.25,8.90,9.00,23000,8.74
2014-06-06,9.25,9.35,8.50,8.71,37900,8.46
2014-06-05,9.00,9.45,9.00,9.09,65900,8.83
2014-06-04,8.30,9.05,8.30,8.77,33200,8.52
2014-06-03,9.00,9.10,8.30,8.45,28800,8.20
2014-06-02,8.30,8.80,8.30,8.69,48800,8.44
2014-05-30,8.10,8.10,7.55,7.55,2000,7.33
2014-05-29,8.00,8.21,7.65,7.92,5100,7.69
2014-05-28,7.75,8.57,7.25,7.77,11800,7.54
2014-05-27,8.00,8.17,7.00,7.52,2500,7.30
2014-05-26,8.90,9.00,7.56,7.80,37800,7.57
2014-05-23,9.00,9.25,8.60,8.79,21900,8.53
2014-05-22,8.75,9.17,8.35,8.75,23900,8.50
2014-05-21,8.20,8.45,7.40,8.40,34300,8.16
2014-05-20,6.80,8.10,6.75,7.98,31400,7.75
2014-05-19,6.49,7.00,6.30,6.99,39100,6.79
2014-05-16,6.25,7.00,6.00,6.25,8400,6.07
2014-05-15,6.40,6.60,6.12,6.34,2800,6.16
2014-05-14,6.75,6.99,6.30,6.49,5500,6.30
2014-05-13,6.50,6.65,6.25,6.50,1400,6.31
2014-05-12,6.25,6.98,6.25,6.33,9400,6.15
2014-05-09,6.50,6.53,6.15,6.17,3900,5.99
2014-05-08,6.50,6.70,6.30,6.42,13900,6.23
2014-05-07,6.09,6.39,6.04,6.38,26100,6.19
2014-05-06,6.00,6.02,6.00,6.02,1300,5.85
2014-05-05,5.80,6.00,5.80,6.00,26500,5.83
2014-05-02,5.95,6.30,5.76,5.82,10800,5.65
2014-05-01,5.89,5.89,5.89,5.89,000,5.72
2014-04-30,5.90,6.00,5.75,5.89,3100,5.72
2014-04-29,6.00,6.00,5.70,5.80,46600,5.63
2014-04-28,6.00,6.05,5.86,5.87,33100,5.70
2014-04-25,6.25,6.25,5.83,5.90,21400,5.73
2014-04-24,6.39,6.39,6.39,6.39,000,6.20
2014-04-23,6.25,6.49,6.23,6.39,1700,6.20
2014-04-22,6.10,6.39,6.10,6.15,7000,5.97
2014-04-21,6.01,6.45,6.01,6.08,4200,5.90
2014-04-18,6.06,6.06,6.06,6.06,000,5.88
2014-04-17,6.25,6.29,6.01,6.06,148400,5.88
2014-04-16,6.40,6.40,6.06,6.08,24000,5.90
2014-04-15,6.00,6.70,6.00,6.38,21800,6.19
2014-04-14,6.13,6.13,6.13,6.13,000,5.95
2014-04-11,6.25,7.00,6.00,6.13,295000,5.95
2014-04-10,6.10,6.10,5.91,5.99,15500,5.82
2014-04-09,6.15,6.15,6.00,6.00,6100,5.83
2014-04-08,6.22,6.22,6.22,6.22,000,6.04
2014-04-07,5.99,6.23,5.99,6.22,11500,6.04
2014-04-04,5.90,6.06,5.85,5.90,10400,5.73
2014-04-03,6.22,6.22,5.90,5.90,17700,5.73
2014-04-02,6.21,6.24,5.96,6.07,7000,5.89
2014-04-01,6.50,6.50,5.91,6.05,22700,5.87
2014-03-31,6.00,6.50,6.00,6.26,21700,6.08
2014-03-28,5.76,5.90,5.76,5.90,2900,5.73
2014-03-27,6.15,6.20,5.83,5.99,2800,5.82
2014-03-26,6.00,6.19,5.83,6.00,123600,5.83
2014-03-25,5.85,5.95,5.68,5.89,252100,5.72
2014-03-24,5.90,6.00,5.80,5.85,2600,5.68
2014-03-21,6.25,6.70,5.90,6.27,800,6.09
2014-03-20,5.90,6.17,5.90,6.17,1200,5.99
2014-03-19,6.24,6.24,5.94,6.03,500,5.85
2014-03-18,6.20,6.20,5.81,6.13,1900,5.95
2014-03-17,6.00,6.00,6.00,6.00,000,5.83
2014-03-14,5.76,6.20,5.76,6.00,1800,5.83
2014-03-13,6.00,6.17,5.82,5.88,700,5.71
2014-03-12,6.10,6.19,5.84,5.85,800,5.68
2014-03-11,6.05,6.20,5.94,5.95,700,5.78
2014-03-10,6.00,6.25,5.80,6.00,15000,5.83
2014-03-07,6.20,6.20,5.80,5.91,8200,5.74
2014-03-06,5.78,6.74,5.75,6.20,3900,6.02
2014-03-05,5.99,5.99,5.78,5.99,000,5.82
2014-03-04,5.60,6.00,5.30,5.98,4600,5.81
2014-03-03,6.00,6.00,5.60,5.66,2900,5.50
2014-02-28,5.75,6.10,5.75,5.84,3100,5.67
2014-02-27,5.92,5.92,5.92,5.92,000,5.75
2014-02-26,5.75,5.95,5.61,5.92,6800,5.75
