Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,67.60,67.60,64.70,64.90,423300,64.90
2015-01-20,69.80,71.45,66.90,67.30,1027700,67.30
2015-01-19,64.10,69.60,63.90,68.90,1619500,68.90
2015-01-16,64.00,64.80,63.60,63.75,242200,63.75
2015-01-15,65.00,65.55,63.85,64.00,287100,64.00
2015-01-14,66.10,67.55,63.90,64.10,540100,64.10
2015-01-13,65.40,67.15,65.40,66.05,280900,66.05
2015-01-12,66.00,66.60,65.50,65.65,339800,65.65
2015-01-09,66.85,67.30,65.40,65.70,334400,65.70
2015-01-08,67.80,68.65,66.20,66.85,386100,66.85
2015-01-07,66.00,69.35,65.60,67.25,1016000,67.25
2015-01-06,67.00,68.15,65.50,65.85,379900,65.85
2015-01-05,67.70,69.05,67.10,67.35,209500,67.35
2015-01-02,68.85,70.50,68.05,68.30,528400,68.30
2015-01-01,67.90,69.80,67.90,68.70,260100,68.70
2014-12-31,68.90,69.00,68.15,68.40,158100,68.40
2014-12-30,67.40,69.80,67.30,68.45,451100,68.45
2014-12-29,68.80,69.25,67.55,67.75,182900,67.75
2014-12-26,68.60,70.40,67.85,68.60,484800,68.60
2014-12-25,67.80,67.80,67.80,67.80,000,67.80
2014-12-24,67.75,69.35,67.20,67.80,334100,67.80
2014-12-23,68.55,69.50,66.90,67.75,282600,67.75
2014-12-22,69.70,71.10,68.55,69.10,345700,69.10
2014-12-19,66.30,70.00,65.75,68.75,518600,68.75
2014-12-18,64.00,66.95,64.00,66.00,286700,66.00
2014-12-17,64.90,64.95,61.65,63.20,474500,63.20
2014-12-16,67.15,67.75,64.15,64.45,349300,64.45
2014-12-15,66.10,69.00,66.00,68.00,323500,68.00
2014-12-12,69.00,69.50,66.60,66.85,434400,66.85
2014-12-11,67.80,69.75,66.55,68.75,397900,68.75
2014-12-10,67.15,68.35,67.05,68.15,388600,68.15
2014-12-09,70.50,70.80,67.00,67.35,777100,67.35
2014-12-08,69.90,71.20,68.60,69.90,997700,69.90
2014-12-05,67.80,69.90,67.55,68.15,451700,68.15
2014-12-04,69.30,69.40,67.70,68.20,211200,68.20
2014-12-03,66.10,69.30,66.10,68.65,416900,68.65
2014-12-02,65.70,66.85,65.15,66.20,341500,66.20
2014-12-01,67.20,67.45,65.20,66.25,253000,66.25
2014-11-28,65.00,68.35,65.00,66.75,481700,66.75
2014-11-27,66.05,66.25,64.75,65.00,360300,65.00
2014-11-26,65.90,66.95,65.00,65.80,340500,65.80
