Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,80.90,81.00,79.10,80.00,928100,80.00
2015-01-20,79.90,82.25,79.10,80.55,1255300,80.55
2015-01-19,78.55,80.95,77.90,79.65,901400,79.65
2015-01-16,78.50,78.80,77.20,78.25,781400,78.25
2015-01-15,76.00,78.90,75.35,78.30,1228900,78.30
2015-01-14,76.50,77.45,75.10,75.40,800400,75.40
2015-01-13,78.10,78.50,75.95,76.45,776500,76.45
2015-01-12,77.55,78.40,76.20,77.90,952300,77.90
2015-01-09,79.40,79.80,76.10,77.10,1162000,77.10
2015-01-08,79.30,80.20,78.20,78.70,968500,78.70
2015-01-07,79.50,80.70,77.90,78.35,911800,78.35
2015-01-06,82.00,83.15,79.20,79.65,1649600,79.65
2015-01-05,82.25,83.65,81.25,81.70,801200,81.70
2015-01-02,83.15,84.00,82.30,82.85,975300,82.85
2015-01-01,79.50,84.20,79.50,83.25,1580400,83.25
2014-12-31,79.25,80.60,79.25,80.10,535000,80.10
2014-12-30,81.00,81.50,79.20,79.90,822900,79.90
2014-12-29,81.00,82.45,80.55,80.75,840300,80.75
2014-12-26,79.90,81.40,78.55,80.45,1182500,80.45
2014-12-25,79.35,79.35,79.35,79.35,000,79.35
2014-12-24,79.10,81.35,77.70,79.35,1545600,79.35
2014-12-23,82.20,82.80,78.90,79.20,1291000,79.20
2014-12-22,83.40,83.80,81.60,82.20,732800,82.20
2014-12-19,86.70,86.85,82.20,82.95,1152800,82.95
2014-12-18,84.50,86.75,84.30,85.75,739500,85.75
2014-12-17,83.50,84.30,80.60,83.15,1304400,83.15
2014-12-16,86.50,86.50,82.85,83.80,1251400,83.80
2014-12-15,88.90,89.25,86.25,87.00,1179800,87.00
2014-12-12,93.50,93.90,89.10,89.70,1263000,89.70
2014-12-11,96.00,96.20,92.10,92.60,1233700,92.60
2014-12-10,95.90,98.30,95.15,95.60,1010900,95.60
2014-12-09,99.40,100.55,95.20,95.85,1321700,95.85
2014-12-08,103.00,103.00,98.70,99.05,872400,99.05
2014-12-05,101.80,105.80,100.35,102.50,1541800,102.50
2014-12-04,102.90,103.40,100.40,101.20,519500,101.20
2014-12-03,101.30,103.40,101.30,102.65,623500,102.65
2014-12-02,100.95,101.95,99.30,101.20,768000,101.20
2014-12-01,103.00,113.10,99.35,100.00,844600,100.00
2014-11-28,107.00,107.15,102.50,102.85,927000,102.85
2014-11-27,103.40,106.75,102.30,106.35,1145000,106.35
2014-11-26,101.55,104.70,101.50,103.00,688200,103.00
2014-11-25,106.25,107.65,99.50,102.35,1338800,102.35
2014-11-24,110.50,111.50,106.60,107.15,759500,107.15
2014-11-21,109.10,111.30,107.40,108.80,1069400,108.80
2014-11-20,109.80,110.75,105.80,109.45,1319400,109.45
2014-11-19,115.55,116.35,108.25,109.75,2116600,109.75
2014-11-18,105.30,117.40,105.25,115.15,4169500,115.15
2014-11-17,102.60,105.60,101.50,105.20,779500,105.20
2014-11-14,102.80,104.50,101.00,102.90,719100,102.90
2014-11-13,106.90,107.00,101.70,102.80,939900,102.80
2014-11-12,108.00,108.80,106.05,106.85,634700,106.85
2014-11-11,106.60,108.25,105.25,107.75,691700,107.75
2014-11-10,108.70,109.70,105.95,106.50,974900,106.50
2014-11-07,106.00,109.50,104.80,108.55,857300,108.55
2014-11-06,106.15,106.15,106.15,106.15,000,106.15
2014-11-05,109.00,110.20,105.25,106.15,752700,106.15
2014-11-04,108.70,108.70,108.70,108.70,000,108.70
2014-11-03,106.50,109.80,105.55,108.70,1425000,108.70
2014-10-31,103.50,108.30,102.60,106.10,1411500,106.10
2014-10-30,98.50,102.90,98.20,102.20,1075800,102.20
2014-10-29,98.70,99.00,97.90,98.30,714900,98.30
2014-10-28,99.70,99.85,97.20,98.05,603700,98.05
2014-10-27,103.90,104.00,99.00,99.40,568700,99.40
2014-10-24,102.80,102.80,102.80,102.80,000,102.80
2014-10-23,102.80,102.80,102.80,102.80,000,102.80
2014-10-22,102.65,103.50,102.15,102.80,473200,102.80
2014-10-21,100.80,102.10,99.70,101.60,875200,101.60
2014-10-20,101.00,102.00,99.20,99.90,618800,99.90
2014-10-17,100.80,100.80,98.35,99.45,745100,99.45
2014-10-16,101.60,103.50,97.65,98.70,954100,98.70
2014-10-15,101.00,101.00,101.00,101.00,000,101.00
2014-10-14,103.50,103.50,98.25,101.00,955200,101.00
2014-10-13,102.00,103.20,101.10,102.10,541400,102.10
2014-10-10,103.85,104.20,101.30,101.90,743100,101.90
2014-10-09,101.70,106.05,99.60,104.70,1587000,104.70
2014-10-08,96.50,100.60,95.00,99.85,1131200,99.85
2014-10-07,96.80,97.95,95.75,96.10,589100,96.10
2014-10-06,97.00,97.00,97.00,97.00,000,97.00
2014-10-03,97.00,97.00,97.00,97.00,000,97.00
2014-10-02,97.00,97.00,97.00,97.00,000,97.00
