Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,62.70,62.70,61.60,62.00,555900,62.00
2015-01-20,62.50,62.90,61.70,62.45,816900,62.45
2015-01-19,61.55,62.85,61.55,62.20,743600,62.20
2015-01-16,61.55,62.05,60.85,61.55,782700,61.55
2015-01-15,61.00,62.00,60.25,61.55,1104200,61.55
2015-01-14,60.40,60.65,58.90,60.05,1523500,60.05
2015-01-13,61.35,61.50,60.00,60.15,910100,60.15
2015-01-12,61.15,61.50,60.55,61.25,619400,61.25
2015-01-09,61.75,62.15,60.35,60.85,723000,60.85
2015-01-08,61.00,61.70,60.70,61.50,638400,61.50
2015-01-07,60.65,61.25,59.50,60.45,1170400,60.45
2015-01-06,63.05,63.05,60.65,60.90,1305800,60.90
2015-01-05,63.55,63.90,62.85,63.35,874800,63.35
2015-01-02,62.50,63.80,62.50,63.20,1084400,63.20
2015-01-01,61.50,63.10,61.50,62.40,1105600,62.40
2014-12-31,61.40,62.00,61.25,61.75,738200,61.75
2014-12-30,61.90,62.10,60.80,61.40,817300,61.40
2014-12-29,61.25,63.20,61.25,61.90,1174900,61.90
2014-12-26,61.00,61.50,60.40,61.05,1013400,61.05
2014-12-25,60.95,60.95,60.95,60.95,000,60.95
2014-12-24,60.50,61.95,59.75,60.95,1578900,60.95
2014-12-23,61.90,62.40,60.05,60.45,1073500,60.45
2014-12-22,61.65,62.10,61.10,61.85,683400,61.85
2014-12-19,63.00,63.10,61.05,61.40,1065200,61.40
2014-12-18,61.00,62.20,60.90,61.80,1002000,61.80
2014-12-17,59.50,60.80,58.40,59.90,1742900,59.90
2014-12-16,62.55,62.55,59.30,59.60,2723700,59.60
2014-12-15,62.80,63.35,62.30,62.45,890100,62.45
2014-12-12,64.00,64.35,62.80,63.00,1278900,63.00
2014-12-11,64.60,64.80,63.50,63.75,1013200,63.75
2014-12-10,64.00,65.55,63.85,64.75,842000,64.75
2014-12-09,65.50,66.00,64.05,64.30,1278400,64.30
2014-12-08,66.50,66.75,65.05,65.55,1103700,65.55
2014-12-05,66.00,67.70,65.85,66.35,1345100,66.35
2014-12-04,66.25,67.15,65.75,65.95,1189000,65.95
2014-12-03,66.15,67.45,66.15,66.70,1042900,66.70
2014-12-02,65.50,66.80,65.50,65.90,1494200,65.90
2014-12-01,67.65,67.90,65.80,66.00,1356500,66.00
2014-11-28,68.10,69.15,67.50,67.65,1455900,67.65
2014-11-27,68.70,68.95,67.50,68.30,1411800,68.30
2014-11-26,67.00,68.90,66.45,68.15,1922500,68.15
2014-11-25,71.00,71.30,66.00,67.10,3232000,67.10
2014-11-24,71.90,71.95,70.35,70.55,1122900,70.55
2014-11-21,71.80,72.90,70.75,71.05,1193600,71.05
2014-11-20,73.30,73.40,71.30,72.00,1091100,72.00
2014-11-19,76.00,76.20,72.75,73.10,2064600,73.10
2014-11-18,73.60,75.90,73.25,75.15,1993000,75.15
2014-11-17,72.00,73.50,71.65,73.20,999900,73.20
2014-11-14,72.70,72.70,71.60,71.95,1035600,71.95
2014-11-13,75.00,75.40,71.60,72.20,1297000,72.20
2014-11-12,76.20,76.45,74.30,74.55,1196900,74.55
2014-11-11,74.10,75.90,73.65,75.65,1028800,75.65
