Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,205.00,205.85,196.50,199.40,478500,199.40
2015-01-20,193.00,204.40,192.80,203.50,914800,203.50
2015-01-19,194.30,195.90,192.00,193.15,359200,193.15
2015-01-16,191.25,194.90,190.55,192.95,866400,192.95
2015-01-15,192.30,192.35,186.90,189.85,942600,189.85
2015-01-14,202.90,203.00,186.50,188.85,1176700,188.85
2015-01-13,206.25,208.75,203.25,204.45,334200,204.45
2015-01-12,207.55,208.00,204.20,205.85,310700,205.85
2015-01-09,212.90,213.00,206.15,207.45,348800,207.45
2015-01-08,213.00,213.00,206.00,210.30,448500,210.30
2015-01-07,208.05,211.85,204.30,209.20,424700,209.20
2015-01-06,219.30,219.30,207.20,208.65,562400,208.65
2015-01-05,223.90,225.00,218.50,219.85,422800,219.85
2015-01-02,220.05,224.25,219.60,222.10,392000,222.10
2015-01-01,213.50,219.55,212.20,219.10,320300,219.10
2014-12-31,212.50,215.25,211.75,214.10,180800,214.10
2014-12-30,215.70,215.70,211.10,212.40,249200,212.40
2014-12-29,208.50,217.30,208.50,215.30,569500,215.30
2014-12-26,203.30,208.70,202.50,207.40,286000,207.40
2014-12-25,205.35,205.35,205.35,205.35,000,205.35
2014-12-24,206.00,208.35,201.50,205.35,397700,205.35
2014-12-23,211.00,211.10,202.50,204.15,423700,204.15
2014-12-22,213.00,216.65,205.80,210.80,413400,210.80
2014-12-19,208.00,211.35,206.05,208.25,610400,208.25
2014-12-18,205.00,209.00,200.90,203.75,599400,203.75
2014-12-17,194.00,202.25,191.25,200.85,697800,200.85
2014-12-16,208.90,208.90,191.15,194.05,929000,194.05
2014-12-15,213.00,215.15,209.60,210.40,365300,210.40
2014-12-12,222.40,222.70,214.50,215.55,515300,215.55
2014-12-11,221.40,224.90,218.35,222.00,377100,222.00
2014-12-10,218.60,226.20,218.60,222.65,385200,222.65
2014-12-09,230.50,233.15,219.10,220.80,713700,220.80
2014-12-08,240.70,241.50,232.10,233.00,307800,233.00
2014-12-05,240.00,245.35,237.95,241.70,690900,241.70
2014-12-04,232.45,240.55,230.60,237.20,656900,237.20
2014-12-03,229.95,236.30,226.45,230.75,579100,230.75
2014-12-02,225.00,232.50,225.00,229.20,378100,229.20
2014-12-01,230.00,233.60,225.15,226.70,352900,226.70
2014-11-28,235.80,240.65,230.40,231.30,569200,231.30
2014-11-27,241.95,242.65,236.90,238.15,350700,238.15
2014-11-26,236.85,241.80,235.20,240.75,345300,240.75
