Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,62.80,63.45,61.80,62.70,297300,62.70
2015-01-20,61.80,63.50,61.10,61.65,615900,61.65
2015-01-19,55.50,61.10,55.20,60.50,679200,60.50
2015-01-16,55.55,56.15,53.75,54.75,414600,54.75
2015-01-15,59.90,60.00,53.20,56.35,317100,56.35
2015-01-14,60.10,60.65,58.10,58.70,194200,58.70
2015-01-13,61.20,61.80,59.50,59.85,167900,59.85
2015-01-12,61.00,61.70,59.70,60.15,203500,60.15
2015-01-09,62.05,62.90,60.50,60.80,139300,60.80
2015-01-08,61.00,61.65,60.85,61.15,156800,61.15
2015-01-07,62.00,62.05,59.60,59.85,237900,59.85
2015-01-06,63.90,63.90,61.30,61.50,218800,61.50
2015-01-05,63.10,65.80,63.10,64.25,261200,64.25
2015-01-02,63.20,64.25,62.60,62.95,175000,62.95
2015-01-01,62.25,63.90,61.45,62.85,152700,62.85
2014-12-31,62.00,62.80,61.15,62.15,146100,62.15
2014-12-30,60.00,62.30,59.80,61.60,250300,61.60
2014-12-29,62.55,63.60,59.35,59.75,325600,59.75
2014-12-26,63.05,63.45,61.90,62.20,210800,62.20
2014-12-25,62.75,62.75,62.75,62.75,000,62.75
2014-12-24,62.60,64.20,62.20,62.75,249900,62.75
2014-12-23,64.05,64.70,61.95,62.40,255500,62.40
2014-12-22,64.80,64.90,63.25,63.95,224500,63.95
2014-12-19,64.60,68.50,62.90,65.15,954800,65.15
2014-12-18,63.00,64.95,62.80,63.65,229200,63.65
2014-12-17,63.55,65.25,59.15,61.75,436100,61.75
2014-12-16,67.15,68.55,63.35,64.05,546600,64.05
2014-12-15,62.05,69.95,62.05,67.75,735800,67.75
2014-12-12,65.00,65.70,62.40,62.85,265100,62.85
2014-12-11,66.35,66.35,64.50,64.90,192000,64.90
2014-12-10,65.25,67.35,65.25,66.10,229300,66.10
2014-12-09,68.10,69.30,64.90,65.55,394500,65.55
2014-12-08,69.15,69.95,67.25,67.70,168400,67.70
2014-12-05,70.85,72.10,69.15,69.40,347200,69.40
2014-12-04,69.90,72.50,69.05,70.50,520800,70.50
2014-12-02,67.20,69.60,66.70,68.90,269700,68.90
2014-12-01,68.65,69.90,66.95,67.30,199100,67.30
