Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,16.75,16.95,16.35,16.40,14100,16.40
2015-01-20,16.55,16.80,16.40,16.80,14200,16.80
2015-01-19,16.45,17.00,16.15,16.50,60800,16.50
2015-01-16,16.75,16.80,16.30,16.45,21400,16.45
2015-01-15,17.40,17.50,16.55,16.70,15300,16.70
2015-01-14,16.80,17.05,16.50,16.55,15500,16.55
2015-01-13,16.50,17.15,16.30,16.45,22500,16.45
2015-01-12,17.50,17.50,16.85,16.90,9200,16.90
2015-01-09,17.50,17.50,16.55,17.05,33300,17.05
2015-01-08,17.80,18.05,15.80,17.05,111700,17.05
2015-01-07,16.50,17.25,16.20,16.45,29300,16.45
2015-01-06,16.55,17.85,16.55,17.05,31900,17.05
2015-01-05,19.30,19.45,17.55,17.65,97600,17.65
2015-01-02,18.80,19.15,17.65,18.95,237700,18.95
2015-01-01,17.45,17.45,16.65,17.45,71400,17.45
2014-12-31,16.65,16.65,16.65,16.65,9000,16.65
2014-12-30,15.65,15.90,15.60,15.90,19100,15.90
2014-12-29,14.90,15.15,14.90,15.15,15700,15.15
2014-12-26,14.40,14.80,14.15,14.45,13600,14.45
2014-12-25,14.65,14.65,14.65,14.65,000,14.65
2014-12-24,14.50,14.75,14.15,14.65,6900,14.65
2014-12-23,14.95,15.00,14.55,14.60,6600,14.60
2014-12-22,15.00,15.40,14.75,14.90,7700,14.90
2014-12-19,15.35,15.45,14.80,14.95,11900,14.95
2014-12-18,14.65,15.35,14.65,14.80,53200,14.80
2014-12-17,14.80,15.00,14.30,14.65,32600,14.65
2014-12-16,15.50,15.55,14.85,15.05,29000,15.05
2014-12-15,15.00,15.90,15.00,15.50,21400,15.50
2014-12-12,16.25,16.25,15.40,15.50,18900,15.50
2014-12-11,16.05,16.70,15.70,15.80,9100,15.80
2014-12-10,15.70,16.25,15.45,15.95,17200,15.95
2014-12-09,16.35,16.35,15.60,15.75,36800,15.75
2014-12-08,16.80,17.20,16.25,16.40,15200,16.40
2014-12-05,17.00,17.15,16.60,16.80,11300,16.80
2014-12-04,17.80,17.80,16.65,16.75,45300,16.75
2014-12-03,16.60,17.50,16.60,17.50,131500,17.50
2014-12-02,16.70,16.80,16.30,16.70,11700,16.70
2014-12-01,16.65,17.50,16.65,16.80,22900,16.80
2014-11-28,16.70,17.28,16.70,17.05,32800,17.05
2014-11-27,16.52,17.30,16.20,16.63,43200,16.63
2014-11-26,16.40,17.45,16.37,16.70,50700,16.70
2014-11-25,18.94,18.94,17.23,17.23,61900,17.23
2014-11-24,18.13,18.13,18.13,18.13,99300,18.13
2014-11-21,15.75,17.27,15.63,17.27,39900,17.27
2014-11-20,17.20,17.20,16.44,16.45,23500,16.45
2014-11-19,17.22,19.02,17.22,17.30,96000,17.30
2014-11-18,18.12,18.50,18.12,18.12,23800,18.12
2014-11-17,20.05,20.05,19.07,19.07,2700,19.07
2014-11-14,21.70,21.80,20.07,20.07,56500,20.07
2014-11-13,21.25,21.92,20.00,21.12,265400,21.12
2014-11-12,19.80,19.97,18.16,19.97,412400,19.97
2014-11-11,18.16,18.16,18.16,18.16,45000,18.16
2014-11-10,16.51,16.51,16.51,16.51,6100,16.51
2014-11-07,15.73,15.73,15.73,15.73,20700,15.73
2014-11-06,14.99,14.99,14.99,14.99,000,14.99
2014-11-05,14.98,14.99,14.22,14.99,39300,14.99
2014-11-04,14.28,14.28,14.28,14.28,000,14.28
2014-11-03,13.35,14.28,13.30,14.28,35300,14.28
2014-10-31,13.90,13.90,13.25,13.60,62300,13.60
2014-10-30,14.20,14.20,13.55,13.70,38500,13.70
2014-10-29,14.60,14.60,14.15,14.15,19400,14.15
2014-10-28,14.40,14.90,14.30,14.50,12600,14.50
2014-10-27,14.75,15.10,14.40,14.50,26700,14.50
2014-10-24,14.60,14.60,14.60,14.60,000,14.60
2014-10-23,14.60,14.60,14.60,14.60,000,14.60
2014-10-22,14.95,15.00,14.60,14.60,3200,14.60
2014-10-21,14.70,15.25,14.55,14.75,33100,14.75
2014-10-20,14.50,15.00,14.50,14.90,96200,14.90
2014-10-17,14.50,14.65,14.00,14.30,30300,14.30
2014-10-16,15.05,15.55,14.60,14.70,50600,14.70
2014-10-15,15.25,15.25,15.25,15.25,000,15.25
2014-10-14,15.70,15.70,15.05,15.25,27300,15.25
2014-10-13,16.00,16.55,15.15,15.45,51800,15.45
2014-10-10,15.95,16.20,15.25,15.90,65500,15.90
2014-10-09,14.75,15.45,14.50,15.45,82800,15.45
2014-10-08,14.65,15.25,14.40,14.75,38100,14.75
2014-10-07,15.75,15.80,15.00,15.00,51600,15.00
2014-10-06,15.75,15.75,15.75,15.75,000,15.75
2014-10-03,15.75,15.75,15.75,15.75,000,15.75
2014-10-02,15.75,15.75,15.75,15.75,000,15.75
