Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,17.79,17.92,16.91,17.19,13123800,17.19
2015-01-20,17.84,18.10,16.64,17.64,21122800,17.64
2015-01-19,16.30,18.00,15.80,17.48,33306700,17.48
2015-01-16,15.10,16.35,14.83,16.11,13014200,16.11
2015-01-15,15.50,15.65,14.91,14.99,5457200,14.99
2015-01-14,15.21,15.30,14.50,14.97,6470500,14.97
2015-01-13,15.80,16.04,15.05,15.21,6629800,15.21
2015-01-12,15.00,15.88,14.95,15.69,7744800,15.69
2015-01-09,15.22,15.50,14.66,14.77,6576900,14.77
2015-01-08,15.70,16.00,15.07,15.20,11567300,15.20
2015-01-07,14.10,16.44,13.95,15.46,20024300,15.46
2015-01-06,14.68,14.68,13.70,14.13,7121200,14.13
2015-01-05,14.73,15.40,14.70,14.83,4925300,14.83
2015-01-02,14.55,15.23,14.55,14.85,4742400,14.85
2015-01-01,14.72,15.05,14.50,14.61,3919000,14.61
2014-12-31,13.50,15.54,13.46,14.70,11604100,14.70
2014-12-30,13.10,13.88,13.10,13.68,6548700,13.68
2014-12-29,13.20,13.41,12.96,13.05,1828700,13.05
2014-12-26,13.30,13.49,13.10,13.13,1768300,13.13
2014-12-25,13.29,13.29,13.29,13.29,000,13.29
2014-12-24,13.30,13.60,13.22,13.29,1798000,13.29
2014-12-23,13.82,13.92,13.25,13.32,2759800,13.32
2014-12-22,13.00,13.90,13.00,13.77,5893600,13.77
2014-12-19,13.20,13.39,12.52,12.77,2886100,12.77
2014-12-18,12.70,13.30,12.70,12.98,2513600,12.98
2014-12-17,12.94,13.07,12.30,12.48,3518200,12.48
2014-12-16,13.05,13.50,12.15,12.93,5127700,12.93
2014-12-15,13.28,13.65,13.05,13.15,2579900,13.15
2014-12-12,14.32,14.53,13.30,13.35,5287400,13.35
2014-12-11,14.61,14.77,14.23,14.37,4953000,14.37
2014-12-10,14.12,14.83,14.12,14.69,3833200,14.69
2014-12-09,14.50,15.00,14.10,14.18,3783300,14.18
2014-12-08,14.15,15.43,14.00,14.79,7894700,14.79
2014-12-05,15.05,15.20,14.06,14.13,3898500,14.13
2014-12-04,14.60,15.42,14.40,14.76,6032600,14.76
2014-12-03,13.20,14.47,13.03,14.45,10510800,14.45
2014-12-02,13.45,13.45,13.01,13.16,2476500,13.16
2014-12-01,14.10,15.15,13.30,13.51,2143700,13.51
2014-11-28,14.05,14.52,14.00,14.07,1946500,14.07
2014-11-27,14.41,14.56,14.00,14.12,1459000,14.12
2014-11-26,14.31,14.88,14.31,14.51,1938800,14.51
2014-11-25,14.90,14.95,14.01,14.56,2477500,14.56
2014-11-24,14.15,15.20,14.15,14.85,3748200,14.85
2014-11-21,14.25,14.80,14.15,14.25,1909800,14.25
2014-11-20,14.32,14.62,14.25,14.32,1846300,14.32
2014-11-19,14.86,15.12,14.30,14.43,2643500,14.43
2014-11-18,15.40,15.65,14.63,14.86,5520700,14.86
2014-11-17,14.20,15.67,14.15,15.12,12750100,15.12
2014-11-14,14.30,14.47,14.06,14.25,2305200,14.25
2014-11-13,13.80,14.49,13.40,14.23,3492000,14.23
2014-11-12,14.20,14.25,13.70,13.75,1909000,13.75
2014-11-11,14.75,14.84,13.63,14.13,3658000,14.13
2014-11-10,14.90,14.92,14.29,14.65,4105800,14.65
2014-11-07,14.30,14.71,14.10,14.65,7122800,14.65
2014-11-06,14.01,14.01,14.01,14.01,000,14.01
2014-11-05,13.50,14.07,13.50,14.01,6242500,14.01
2014-11-04,13.40,13.40,13.40,13.40,000,13.40
2014-11-03,13.90,13.99,13.35,13.40,4293200,13.40
2014-10-31,13.25,13.80,13.20,13.45,4654400,13.45
2014-10-30,13.60,13.60,12.90,13.19,2859000,13.19
2014-10-29,12.99,13.33,12.90,13.29,6505500,13.29
2014-10-28,12.10,12.70,12.10,12.70,3220100,12.70
2014-10-27,11.99,12.20,11.65,12.10,3204900,12.10
2014-10-24,11.24,11.24,11.24,11.24,000,11.24
2014-10-23,11.24,11.24,11.24,11.24,000,11.24
2014-10-22,11.49,11.51,10.89,11.24,2031000,11.24
2014-10-21,11.80,11.85,11.10,11.10,3179000,11.10
2014-10-20,11.60,12.03,11.60,11.68,3004400,11.68
2014-10-17,12.00,12.17,11.44,11.50,3601100,11.50
2014-10-16,12.66,13.04,12.00,12.04,4348800,12.04
2014-10-15,12.63,12.63,12.63,12.63,000,12.63
2014-10-14,13.17,13.17,12.40,12.63,2728300,12.63
2014-10-13,13.45,13.49,12.84,12.98,5773000,12.98
