Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,95.70,98.75,90.20,95.15,880300,95.15
2015-01-20,95.90,100.95,85.00,96.05,2719100,96.05
2015-01-19,78.90,93.10,76.10,93.10,2915100,93.10
2015-01-16,67.65,78.60,67.60,77.60,2995400,77.60
2015-01-15,56.05,65.50,52.00,65.50,4792000,65.50
2015-01-14,58.90,60.30,53.95,54.60,240400,54.60
2015-01-13,60.80,61.00,57.20,58.55,144200,58.55
2015-01-12,56.95,61.55,56.50,59.05,301500,59.05
2015-01-09,58.65,61.80,55.85,56.15,255200,56.15
2015-01-08,59.90,60.30,57.70,58.10,122400,58.10
2015-01-07,59.10,60.00,58.10,58.75,59600,58.75
2015-01-06,60.25,62.50,57.65,57.90,152400,57.90
2015-01-05,63.00,64.75,62.20,62.70,162100,62.70
2015-01-02,56.70,63.80,55.40,62.10,425700,62.10
2015-01-01,56.00,57.40,55.70,56.55,34600,56.55
2014-12-31,55.80,56.50,55.50,55.90,37100,55.90
2014-12-30,57.00,57.30,55.00,56.00,53600,56.00
2014-12-29,56.20,57.85,55.50,56.10,64300,56.10
2014-12-26,57.45,58.35,55.35,55.80,85000,55.80
2014-12-25,56.90,56.90,56.90,56.90,000,56.90
2014-12-24,54.00,57.85,54.00,56.90,188100,56.90
2014-12-23,54.55,55.10,52.20,53.45,71100,53.45
2014-12-22,54.90,55.85,54.00,54.60,107200,54.60
2014-12-19,54.10,55.90,54.00,54.10,114500,54.10
2014-12-18,49.60,53.80,49.60,53.15,161800,53.15
2014-12-17,52.00,53.70,49.70,50.05,132400,50.05
2014-12-16,54.95,55.50,50.70,51.40,110000,51.40
2014-12-15,55.70,57.80,55.25,55.60,84600,55.60
2014-12-12,57.00,59.70,56.15,56.45,148500,56.45
2014-12-11,57.45,58.10,55.70,56.80,126800,56.80
2014-12-10,58.65,59.70,56.50,57.35,130300,57.35
2014-12-09,60.95,62.95,56.20,57.60,423400,57.60
2014-12-08,59.00,63.10,58.75,60.75,622700,60.75
2014-12-05,54.90,61.85,54.90,58.40,622800,58.40
2014-12-04,56.65,56.90,53.80,54.35,76100,54.35
2014-12-03,56.40,59.40,55.20,56.20,158900,56.20
2014-12-02,57.10,58.50,54.75,55.85,160600,55.85
