Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,66.90,67.10,66.00,66.20,76600,66.20
2015-01-20,64.50,66.75,64.00,65.95,106000,65.95
2015-01-19,63.30,64.85,62.20,64.10,38000,64.10
2015-01-16,61.50,63.20,60.50,62.50,34900,62.50
2015-01-15,62.40,63.00,61.50,61.75,27200,61.75
2015-01-14,62.00,62.50,61.60,61.95,14300,61.95
2015-01-13,63.00,63.15,62.00,62.05,15200,62.05
2015-01-12,62.65,63.50,62.30,62.80,33100,62.80
2015-01-09,63.65,63.65,62.50,62.85,15900,62.85
2015-01-08,62.80,63.40,62.15,62.75,18900,62.75
2015-01-07,61.75,62.75,61.50,61.65,18800,61.65
2015-01-06,64.60,64.60,62.35,62.55,35300,62.55
2015-01-05,65.00,66.50,64.65,64.85,57200,64.85
2015-01-02,65.45,66.25,64.65,64.85,90300,64.85
2015-01-01,61.80,65.20,61.80,64.20,81200,64.20
2014-12-31,62.05,63.00,61.50,61.70,36300,61.70
2014-12-30,63.20,63.20,61.95,62.25,24000,62.25
2014-12-29,62.15,64.30,62.15,62.95,45200,62.95
2014-12-26,63.30,63.75,61.65,62.75,50000,62.75
2014-12-25,62.80,62.80,62.80,62.80,000,62.80
2014-12-24,61.65,64.70,60.20,62.80,131000,62.80
2014-12-23,61.95,62.65,60.80,61.45,26700,61.45
2014-12-22,62.40,62.75,61.20,61.90,22000,61.90
2014-12-19,62.75,63.50,61.60,61.95,43200,61.95
2014-12-18,60.40,61.95,60.40,61.70,50600,61.70
2014-12-17,59.00,59.85,57.65,59.20,78800,59.20
2014-12-16,62.15,62.65,59.00,59.35,92300,59.35
2014-12-15,62.10,63.50,62.00,62.60,42100,62.60
2014-12-12,64.00,67.10,62.50,62.95,228000,62.95
2014-12-11,65.95,65.95,63.35,63.80,65500,63.80
2014-12-10,66.25,66.90,65.50,65.75,57800,65.75
2014-12-09,68.40,68.45,66.20,66.40,47900,66.40
2014-12-08,70.20,70.90,67.75,68.25,55000,68.25
2014-12-05,69.10,71.55,69.10,69.85,84900,69.85
2014-12-04,69.40,69.55,68.40,69.00,55400,69.00
2014-12-03,67.50,69.75,67.40,68.80,73100,68.80
2014-12-02,68.40,68.40,67.15,67.30,47500,67.30
2014-12-01,70.30,70.30,67.85,68.15,49900,68.15
2014-11-28,70.70,71.20,70.00,70.10,53700,70.10
2014-11-27,69.75,71.30,69.75,70.30,49400,70.30
2014-11-26,69.70,71.35,69.20,69.90,75700,69.90
2014-11-25,72.55,72.55,69.50,69.80,80000,69.80
2014-11-24,75.50,75.70,71.05,72.00,315900,72.00
2014-11-21,71.10,74.65,70.65,74.25,352400,74.25
2014-11-20,72.00,72.10,70.55,70.85,60400,70.85
2014-11-19,72.95,74.55,71.40,71.60,125500,71.60
2014-11-18,73.00,73.50,72.00,72.40,42800,72.40
2014-11-17,72.05,73.60,72.05,72.85,42900,72.85
2014-11-14,73.00,74.25,72.30,72.75,73500,72.75
2014-11-13,74.20,75.00,72.10,72.40,81000,72.40
2014-11-12,74.10,75.10,73.25,73.45,56700,73.45
2014-11-11,73.75,74.80,73.00,73.70,87500,73.70
2014-11-10,75.00,75.00,72.90,73.25,63200,73.25
2014-11-07,76.40,76.60,74.05,74.20,53600,74.20
2014-11-06,76.15,76.15,76.15,76.15,000,76.15
2014-11-05,75.30,78.05,75.00,76.15,185700,76.15
2014-11-04,74.55,74.55,74.55,74.55,000,74.55
2014-11-03,74.70,75.50,74.00,74.55,85900,74.55
2014-10-31,74.40,75.25,73.95,74.10,73100,74.10
2014-10-30,74.50,75.00,73.80,73.95,55600,73.95
2014-10-29,74.80,75.90,73.95,74.40,93100,74.40
2014-10-28,76.00,76.25,73.65,74.15,58100,74.15
2014-10-27,77.05,77.90,75.30,75.60,94100,75.60
2014-10-24,77.60,77.60,77.60,77.60,000,77.60
2014-10-23,77.60,77.60,77.60,77.60,000,77.60
2014-10-22,75.35,79.20,75.35,77.60,264400,77.60
2014-10-21,75.65,76.60,74.65,74.95,57700,74.95
2014-10-20,77.15,78.30,74.80,75.20,91900,75.20
2014-10-17,79.00,79.70,75.40,75.90,381500,75.90
2014-10-16,73.50,78.00,73.50,76.90,297000,76.90
2014-10-15,73.90,73.90,73.90,73.90,000,73.90
2014-10-14,74.15,76.40,72.85,73.90,122500,73.90
2014-10-13,70.55,74.30,70.55,73.55,120400,73.55
2014-10-10,71.80,73.60,70.80,71.50,83500,71.50
2014-10-09,72.85,73.45,72.50,72.85,49000,72.85
2014-10-08,71.25,72.70,71.05,72.10,63000,72.10
2014-10-07,71.60,72.10,70.60,70.90,42800,70.90
2014-10-06,71.40,71.40,71.40,71.40,000,71.40
2014-10-03,71.40,71.40,71.40,71.40,000,71.40
2014-10-02,71.40,71.40,71.40,71.40,000,71.40
2014-10-01,71.25,73.00,71.00,71.40,55500,71.40
2014-09-30,70.60,74.00,70.60,71.75,78100,71.75
2014-09-29,70.80,72.40,70.10,70.95,70900,70.95
2014-09-26,69.45,70.70,68.25,70.25,94900,70.25
2014-09-25,73.75,74.20,70.00,70.45,74800,70.45
2014-09-24,74.50,75.70,72.35,73.30,78400,73.30
2014-09-23,78.25,78.70,74.00,74.40,96100,74.40
2014-09-22,78.00,79.90,77.25,78.35,130400,78.35
2014-09-19,76.30,81.20,76.00,78.55,447500,78.55
2014-09-18,74.20,76.80,73.85,75.75,91400,75.75
2014-09-17,75.00,75.70,73.30,74.10,82900,74.10
2014-09-16,78.75,78.90,73.25,73.70,122100,73.70
2014-09-15,78.25,80.20,77.80,78.25,126600,78.25
