Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,10.45,10.55,10.05,10.20,1901600,10.20
2015-01-20,9.20,10.40,9.20,9.89,3313300,9.89
2015-01-19,9.90,9.90,9.15,9.26,824000,9.26
2015-01-16,10.00,10.28,8.66,9.13,3863600,9.13
2015-01-15,11.19,11.19,10.05,10.14,4925200,10.14
2015-01-14,10.00,10.02,9.57,10.02,1820200,10.02
2015-01-13,8.40,8.50,8.30,8.35,151000,8.35
2015-01-12,8.53,8.58,8.40,8.49,447300,8.49
2015-01-09,8.70,8.70,8.51,8.55,414400,8.55
2015-01-08,8.85,9.00,8.61,8.64,506700,8.64
2015-01-07,8.82,9.10,8.57,8.82,460100,8.82
2015-01-06,9.20,9.24,8.68,8.71,834200,8.71
2015-01-05,9.01,9.57,9.01,9.29,1978700,9.29
2015-01-02,8.06,9.20,8.06,8.80,2292600,8.80
2015-01-01,7.60,8.30,7.60,8.07,813600,8.07
2014-12-31,7.50,7.69,7.50,7.60,252500,7.60
2014-12-30,7.41,7.70,7.41,7.54,211400,7.54
2014-12-29,7.55,7.68,7.53,7.62,181600,7.62
2014-12-26,7.57,7.70,7.45,7.55,201100,7.55
2014-12-25,7.57,7.57,7.57,7.57,000,7.57
2014-12-24,7.60,7.70,7.53,7.57,165000,7.57
2014-12-23,7.75,7.75,7.41,7.52,272700,7.52
2014-12-22,7.60,7.94,7.55,7.57,326300,7.57
2014-12-19,7.77,7.82,7.67,7.72,308900,7.72
2014-12-18,7.74,7.82,7.60,7.76,530700,7.76
2014-12-17,7.75,7.75,7.42,7.46,416900,7.46
2014-12-16,7.60,7.78,7.58,7.62,405500,7.62
2014-12-15,7.70,7.82,7.50,7.56,503800,7.56
2014-12-12,8.00,8.12,7.75,7.77,704700,7.77
2014-12-11,8.19,8.19,7.93,8.00,379700,8.00
2014-12-10,8.00,8.18,8.00,8.13,268300,8.13
2014-12-09,8.30,8.38,8.10,8.13,274300,8.13
2014-12-08,8.53,8.65,8.32,8.35,299700,8.35
2014-12-05,8.66,8.97,8.52,8.57,553800,8.57
2014-12-04,8.81,8.82,8.58,8.70,363700,8.70
2014-12-03,8.53,8.77,8.42,8.63,615800,8.63
2014-12-02,8.55,8.68,8.42,8.45,206500,8.45
2014-12-01,8.85,8.85,8.56,8.59,203600,8.59
2014-11-28,8.95,9.00,8.61,8.64,349500,8.64
2014-11-27,8.80,8.89,8.72,8.75,189300,8.75
2014-11-26,8.75,8.88,8.70,8.78,381400,8.78
2014-11-25,9.00,9.00,8.53,8.78,434600,8.78
2014-11-24,9.08,9.14,8.88,8.94,327200,8.94
2014-11-21,9.15,9.15,8.90,9.01,258700,9.01
2014-11-20,9.05,9.13,8.92,9.01,361300,9.01
2014-11-19,9.50,9.58,9.08,9.12,428400,9.12
2014-11-18,9.10,9.66,9.06,9.37,728400,9.37
2014-11-17,9.10,9.21,8.97,9.07,303400,9.07
2014-11-14,9.73,9.73,9.00,9.08,524100,9.08
2014-11-13,9.50,9.57,9.22,9.26,336600,9.26
2014-11-12,9.55,9.82,9.42,9.46,540100,9.46
2014-11-11,9.54,9.70,9.35,9.61,454300,9.61
2014-11-10,9.73,9.74,9.45,9.47,290200,9.47
2014-11-07,10.00,10.00,9.38,9.67,610600,9.67
2014-11-06,9.73,9.73,9.73,9.73,000,9.73
2014-11-05,9.54,10.04,9.40,9.73,1204700,9.73
2014-11-04,9.42,9.42,9.42,9.42,000,9.42
2014-11-03,9.50,9.61,9.25,9.42,743800,9.42
2014-10-31,9.12,9.35,8.96,9.22,984800,9.22
2014-10-30,9.09,9.10,8.96,9.01,458500,9.01
2014-10-29,9.10,9.16,8.96,9.00,479600,9.00
2014-10-28,9.05,9.17,8.92,8.96,352500,8.96
2014-10-27,9.23,9.32,9.02,9.06,303800,9.06
2014-10-24,9.04,9.04,9.04,9.04,000,9.04
2014-10-23,9.04,9.04,9.04,9.04,000,9.04
2014-10-22,8.92,9.15,8.91,9.04,196500,9.04
2014-10-21,9.09,9.10,8.85,8.89,389300,8.89
2014-10-20,9.15,9.33,8.86,8.95,351100,8.95
2014-10-17,9.25,9.38,9.06,9.09,477400,9.09
2014-10-16,9.50,9.60,9.05,9.14,444400,9.14
2014-10-15,9.55,9.55,9.55,9.55,000,9.55
2014-10-14,9.75,9.84,9.50,9.55,262200,9.55
2014-10-13,9.75,9.88,9.53,9.74,546000,9.74
2014-10-10,9.75,9.75,9.55,9.64,277900,9.64
2014-10-09,9.90,10.00,9.70,9.81,622700,9.81
2014-10-08,9.97,9.97,9.68,9.76,434500,9.76
2014-10-07,10.00,10.20,9.70,9.77,407000,9.77
2014-10-06,9.94,9.94,9.94,9.94,000,9.94
2014-10-03,9.94,9.94,9.94,9.94,000,9.94
2014-10-02,9.94,9.94,9.94,9.94,000,9.94
2014-10-01,10.05,10.26,9.91,9.94,372600,9.94
2014-09-30,10.30,10.39,9.90,10.05,717500,10.05
2014-09-29,10.39,10.52,10.15,10.26,633100,10.26
2014-09-26,10.18,10.40,10.05,10.34,653400,10.34
2014-09-25,10.95,10.95,9.64,10.23,1720800,10.23
2014-09-24,11.05,11.10,10.42,10.78,1384700,10.78
2014-09-23,11.31,11.57,10.86,10.92,1106500,10.92
2014-09-22,11.60,11.68,11.00,11.26,1351700,11.26
2014-09-19,11.90,12.27,11.62,11.70,2574700,11.70
2014-09-18,11.25,11.47,11.15,11.38,623000,11.38
2014-09-17,11.15,11.38,11.03,11.12,490800,11.12
2014-09-16,12.00,12.17,11.13,11.18,1676000,11.18
2014-09-15,11.30,12.10,11.07,11.94,2211700,11.94
2014-09-12,11.22,11.74,11.05,11.38,1382900,11.38
2014-09-11,11.25,11.40,11.10,11.15,511000,11.15
2014-09-10,11.10,11.36,11.00,11.09,592100,11.09
2014-09-09,11.34,11.36,11.00,11.08,532400,11.08
2014-09-08,11.15,11.63,11.06,11.35,751400,11.35
2014-09-05,11.00,11.35,10.95,11.10,637100,11.10
2014-09-04,11.13,11.29,10.80,11.11,509900,11.11
2014-09-03,11.25,11.60,11.13,11.17,670800,11.17
2014-09-02,11.25,11.65,11.18,11.30,638500,11.30
2014-09-01,11.05,11.37,11.05,11.26,337300,11.26
2014-08-29,11.06,11.06,11.06,11.06,000,11.06
2014-08-28,11.21,11.32,11.00,11.06,455700,11.06
2014-08-27,11.05,11.47,11.05,11.14,445900,11.14
2014-08-26,11.45,11.49,10.99,11.18,479000,11.18
2014-08-25,11.70,11.83,11.29,11.35,590500,11.35
2014-08-22,11.75,12.06,11.55,11.74,708200,11.74
2014-08-21,12.30,12.40,11.55,11.73,931500,11.73
2014-08-20,12.20,12.78,11.94,12.20,3372200,12.20
2014-08-19,11.18,12.26,10.83,12.14,3205300,12.14
2014-08-18,10.50,11.09,10.47,11.02,598700,11.02
2014-08-15,10.50,10.50,10.50,10.50,000,10.50
2014-08-14,10.79,10.79,10.32,10.50,462800,10.50
2014-08-13,11.40,11.40,10.53,10.63,514600,10.63
2014-08-12,11.25,11.53,11.15,11.24,427300,11.24
2014-08-11,11.20,11.32,11.06,11.14,419300,11.14
2014-08-08,11.41,11.50,11.00,11.13,1039800,11.13
2014-08-07,11.92,11.95,11.52,11.61,457200,11.61
2014-08-06,12.12,12.12,11.70,11.83,398000,11.83
2014-08-05,12.19,12.45,11.78,12.17,803900,12.17
2014-08-04,12.00,12.17,11.86,11.97,646700,11.97
2014-08-01,11.60,12.39,11.50,11.89,1572300,11.89
2014-07-31,11.60,11.99,11.60,11.70,321200,11.70
2014-07-30,11.85,12.00,11.42,11.69,801900,11.69
2014-07-29,11.81,11.81,11.81,11.81,000,11.81
2014-07-28,11.90,12.09,11.74,11.81,450800,11.81
2014-07-25,12.37,12.37,11.81,11.95,767500,11.95
2014-07-24,12.58,12.58,12.12,12.22,805100,12.22
2014-07-23,12.80,12.82,12.31,12.45,653500,12.45
2014-07-22,12.66,13.07,12.62,12.70,1352700,12.70
2014-07-21,12.90,13.05,12.58,12.65,849500,12.65
2014-07-18,12.82,13.13,12.61,12.70,2533100,12.70
2014-07-17,11.80,12.85,11.79,12.57,1773400,12.57
2014-07-16,11.91,12.20,11.84,12.09,727700,12.09
2014-07-15,11.72,11.89,11.60,11.81,599000,11.81
2014-07-14,11.70,11.70,11.42,11.53,488300,11.53
2014-07-11,12.23,12.49,11.36,11.57,893500,11.57
2014-07-10,12.11,12.62,11.65,12.24,1797100,12.24
2014-07-09,12.45,12.68,11.56,12.01,1849400,12.01
2014-07-08,13.90,14.00,12.30,12.55,2443200,12.55
2014-07-07,12.51,14.05,12.15,13.71,5207700,13.71
2014-07-04,12.45,12.72,12.30,12.44,1041800,12.44
2014-07-03,12.85,12.85,12.11,12.37,543100,12.37
2014-07-02,12.65,12.74,12.36,12.63,2057100,12.63
2014-07-01,12.00,12.85,11.80,12.53,3683200,12.53
2014-06-30,11.54,11.99,11.54,11.89,1123000,11.89
2014-06-27,11.83,11.83,11.50,11.52,766800,11.52
