Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,16.90,17.05,16.40,16.65,4970300,16.65
2015-01-20,16.95,17.10,16.55,16.85,5608300,16.85
2015-01-19,17.05,17.70,16.80,16.90,9378500,16.90
2015-01-16,16.85,17.45,16.35,17.00,9247800,17.00
2015-01-15,16.40,17.50,16.05,16.85,13922300,16.85
2015-01-14,16.10,16.30,15.45,15.60,6212300,15.60
2015-01-13,17.00,17.25,16.05,16.10,8206100,16.10
2015-01-12,17.05,17.45,16.85,17.00,5159800,17.00
2015-01-09,17.30,17.55,16.85,16.95,8131500,16.95
2015-01-08,16.90,17.60,16.75,17.25,5795100,17.25
2015-01-07,17.00,17.20,15.90,16.70,8252800,16.70
2015-01-06,17.95,17.95,16.90,17.05,6455800,17.05
2015-01-05,17.50,18.25,17.25,18.10,5779900,18.10
2015-01-02,16.90,17.70,16.90,17.40,5954000,17.40
2015-01-01,16.50,17.05,16.30,16.90,4608600,16.90
2014-12-31,16.00,16.80,15.80,16.60,7205400,16.60
2014-12-30,16.70,16.70,15.50,15.90,6887100,15.90
2014-12-29,16.85,17.30,16.40,16.70,6584900,16.70
2014-12-26,16.25,17.00,16.10,16.65,4418600,16.65
2014-12-25,16.15,16.15,16.15,16.15,000,16.15
2014-12-24,15.40,16.65,15.20,16.15,8621000,16.15
2014-12-23,15.65,15.75,15.30,15.40,3937100,15.40
2014-12-22,15.50,15.75,15.35,15.60,3687100,15.60
2014-12-19,16.10,16.45,15.25,15.45,5348600,15.45
2014-12-18,15.75,16.05,15.60,15.90,5211300,15.90
2014-12-17,14.90,15.85,13.85,15.30,10528700,15.30
2014-12-16,16.70,16.70,14.75,14.95,11912100,14.95
2014-12-15,16.60,17.30,16.30,16.75,6690600,16.75
2014-12-12,17.85,17.90,16.65,16.75,5895000,16.75
2014-12-11,18.00,18.20,17.65,17.75,4760600,17.75
2014-12-10,17.70,18.30,17.70,18.15,3523700,18.15
2014-12-09,18.25,18.45,17.60,17.70,5036400,17.70
2014-12-08,18.60,18.85,18.00,18.10,5057600,18.10
2014-12-05,18.60,19.20,18.40,18.65,6123000,18.65
2014-12-04,18.80,19.15,18.20,18.45,4842000,18.45
2014-12-03,18.50,19.15,18.50,18.70,5787600,18.70
2014-12-02,18.50,19.00,18.40,18.65,4822400,18.65
2014-12-01,19.50,19.60,18.30,18.50,5618900,18.50
2014-11-28,19.20,20.00,19.15,19.45,5518500,19.45
2014-11-27,19.00,19.70,18.50,19.35,7807100,19.35
2014-11-26,18.25,19.20,17.85,18.95,7600700,18.95
2014-11-25,19.85,19.85,17.85,18.15,9012400,18.15
2014-11-24,19.45,19.80,19.00,19.70,5129000,19.70
2014-11-21,19.10,19.90,19.10,19.25,5320400,19.25
2014-11-20,19.80,20.10,18.75,19.00,6737500,19.00
2014-11-19,20.50,21.00,19.60,19.75,6160000,19.75
2014-11-18,20.75,21.15,20.35,20.55,4080800,20.55
2014-11-17,20.70,21.05,20.20,20.60,5646600,20.60
2014-11-14,19.80,21.15,19.75,20.85,6676200,20.85
2014-11-13,20.40,20.45,19.60,19.90,9608800,19.90
2014-11-12,21.90,21.95,20.85,21.05,6292800,21.05
2014-11-11,21.60,21.85,20.70,21.55,7496100,21.55
2014-11-10,22.70,22.80,21.30,21.50,6049300,21.50
2014-11-07,22.60,23.20,21.55,22.60,8584500,22.60
2014-11-06,22.45,22.45,22.45,22.45,000,22.45
2014-11-05,22.85,24.35,22.15,22.45,27131300,22.45
2014-11-04,22.55,22.55,22.55,22.55,000,22.55
2014-11-03,20.60,23.10,20.45,22.55,12145600,22.55
2014-10-31,19.60,20.95,19.30,20.45,10795000,20.45
2014-10-30,18.10,19.50,18.00,19.30,13069300,19.30
2014-10-29,17.40,17.90,17.30,17.80,4137800,17.80
2014-10-28,17.10,17.45,17.00,17.25,3442000,17.25
2014-10-27,17.80,17.90,17.00,17.10,4279800,17.10
2014-10-24,17.60,17.60,17.60,17.60,000,17.60
2014-10-23,17.60,17.60,17.60,17.60,000,17.60
2014-10-22,17.85,18.00,17.45,17.60,3864600,17.60
2014-10-21,17.55,18.00,17.20,17.60,4609200,17.60
2014-10-20,18.10,18.40,17.55,17.65,4696800,17.65
2014-10-17,17.70,17.85,17.05,17.55,6936300,17.55
2014-10-16,18.00,18.35,17.20,17.35,6840200,17.35
2014-10-15,18.05,18.05,18.05,18.05,000,18.05
2014-10-14,18.45,18.85,17.85,18.05,8678800,18.05
2014-10-13,19.10,19.35,18.20,18.50,10543600,18.50
2014-10-10,20.30,20.30,19.15,19.25,6771000,19.25
2014-10-09,19.75,20.70,19.65,20.55,6298900,20.55
2014-10-08,19.25,19.90,19.00,19.65,8797100,19.65
2014-10-07,19.25,19.85,19.00,19.30,5432100,19.30
2014-10-06,19.15,19.15,19.15,19.15,000,19.15
2014-10-03,19.15,19.15,19.15,19.15,000,19.15
2014-10-02,19.15,19.15,19.15,19.15,000,19.15
2014-10-01,18.85,19.60,18.50,19.15,7683900,19.15
2014-09-30,19.90,20.50,18.65,18.95,9207000,18.95
2014-09-29,20.70,20.90,19.80,19.90,5147900,19.90
2014-09-26,19.30,20.65,18.70,20.40,10821400,20.40
2014-09-25,20.65,21.25,18.90,19.35,11128500,19.35
2014-09-24,22.25,22.45,19.45,20.15,16761100,20.15
2014-09-23,24.60,24.80,21.75,21.95,13837100,21.95
2014-09-22,24.50,25.25,24.15,24.60,7287200,24.60
2014-09-19,26.25,26.65,24.70,25.25,11533900,25.25
2014-09-18,23.00,26.30,22.70,25.90,17046500,25.90
2014-09-17,23.10,23.35,22.30,22.95,5397100,22.95
2014-09-16,24.25,25.55,22.70,22.85,11924000,22.85
2014-09-15,22.65,24.55,22.35,24.20,8557500,24.20
2014-09-12,22.80,23.20,22.60,22.95,5160900,22.95
2014-09-11,23.30,23.60,22.60,22.75,4936300,22.75
2014-09-10,22.50,23.50,22.20,23.25,5909100,23.25
2014-09-09,23.40,23.40,22.50,22.65,4708700,22.65
2014-09-08,23.05,23.60,22.85,23.40,3403400,23.40
2014-09-05,22.50,23.25,22.05,23.05,5394300,23.05
2014-09-04,23.90,23.90,21.50,22.50,9057900,22.50
2014-09-03,24.30,24.35,23.50,24.00,5796300,24.00
2014-09-02,23.90,24.45,23.60,23.90,6804600,23.90
2014-09-01,22.05,23.90,21.90,23.75,10033800,23.75
2014-08-29,21.75,21.75,21.75,21.75,000,21.75
2014-08-28,21.90,22.25,21.50,21.75,5265300,21.75
2014-08-27,22.65,22.90,21.70,22.05,6011500,22.05
2014-08-26,22.50,22.95,21.75,22.50,5615200,22.50
2014-08-25,23.40,23.55,22.35,22.50,6295400,22.50
