SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
934844,0MFL17      ,F ,D,1100.00,1100.00,1095.00,1095.44,1099.90,1097.53,4,53,58149.00,
934847,1050TCFS14  ,F ,D,1016.77,1020.84,1016.77,1017.00,1017.00,1017.01,31,973,989655.00,
934848,1050TCFS14A ,F ,D,1559.25,1559.25,1552.00,1555.66,1558.00,1564.20,7,75,116782.00,
934857,1060SCUF15A ,F ,D,999.97,999.98,994.00,998.47,999.97,999.99,11,287,286280.00,
934870,1175MFL15   ,F ,D,970.00,970.00,970.00,970.00,970.00,970.00,1,40,38800.00,
934871,1175MFL17   ,F ,D,1008.01,1010.00,1008.00,1008.00,1008.00,1010.41,13,404,407333.00,
934854,1275IIFL18  ,F ,D,1008.70,1008.95,1007.72,1007.99,1008.15,1006.72,19,860,867364.00,
934855,1275IIFL18A ,F ,D,1010.00,1010.00,1010.00,1010.00,1010.00,981.36,3,225,227250.00,
934841,1300MFL14   ,F ,D,1003.90,1003.90,1003.90,1003.90,1003.90,1019.00,1,5,5019.00,
934842,1325MFL15   ,F ,D,1008.00,1008.00,1008.00,1008.00,1008.00,1000.00,1,60,60480.00,
934843,1325MFL17   ,F ,D,995.00,995.00,995.00,995.00,995.00,1010.00,1,10,9950.00,
533022,20 MICRONS  ,B ,Q,30.50,31.10,30.15,30.65,30.60,30.45,206,22233,679036.00,
532628,3I INFOTECH ,B ,Q,5.78,5.80,5.62,5.65,5.65,5.73,294,196325,1123113.00,
523395,3M INDIA LTD,B ,Q,3410.00,3415.00,3376.00,3384.90,3399.95,3417.95,21,35,119029.00,
961755,718IRFC2023 ,F ,B,1015.00,1018.00,1015.00,1018.00,1018.00,1016.00,17,209,212730.00,
961750,719PFC2023  ,F ,B,1014.00,1014.00,1013.00,1013.00,1013.00,1013.00,4,70,70960.00,
961748,722REC22TF  ,F ,B,1019.00,1020.00,1019.00,1020.00,1020.00,1019.00,35,550,560500.00,
961764,734HUDCO23  ,F ,B,1007.25,1007.25,1007.25,1007.25,1007.25,1014.00,1,9,9065.00,
961751,736PFC2028  ,F ,B,1016.90,1019.00,1016.90,1019.00,1019.00,1017.00,23,3090,3145015.00,
